t,DOY,hour,air_temperature,PARi,soil_temperature,humidity,ambient_CO2,Wind,SRWC_optimal,PARi,SRWC
0,347,12,13,516.2222222,10,0.75,400,3,80,649.476191,80
1,347,13,13,549.8888889,10,0.75,400,3,80,795.968254,80
2,347,14,13,392.7777778,10,0.75,400,3,80,635.650793,80
3,347,15,13,157.1111111,10,0.75,400,3,80,529.4444444,80
4,347,16,13,22.44444444,10,0.75,400,3,80,379.3492063,80
5,347,17,13,0,10,0.75,400,3,80,148.4920635,80
6,347,18,13,0,10,0.75,400,3,80,52.9047619,80
7,347,19,13,0,10,0.75,400,3,80,0,80
8,347,20,7,0,10,0.75,400,3,80,0,80
9,347,21,7,0,10,0.75,400,3,80,0,80
10,347,22,7,0,10,0.75,400,3,80,0,80
11,347,23,7,0,10,0.75,400,3,80,0,80
12,347,24,7,0,10,0.75,400,3,80,0,80
13,348,1,7,0,10,0.75,400,3,80,0,80
14,348,2,7,0,10,0.75,400,3,80,0,80
15,348,3,7,0,10,0.75,400,3,80,0,80
16,348,4,7,0,10,0.75,400,3,80,0,80
17,348,5,7,0,10,0.75,400,3,80,0,80
18,348,6,7,0,10,0.75,400,3,80,3.206349206,80
19,348,7,13,0,10,0.75,400,3,80,81.76190476,80
20,348,8,13,0,10,0.75,400,3,80,138.2698413,80
21,348,9,13,11.22222222,10,0.75,400,3,80,338.6666667,80
22,348,10,13,33.66666667,10,0.75,400,3,80,474.3333333,80
23,348,11,13,33.66666667,10,0.75,400,3,80,535.650794,80
24,348,12,13,22.44444444,10,0.75,400,3,80,649.476191,80
25,348,13,13,44.88888889,10,0.75,400,3,80,795.968254,80
26,348,14,13,56.11111111,10,0.75,400,3,80,635.650793,80
27,348,15,13,33.66666667,10,0.75,400,3,80,529.4444444,80
28,348,16,13,11.22222222,10,0.75,400,3,80,379.3492063,80
29,348,17,13,0,10,0.75,400,3,80,148.4920635,80
30,348,18,13,0,10,0.75,400,3,80,52.9047619,80
31,348,19,13,0,10,0.75,400,3,80,0,80
32,348,20,7,0,10,0.75,400,3,80,0,80
33,348,21,7,0,10,0.75,400,3,80,0,80
34,348,22,7,0,10,0.75,400,3,80,0,80
35,348,23,7,0,10,0.75,400,3,80,0,80
36,348,24,7,0,10,0.75,400,3,80,0,80
37,349,1,7,0,10,0.75,400,3,80,0,80
38,349,2,7,0,10,0.75,400,3,80,0,80
39,349,3,7,0,10,0.75,400,3,80,0,80
40,349,4,7,0,10,0.75,400,3,80,0,80
41,349,5,7,0,10,0.75,400,3,80,0,80
42,349,6,7,0,10,0.75,400,3,80,3.206349206,80
43,349,7,13,0,10,0.75,400,3,80,81.76190476,80
44,349,8,13,0,10,0.75,400,3,80,138.2698413,80
45,349,9,13,157.1111111,10,0.75,400,3,80,338.6666667,80
46,349,10,13,359.1111111,10,0.75,400,3,80,474.3333333,80
47,349,11,13,370.3333333,10,0.75,400,3,80,535.650794,80
48,349,12,13,594.7777778,10,0.75,400,3,80,649.476191,80
49,349,13,13,493.7777778,10,0.75,400,3,80,795.968254,80
50,349,14,13,314.2222222,10,0.75,400,3,80,635.650793,80
51,349,15,13,213.2222222,10,0.75,400,3,80,529.4444444,80
52,349,16,13,11.22222222,10,0.75,400,3,80,379.3492063,80
53,349,17,13,0,10,0.75,400,3,80,148.4920635,80
54,349,18,13,0,10,0.75,400,3,80,52.9047619,80
55,349,19,13,0,10,0.75,400,3,80,0,80
56,349,20,7,0,10,0.75,400,3,80,0,80
57,349,21,7,0,10,0.75,400,3,80,0,80
58,349,22,7,0,10,0.75,400,3,80,0,80
59,349,23,7,0,10,0.75,400,3,80,0,80
60,349,24,7,0,10,0.75,400,3,80,0,80
61,350,1,7,0,10,0.75,400,3,80,0,80
62,350,2,7,0,10,0.75,400,3,80,0,80
63,350,3,7,0,10,0.75,400,3,80,0,80
64,350,4,7,0,10,0.75,400,3,80,0,80
65,350,5,7,0,10,0.75,400,3,80,0,80
66,350,6,7,0,10,0.75,400,3,80,3.206349206,80
67,350,7,13,0,10,0.75,400,3,80,81.76190476,80
68,350,8,13,0,10,0.75,400,3,80,138.2698413,80
69,350,9,13,22.44444444,10,0.75,400,3,80,338.6666667,80
70,350,10,13,44.88888889,10,0.75,400,3,80,474.3333333,80
71,350,11,13,101,10,0.75,400,3,80,535.650794,80
72,350,12,13,123.4444444,10,0.75,400,3,80,649.476191,80
73,350,13,13,145.8888889,10,0.75,400,3,80,795.968254,80
74,350,14,13,123.4444444,10,0.75,400,3,80,635.650793,80
75,350,15,13,112.2222222,10,0.75,400,3,80,529.4444444,80
76,350,16,13,56.11111111,10,0.75,400,3,80,379.3492063,80
77,350,17,13,0,10,0.75,400,3,80,148.4920635,80
78,350,18,13,0,10,0.75,400,3,80,52.9047619,80
79,350,19,13,0,10,0.75,400,3,80,0,80
80,350,20,7,0,10,0.75,400,3,80,0,80
81,350,21,7,0,10,0.75,400,3,80,0,80
82,350,22,7,0,10,0.75,400,3,80,0,80
83,350,23,7,0,10,0.75,400,3,80,0,80
84,350,24,7,0,10,0.75,400,3,80,0,80
85,351,1,7,0,10,0.75,400,3,80,0,80
86,351,2,7,0,10,0.75,400,3,80,0,80
87,351,3,7,0,10,0.75,400,3,80,0,80
88,351,4,7,0,10,0.75,400,3,80,0,80
89,351,5,7,0,10,0.75,400,3,80,0,80
90,351,6,7,0,10,0.75,400,3,80,3.206349206,80
91,351,7,13,0,10,0.75,400,3,80,81.76190476,80
92,351,8,13,11.22222222,10,0.75,400,3,80,138.2698413,80
93,351,9,13,145.8888889,10,0.75,400,3,80,338.6666667,80
94,351,10,13,392.7777778,10,0.75,400,3,80,474.3333333,80
95,351,11,13,505,10,0.75,400,3,80,535.650794,80
96,351,12,13,594.7777778,10,0.75,400,3,80,649.476191,80
97,351,13,13,460.1111111,10,0.75,400,3,80,795.968254,80
98,351,14,13,291.7777778,10,0.75,400,3,80,635.650793,80
99,351,15,13,224.4444444,10,0.75,400,3,80,529.4444444,80
100,351,16,13,33.66666667,10,0.75,400,3,80,379.3492063,80
101,351,17,13,0,10,0.75,400,3,80,148.4920635,80
102,351,18,13,0,10,0.75,400,3,80,52.9047619,80
103,351,19,13,0,10,0.75,400,3,80,0,80
104,351,20,7,0,10,0.75,400,3,80,0,80
105,351,21,7,0,10,0.75,400,3,80,0,80
106,351,22,7,0,10,0.75,400,3,80,0,80
107,351,23,7,0,10,0.75,400,3,80,0,80
108,351,24,7,0,10,0.75,400,3,80,0,80
109,352,1,7,0,10,0.75,400,3,80,0,80
110,352,2,7,0,10,0.75,400,3,80,0,80
111,352,3,7,0,10,0.75,400,3,80,0,80
112,352,4,7,0,10,0.75,400,3,80,0,80
113,352,5,7,0,10,0.75,400,3,80,0,80
114,352,6,7,0,10,0.75,400,3,80,3.206349206,80
115,352,7,13,0,10,0.75,400,3,80,81.76190476,80
116,352,8,13,0,10,0.75,400,3,80,138.2698413,80
117,352,9,13,56.11111111,10,0.75,400,3,80,338.6666667,80
118,352,10,13,168.3333333,10,0.75,400,3,80,474.3333333,80
119,352,11,13,314.2222222,10,0.75,400,3,80,535.650794,80
120,352,12,13,303,10,0.75,400,3,80,649.476191,80
121,352,13,13,224.4444444,10,0.75,400,3,80,795.968254,80
122,352,14,13,190.7777778,10,0.75,400,3,80,635.650793,80
123,352,15,13,101,10,0.75,400,3,80,529.4444444,80
124,352,16,13,33.66666667,10,0.75,400,3,80,379.3492063,80
125,352,17,13,0,10,0.75,400,3,80,148.4920635,80
126,352,18,13,0,10,0.75,400,3,80,52.9047619,80
127,352,19,13,0,10,0.75,400,3,80,0,80
128,352,20,7,0,10,0.75,400,3,80,0,80
129,352,21,7,0,10,0.75,400,3,80,0,80
130,352,22,7,0,10,0.75,400,3,80,0,80
131,352,23,7,0,10,0.75,400,3,80,0,80
132,352,24,7,0,10,0.75,400,3,80,0,80
133,353,1,7,0,10,0.75,400,3,80,0,80
134,353,2,7,0,10,0.75,400,3,80,0,80
135,353,3,7,0,10,0.75,400,3,80,0,80
136,353,4,7,0,10,0.75,400,3,80,0,80
137,353,5,7,0,10,0.75,400,3,80,0,80
138,353,6,7,0,10,0.75,400,3,80,3.206349206,80
139,353,7,13,0,10,0.75,400,3,80,81.76190476,80
140,353,8,13,0,10,0.75,400,3,80,138.2698413,80
141,353,9,13,157.1111111,10,0.75,400,3,80,338.6666667,80
142,353,10,13,392.7777778,10,0.75,400,3,80,474.3333333,80
143,353,11,13,538.6666667,10,0.75,400,3,80,535.650794,80
144,353,12,13,516.2222222,10,0.75,400,3,80,649.476191,80
145,353,13,13,336.6666667,10,0.75,400,3,80,795.968254,80
146,353,14,13,336.6666667,10,0.75,400,3,80,635.650793,80
147,353,15,13,179.5555556,10,0.75,400,3,80,529.4444444,80
148,353,16,13,44.88888889,10,0.75,400,3,80,379.3492063,80
149,353,17,13,0,10,0.75,400,3,80,148.4920635,80
150,353,18,13,0,10,0.75,400,3,80,52.9047619,80
151,353,19,13,0,10,0.75,400,3,80,0,80
152,353,20,7,0,10,0.75,400,3,80,0,80
153,353,21,7,0,10,0.75,400,3,80,0,80
154,353,22,7,0,10,0.75,400,3,80,0,80
155,353,23,7,0,10,0.75,400,3,80,0,80
156,353,24,7,0,10,0.75,400,3,80,0,80
157,354,1,7,0,10,0.75,400,3,80,0,80
158,354,2,7,0,10,0.75,400,3,80,0,80
159,354,3,7,0,10,0.75,400,3,80,0,80
160,354,4,7,0,10,0.75,400,3,80,0,80
161,354,5,7,0,10,0.75,400,3,80,0,80
162,354,6,7,0,10,0.75,400,3,80,3.206349206,80
163,354,7,13,0,10,0.75,400,3,80,81.76190476,80
164,354,8,13,0,10,0.75,400,3,80,138.2698413,80
165,354,9,13,112.2222222,10,0.75,400,3,80,338.6666667,80
166,354,10,13,370.3333333,10,0.75,400,3,80,474.3333333,80
167,354,11,13,448.8888889,10,0.75,400,3,80,535.650794,80
168,354,12,13,516.2222222,10,0.75,400,3,80,649.476191,80
169,354,13,13,572.3333333,10,0.75,400,3,80,795.968254,80
170,354,14,13,404,10,0.75,400,3,80,635.650793,80
171,354,15,13,224.4444444,10,0.75,400,3,80,529.4444444,80
172,354,16,13,67.33333333,10,0.75,400,3,80,379.3492063,80
173,354,17,13,0,10,0.75,400,3,80,148.4920635,80
174,354,18,13,0,10,0.75,400,3,80,52.9047619,80
175,354,19,13,0,10,0.75,400,3,80,0,80
176,354,20,7,0,10,0.75,400,3,80,0,80
177,354,21,7,0,10,0.75,400,3,80,0,80
178,354,22,7,0,10,0.75,400,3,80,0,80
179,354,23,7,0,10,0.75,400,3,80,0,80
180,354,24,7,0,10,0.75,400,3,80,0,80
181,355,1,7,0,10,0.75,400,3,80,0,80
182,355,2,7,0,10,0.75,400,3,80,0,80
183,355,3,7,0,10,0.75,400,3,80,0,80
184,355,4,7,0,10,0.75,400,3,80,0,80
185,355,5,7,0,10,0.75,400,3,80,0,80
186,355,6,7,0,10,0.75,400,3,80,3.206349206,80
187,355,7,13,0,10,0.75,400,3,80,81.76190476,80
188,355,8,13,0,10,0.75,400,3,80,138.2698413,80
189,355,9,13,33.66666667,10,0.75,400,3,80,338.6666667,80
190,355,10,13,89.77777778,10,0.75,400,3,80,474.3333333,80
191,355,11,13,157.1111111,10,0.75,400,3,80,535.650794,80
192,355,12,13,179.5555556,10,0.75,400,3,80,649.476191,80
193,355,13,13,224.4444444,10,0.75,400,3,80,795.968254,80
194,355,14,13,134.6666667,10,0.75,400,3,80,635.650793,80
195,355,15,13,112.2222222,10,0.75,400,3,80,529.4444444,80
