t,DOY,hour,air_temperature,PARi,soil_temperature,humidity,ambient_CO2,Wind,SRWC,PARi
0,347,12,13,516.2222222,10,0.75,400,3,80,649.476191
1,347,13,13,549.8888889,10,0.75,400,3,80,795.968254
2,347,14,13,392.7777778,10,0.75,400,3,80,635.650793
3,347,15,13,157.1111111,10,0.75,400,3,80,529.4444444
4,347,16,13,22.44444444,10,0.75,400,3,80,379.3492063
5,347,17,13,0,10,0.75,400,3,80,148.4920635
6,347,18,13,0,10,0.75,400,3,80,52.9047619
7,347,19,13,0,10,0.75,400,3,80,0
8,347,20,7,0,10,0.75,400,3,80,0
9,347,21,7,0,10,0.75,400,3,80,0
10,347,22,7,0,10,0.75,400,3,80,0
11,347,23,7,0,10,0.75,400,3,80,0
12,347,24,7,0,10,0.75,400,3,80,0
13,348,1,7,0,10,0.75,400,3,80,0
14,348,2,7,0,10,0.75,400,3,80,0
15,348,3,7,0,10,0.75,400,3,80,0
16,348,4,7,0,10,0.75,400,3,80,0
17,348,5,7,0,10,0.75,400,3,80,0
18,348,6,7,0,10,0.75,400,3,80,3.206349206
19,348,7,13,0,10,0.75,400,3,80,81.76190476
20,348,8,13,0,10,0.75,400,3,80,138.2698413
21,348,9,13,11.22222222,10,0.75,400,3,80,338.6666667
22,348,10,13,33.66666667,10,0.75,400,3,80,474.3333333
23,348,11,13,33.66666667,10,0.75,400,3,80,535.650794
24,348,12,13,22.44444444,10,0.75,400,3,80,649.476191
25,348,13,13,44.88888889,10,0.75,400,3,80,795.968254
26,348,14,13,56.11111111,10,0.75,400,3,80,635.650793
27,348,15,13,33.66666667,10,0.75,400,3,80,529.4444444
28,348,16,13,11.22222222,10,0.75,400,3,80,379.3492063
29,348,17,13,0,10,0.75,400,3,80,148.4920635
30,348,18,13,0,10,0.75,400,3,80,52.9047619
31,348,19,13,0,10,0.75,400,3,80,0
32,348,20,7,0,10,0.75,400,3,80,0
33,348,21,7,0,10,0.75,400,3,80,0
34,348,22,7,0,10,0.75,400,3,80,0
35,348,23,7,0,10,0.75,400,3,80,0
36,348,24,7,0,10,0.75,400,3,80,0
37,349,1,7,0,10,0.75,400,3,80,0
38,349,2,7,0,10,0.75,400,3,80,0
39,349,3,7,0,10,0.75,400,3,80,0
40,349,4,7,0,10,0.75,400,3,80,0
41,349,5,7,0,10,0.75,400,3,80,0
42,349,6,7,0,10,0.75,400,3,80,3.206349206
43,349,7,13,0,10,0.75,400,3,80,81.76190476
44,349,8,13,0,10,0.75,400,3,80,138.2698413
45,349,9,13,157.1111111,10,0.75,400,3,80,338.6666667
46,349,10,13,359.1111111,10,0.75,400,3,80,474.3333333
47,349,11,13,370.3333333,10,0.75,400,3,80,535.650794
48,349,12,13,594.7777778,10,0.75,400,3,80,649.476191
49,349,13,13,493.7777778,10,0.75,400,3,80,795.968254
50,349,14,13,314.2222222,10,0.75,400,3,80,635.650793
51,349,15,13,213.2222222,10,0.75,400,3,80,529.4444444
52,349,16,13,11.22222222,10,0.75,400,3,80,379.3492063
53,349,17,13,0,10,0.75,400,3,80,148.4920635
54,349,18,13,0,10,0.75,400,3,80,52.9047619
55,349,19,13,0,10,0.75,400,3,80,0
56,349,20,7,0,10,0.75,400,3,80,0
57,349,21,7,0,10,0.75,400,3,80,0
58,349,22,7,0,10,0.75,400,3,80,0
59,349,23,7,0,10,0.75,400,3,80,0
60,349,24,7,0,10,0.75,400,3,80,0
61,350,1,7,0,10,0.75,400,3,80,0
62,350,2,7,0,10,0.75,400,3,80,0
63,350,3,7,0,10,0.75,400,3,80,0
64,350,4,7,0,10,0.75,400,3,80,0
65,350,5,7,0,10,0.75,400,3,80,0
66,350,6,7,0,10,0.75,400,3,80,3.206349206
67,350,7,13,0,10,0.75,400,3,80,81.76190476
68,350,8,13,0,10,0.75,400,3,80,138.2698413
69,350,9,13,22.44444444,10,0.75,400,3,80,338.6666667
70,350,10,13,44.88888889,10,0.75,400,3,80,474.3333333
71,350,11,13,101,10,0.75,400,3,80,535.650794
72,350,12,13,123.4444444,10,0.75,400,3,80,649.476191
73,350,13,13,145.8888889,10,0.75,400,3,80,795.968254
74,350,14,13,123.4444444,10,0.75,400,3,80,635.650793
75,350,15,13,112.2222222,10,0.75,400,3,80,529.4444444
76,350,16,13,56.11111111,10,0.75,400,3,80,379.3492063
77,350,17,13,0,10,0.75,400,3,80,148.4920635
78,350,18,13,0,10,0.75,400,3,80,52.9047619
79,350,19,13,0,10,0.75,400,3,80,0
80,350,20,7,0,10,0.75,400,3,80,0
81,350,21,7,0,10,0.75,400,3,80,0
82,350,22,7,0,10,0.75,400,3,80,0
83,350,23,7,0,10,0.75,400,3,80,0
84,350,24,7,0,10,0.75,400,3,80,0
