Tillers_Photosynthesis,N_content_shoot,shoot_roots_ratio,sum_N_g,senesced_mstruct,plant,N_content_mstruct,axis,dry_mass_phloem,mstruct_laminae,sum_dry_mass_shoot,N_content_roots,sum_respi_shoot,Tillers_Photosynthesis_An,Total_Photosynthesis,t,mstruct_stem,N_content_mstruct_roots,C_N_ratio_shoot,mstruct_shoot,C_respired_shoot,sum_C_g,shoot_roots_mstruct_ratio,N_content_mstruct_shoot,Cont_WSC_DM_stem,mstruct,sum_NSC_g,sum_respi_roots,sum_dry_mass,Cont_WSC_DM_roots,NNI,C_exudated,sum_dry_mass_roots,NS_stem,sum_dry_mass_laminae,NS_laminae,sum_N_g_shoot,Cont_WSC_DM_shoot,Cont_WSC_DM,N_content_total_DM_shoot,sum_dry_mass_stem,Total_Transpiration,NS_shoot,NS,N_content,NS_roots,C_respired_roots,C_N_ratio,Cont_WSC_DM_laminae
0.00000000,4.24105917,0.78797438,0.00190338,0.00000000,1,3.47695901,MS,0.00000000,0.01364300,0.03286543,1.22166013,0.00000000,34.81002387,0.00000000,0.00000000,0.00660297,1.47706511,9.91890955,0.02024597,6.41304325,0.03146405,0.58689540,6.88454050,7.517630161219527,0.05468138,0.00740424,0.00100000,0.07457418,13.558467423980886,0.96387708,0.00000000,0.04170875,29.76517368,0.02346415,41.85596916,0.00139384,9.263088572935963,11.66546016140299,4.24105917,0.00940128,NA,38.39735316,26.59294967,2.55233305,17.29138215,1.19403084,16.53060542,9.962433438902659
39.43878454,4.20384148,0.78393121,0.00195237,0.00000000,1,3.54094018,MS,0.00296371,0.01365277,0.03351231,1.27153555,1.38472600,39.44079807,39.43878454,1.00000000,0.00689094,1.57130741,10.00777086,0.02054371,1.70446652,0.03217457,0.59386157,6.85759321,11.874492093174727,0.05513715,0.00791423,0.33136331,0.07626134,14.817004192041269,0.95541852,0.00000000,0.04274904,34.49845274,0.02299203,40.61955926,0.00140880,9.82836710168044,12.62479616276285,4.20384148,0.01052028,0.00176011,38.69800451,27.69974279,2.56010886,19.07786212,1.52403448,16.47972250,8.892138333203583
35.71110507,4.14039392,0.79244673,0.00195717,0.00000000,1,3.54277144,MS,0.00420448,0.01365277,0.03412262,1.26418641,1.24938672,35.71523581,35.71110507,2.00000000,0.00690301,1.56928511,10.16017151,0.02055578,1.39347913,0.03256791,0.59258742,6.87305872,13.141147830765942,0.05524397,0.00826057,0.31571114,0.07718245,15.180413311816487,0.94099862,0.00000000,0.04305983,35.68693275,0.02338917,41.62781463,0.00141281,11.320122808247165,13.473765887357622,4.14039392,0.01073345,0.00143171,39.75907833,28.42418786,2.53576743,19.44189092,1.48428741,16.64032971,10.484441594039932
32.13277445,4.08834582,0.80011352,0.00196172,0.00000000,1,3.54277003,MS,0.00508252,0.01367437,0.03466889,1.25625823,1.16659247,32.13549732,32.13277445,3.00000000,0.00691692,1.56502962,10.28884686,0.02059129,1.59051800,0.03291629,0.59202342,6.88341559,14.34034788752196,0.05537250,0.00855239,0.30472182,0.07799886,15.484039659623114,0.92916951,0.00000000,0.04332997,36.71571938,0.02373897,42.39695548,0.00141738,12.521081155598932,14.167065405156794,4.08834582,0.01092992,0.00121586,40.60585517,29.00857153,2.51506305,19.72942806,1.45205866,16.77929628,11.683452504681657
26.00979146,4.05111961,0.80512839,0.00196610,0.00000000,1,3.54221768,MS,0.00572883,0.01370076,0.03507891,1.25090724,1.03053821,26.00319779,26.00979146,4.00000000,0.00693125,1.56285796,10.38305635,0.02063201,1.51667875,0.03319242,0.59163669,6.88778392,15.354876706672508,0.05550479,0.00877031,0.29696708,0.07864824,15.726065234389946,0.92070900,0.00000000,0.04356933,37.56458463,0.02397743,42.85976476,0.00142109,13.353552997403915,14.667870720661579,4.05111961,0.01110148,0.00091632,41.18399096,29.42653493,2.49986576,19.96027327,1.42625969,16.88236300,12.426946386052808
12.67972882,4.04015588,0.80574187,0.00197034,0.00000000,1,3.54158052,MS,0.00609009,0.01372525,0.03522066,1.25220759,0.80918652,12.61946899,12.67972882,5.00000000,0.00694600,1.56555290,10.41138207,0.02067124,1.27748745,0.03331181,0.59122999,6.88381219,15.991196135348373,0.05563435,0.00883269,0.29085238,0.07893274,15.769928781779555,0.91821725,0.00000000,0.04371208,38.10920725,0.02399767,42.80592262,0.00142297,13.555452571554175,14.781805153511751,4.04015588,0.01122299,0.00045908,41.30932443,29.51675796,2.49622077,20.01499336,1.40500905,16.90666680,12.416328836303215
5.05329766,4.04200104,0.80535720,0.00197444,0.00000000,1,3.54048850,MS,0.00623473,0.01375483,0.03524312,1.25663831,0.71280074,4.79128947,5.05329766,6.00000000,0.00696026,1.56883718,10.40696043,0.02071509,1.23626945,0.03334034,0.59097435,6.87676077,16.254705572388705,0.05576752,0.00880263,0.28596583,0.07900397,15.637938222716983,0.91863660,0.00440270,0.04376085,38.35194848,0.02395280,42.57527719,0.00142453,13.458005069177153,14.665485311661572,4.04200104,0.01129032,0.00026376,41.22231127,29.41174321,2.49916912,19.90001715,1.38759977,16.88594858,12.139760401320837
0.00000000,4.05179033,0.80435342,0.00197842,0.00000000,1,3.54027217,MS,0.00624736,0.01377907,0.03519137,1.26291940,0.59706268,0.00000000,0.00000000,7.00000000,0.00696340,1.57236192,10.38111352,0.02074247,0.92398639,0.03331083,0.59026650,6.87420736,16.333315875727898,0.05588334,0.00872216,0.28173955,0.07894251,15.397380239464054,0.92086144,0.12455993,0.04375113,38.48019881,0.02387242,42.28035524,0.00142588,13.234314103872762,14.433118122585409,4.05179033,0.01131896,0.00014956,41.05807231,29.21008064,2.50615582,19.68010797,1.37236526,16.83706944,11.764941395128494
0.00000000,4.05705601,0.80432004,0.00198228,0.00000000,1,3.53991383,MS,0.00621170,0.01380306,0.03516496,1.27086135,0.40148181,0.00000000,0.00000000,8.00000000,0.00696659,1.57719757,10.36730457,0.02076966,0.72601933,0.03328319,0.58957086,6.86897294,16.3141430796354,0.05599810,0.00864403,0.27788267,0.07888508,15.110541629858968,0.92205818,0.18172974,0.04372011,38.47793730,0.02384123,42.10422585,0.00142666,13.083059609336651,14.206741646465812,4.05705601,0.01132373,0.00010228,40.93649744,29.01306983,2.51287616,19.42281803,1.35794285,16.79032286,11.548410168029037
0.00000000,4.06209467,0.80451493,0.00198603,0.00000000,1,3.53951331,MS,0.00615508,0.01382546,0.03514369,1.27844007,0.39891512,0.00000000,0.00000000,9.00000000,0.00696974,1.58136820,10.35405061,0.02079520,0.70380870,0.03325533,0.58884693,6.86490235,16.257722251030412,0.05611032,0.00856679,0.27423400,0.07882678,14.816844862252857,0.92320333,0.23823331,0.04368309,38.45095898,0.02381981,41.95815539,0.00142757,12.946207147664055,13.982850116096923,4.06209467,0.01132389,0.00010241,40.82807797,28.81820248,2.51948920,19.15607833,1.34331940,16.74460730,11.371919757451817
