LAI_turgor,mstruct,Total_Transpiration_turgor,xylem_water_potential,Tr,plant_WC_DM,total_water_influx,plant,plant_water_content,delta_plant_water_content,Growth,axis,t,green_area
0.00000000,0.05468138,0.09367787,-0.03367976,NA,90.16959517,0.09367640,1,0.50156611,0.00027858,0.00028005,MS,0,0.00116948
0.00000000,0.05513712,0.11399976,-0.03706220,NA,90.16963233,0.11399983,1,0.50156821,0.00017244,0.00017237,MS,1,0.00116990
0.00000000,0.05524393,0.09284146,-0.03778996,NA,90.14112161,0.09284141,1,0.49995960,0.00016699,0.00016704,MS,2,0.00117027
0.00000000,0.05537246,0.07867340,-0.03702807,NA,90.14557882,0.07867300,1,0.50021047,0.00017849,0.00017889,MS,3,0.00116958
0.00000000,0.05550473,0.05928040,-0.03651843,NA,90.15232915,0.05927998,1,0.50059083,0.00018649,0.00018691,MS,4,0.00117070
0.00000000,0.05563428,0.02970412,-0.03582057,NA,90.15967493,0.02970372,1,0.50100534,0.00019278,0.00019318,MS,5,0.00117197
0.00000000,0.05576744,0.01706478,-0.03475605,NA,90.16305292,0.01706438,1,0.50119617,0.00019754,0.00019795,MS,6,0.00117318
0.00000000,0.05588326,0.00968051,-0.03430121,NA,90.16318953,0.00967990,1,0.50120389,0.00019889,0.00019950,MS,7,0.00117450
0.00000000,0.05599802,0.00662057,-0.03403542,NA,90.16257244,0.00662018,1,0.50116902,0.00019979,0.00020018,MS,8,0.00117554
0.00000000,0.05611025,0.00662893,-0.03392530,NA,90.16266294,0.00662831,1,0.50117413,0.00019920,0.00019982,MS,9,0.00117653
0.00000000,0.05622202,0.00663608,-0.03392558,NA,90.16300776,0.00663598,1,0.50119361,0.00019904,0.00019915,MS,10,0.00117750
0.00000000,0.05634588,0.00664350,-0.03392583,NA,90.18317622,0.00664315,1,0.50233565,0.00019800,0.00019835,MS,11,0.00117851
0.00000000,0.05648458,0.00665110,-0.03392606,NA,90.18607617,0.00678369,1,0.50250024,0.00033844,0.00020584,MS,12,0.00117961
0.00000000,0.05662133,0.00666393,-0.03393139,NA,90.18895543,0.00666320,1,0.50266376,0.00020414,0.00020486,MS,13,0.00118144
0.00000000,0.05675337,0.00668175,-0.03392701,NA,90.19182726,0.00668125,1,0.50282695,0.00020349,0.00020399,MS,14,0.00118292
0.00000000,0.05688253,0.00669245,-0.03392763,NA,90.19469650,0.00669195,1,0.50299009,0.00020256,0.00020306,MS,15,0.00118444
0.00000000,0.05700962,0.00670250,-0.03392798,NA,90.19756371,0.00670425,1,0.50315321,0.00020388,0.00020213,MS,16,0.00118588
0.00000000,0.05713197,0.00671219,-0.03392839,NA,90.20044660,0.00670560,1,0.50331731,0.00019460,0.00020119,MS,17,0.00118728
0.00000000,0.05725287,0.00706478,-0.03392841,NA,90.20330893,0.00706235,1,0.50348035,0.00019784,0.00020028,MS,18,0.00118852
0.00000000,0.05737414,0.02134862,-0.03394122,NA,90.20515166,0.02134809,1,0.50358535,0.00019885,0.00019937,MS,19,0.00118976
0.00000000,0.05749232,0.02898738,-0.03445547,NA,90.21008988,0.02894346,1,0.50386696,0.00015441,0.00019833,MS,20,0.00119105
0.00000000,0.05760891,0.05533174,-0.03472887,NA,90.21289995,0.05533386,1,0.50402733,0.00020027,0.00019815,MS,21,0.00119241
0.00000000,0.05772473,0.07322965,-0.03567892,NA,90.21888674,0.07332109,1,0.50436930,0.00029004,0.00019860,MS,22,0.00119364
0.00000000,0.05784185,0.08142635,-0.03632647,NA,90.22579950,0.08151126,1,0.50476468,0.00028545,0.00020054,MS,23,0.00119499
0.00000000,0.05796025,0.09683023,-0.03662139,NA,90.23133931,0.09682016,1,0.50508195,0.00019329,0.00020335,MS,24,0.00119643
0.00000000,0.05808023,0.11729018,-0.03717261,NA,90.23654274,0.11728919,1,0.50538027,0.00020534,0.00020633,MS,25,0.00119786
0.00000000,0.05820418,0.09492225,-0.03790960,NA,90.24606276,0.09501662,1,0.50592690,0.00030391,0.00020954,MS,26,0.00119930
0.00000000,0.05833197,0.08057209,-0.03710791,NA,90.25315062,0.08058891,1,0.50633457,0.00023064,0.00021382,MS,27,0.00120095
0.00000000,0.05846458,0.06078385,-0.03658866,NA,90.25997215,0.06078278,1,0.50672749,0.00021599,0.00021705,MS,28,0.00120256
0.00000000,0.05859998,0.03048783,-0.03587576,NA,90.26673898,0.03065952,1,0.50711779,0.00039153,0.00021984,MS,29,0.00120425
0.00000000,0.05873492,0.01758825,-0.03479142,NA,90.26950522,0.01767431,1,0.50727751,0.00030709,0.00022103,MS,30,0.00120593
0.00000000,0.05887052,0.01002838,-0.03432400,NA,90.27113795,0.01017526,1,0.50737182,0.00036758,0.00022070,MS,31,0.00120736
