C_exudation,Total_Organic_Nitrogen,N_tot,cytokinins,N_exudation,sucrose,Unloading_Amino_Acids,plant,axis,senesced_mstruct,Export_cytokinins,S_grain_structure,Conc_Amino_Acids,WSC_g,R_grain_growth_starch,t,regul_transpiration,Nstruct,R_Nnit_red,Conc_cytokinins,Unloading_Sucrose,amino_acids,mstruct,nitrates,Uptake_Nitrates,Export_Amino_Acids,organ,Export_Nitrates,sucrose_consumption_mstruct,S_Proteins,S_grain_starch,Conc_Nitrates,proteins,RGR_Structure,Conc_Sucrose,R_grain_growth_struct,R_residual,structure,sum_respi,S_Amino_Acids,starch,Proteins_N_Mass,age_from_flowering,Respi_growth,AA_consumption_mstruct,R_Nnit_upt,S_cytokinins,synthetized_mstruct,HATS_LATS,Dry_Mass
NA,NA,0.00000000,NA,NA,0.00000000,NA,1,MS,NA,NA,NA,0.0,0.0,NA,0.00000000,NA,NA,NA,NA,NA,0.00000000,NA,NA,NA,NA,phloem,NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,14.49031944,0.00050954,8.60000000,NA,197.92736394,NA,1,MS,0.00000000,NA,NA,49.99862574006066,0.005655067541246046,NA,0.00000000,NA,0.00017268,NA,249.29897541245967,NA,2.15598651,0.03449673,21.90533730,NA,NA,roots,NA,3.46439572,NA,NA,634.9974587156204,NA,NA,478.1307077251103,NA,0.09514644,NA,NA,NA,NA,NA,NA,1.19303084,0.03454722,NA,NA,NA,NA,NA
NA,NA,0.00000000,NA,NA,NA,NA,1,MS,NA,NA,NA,NA,NA,NA,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,0.00007331,NA,NA,84.72242089,NA,1,MS,NA,NA,NA,75.98184380507892,0.0024206405968442675,NA,1.00000000,NA,NA,NA,NA,NA,5.23677762,NA,NA,NA,NA,phloem,NA,NA,NA,NA,NA,NA,NA,128.04800606755498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.00000000,14.00970162,0.00049757,8.55562343,0.00000000,168.53899027,0.00000000,1,MS,0.00000000,0.09053377,NA,37.945508567915866,0.004815399722124851,NA,1.00000000,0.00176011,0.00017316,0.10358472,247.31927766973914,-516.88607460,1.64083187,0.03459344,21.53107944,0.35533826,0.46786340,roots,0.68214749,3.46335130,NA,NA,622.4036225182709,NA,NA,405.9994543856778,NA,0.07699842,NA,0.32429395,1.51229601,NA,NA,NA,1.19267117,0.03453681,0.14106929,1.33689668,NA,1.44313738,NA
NA,NA,0.00000000,NA,NA,NA,NA,1,MS,NA,NA,NA,NA,NA,NA,1.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,0.00008670,NA,NA,124.68030966,NA,1,MS,NA,NA,NA,89.67538491120003,0.0035622945616100785,NA,2.00000000,NA,NA,NA,NA,NA,6.19252994,NA,NA,NA,NA,phloem,NA,NA,NA,NA,NA,NA,NA,188.0753043683234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.00000000,13.72434416,0.00048992,8.52826718,0.00000000,150.49521435,0.00000000,1,MS,0.00000000,0.07340662,NA,30.480357163150366,0.004299863267015306,NA,2.00000000,0.00143171,0.00017364,0.10301196,245.8551015479231,-287.78666113,1.32163532,0.03468818,21.26991881,0.33569773,0.30653644,roots,0.54814291,3.39338307,NA,NA,613.1747445802067,NA,NA,361.54292769736713,NA,0.07313444,NA,0.31093901,1.49982598,NA,NA,NA,1.16857627,0.03383908,0.13327200,1.32727102,NA,1.46221833,NA
NA,NA,0.00000000,NA,NA,NA,NA,1,MS,NA,NA,NA,NA,NA,NA,2.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,0.00009492,NA,NA,153.27981110,NA,1,MS,NA,NA,NA,97.95302656923856,0.004379423174399662,NA,3.00000000,NA,NA,NA,NA,NA,6.77988045,NA,NA,NA,NA,phloem,NA,NA,NA,NA,NA,NA,NA,230.6797896317364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
