organ,age,Tsoil,Ksoil,SRWC,t,Tr,soil_water_potential,proteins,sucrose,green_area,xylem_water_potential,plant,axis,amino_acids,mstruct,total_water_potential
phloem,NA,NA,NA,NA,0,NA,NA,NA,0.00000000,NA,NA,1,MS,0.00000000,NA,NA
roots,NA,NA,NA,NA,0,NA,NA,NA,197.92736394,NA,NA,1,MS,2.15598651,0.03449673,NA
xylem,NA,NA,NA,NA,0,NA,-0.11900251,NA,NA,NA,NA,1,MS,NA,NA,-0.03367976
phloem,NA,NA,NA,NA,1,NA,NA,NA,84.72242089,NA,NA,1,MS,5.23677762,NA,NA
roots,NA,NA,NA,NA,1,NA,NA,NA,168.53899027,NA,NA,1,MS,1.64083187,0.03459344,NA
xylem,NA,NA,NA,NA,1,NA,-0.11900251,NA,NA,NA,NA,1,MS,NA,NA,-0.03706220
phloem,NA,NA,NA,NA,2,NA,NA,NA,124.68030966,NA,NA,1,MS,6.19252994,NA,NA
roots,NA,NA,NA,NA,2,NA,NA,NA,150.49521435,NA,NA,1,MS,1.32163532,0.03468818,NA
xylem,NA,NA,NA,NA,2,NA,-0.11900251,NA,NA,NA,NA,1,MS,NA,NA,-0.03778996
phloem,NA,NA,NA,NA,3,NA,NA,NA,153.27981110,NA,NA,1,MS,6.77988045,NA,NA
roots,NA,NA,NA,NA,3,NA,NA,NA,138.54315053,NA,NA,1,MS,1.10659153,0.03478121,NA
xylem,NA,NA,NA,NA,3,NA,-0.11900251,NA,NA,NA,NA,1,MS,NA,NA,-0.03702807
phloem,NA,NA,NA,NA,4,NA,NA,NA,174.55438221,NA,NA,1,MS,7.15076418,NA,NA
roots,NA,NA,NA,NA,4,NA,NA,NA,130.14122862,NA,NA,1,MS,0.97394249,0.03487278,NA
xylem,NA,NA,NA,NA,4,NA,-0.11900251,NA,NA,NA,NA,1,MS,NA,NA,-0.03651843
phloem,NA,NA,NA,NA,5,NA,NA,NA,186.57668791,NA,NA,1,MS,7.32209240,NA,NA
roots,NA,NA,NA,NA,5,NA,NA,NA,124.01463421,NA,NA,1,MS,0.92392420,0.03496311,NA
xylem,NA,NA,NA,NA,5,NA,-0.11900251,NA,NA,NA,NA,1,MS,NA,NA,-0.03582057
phloem,NA,NA,NA,NA,6,NA,NA,NA,191.48938545,NA,NA,1,MS,7.36337909,NA,NA
roots,NA,NA,NA,NA,6,NA,NA,NA,119.15550574,NA,NA,1,MS,0.90592910,0.03505244,NA
xylem,NA,NA,NA,NA,6,NA,-0.11900251,NA,NA,NA,NA,1,MS,NA,NA,-0.03475605
phloem,NA,NA,NA,NA,7,NA,NA,NA,192.17828496,NA,NA,1,MS,7.29529206,NA,NA
roots,NA,NA,NA,NA,7,NA,NA,NA,114.93190866,NA,NA,1,MS,0.92626060,0.03514086,NA
xylem,NA,NA,NA,NA,7,NA,-0.11900251,NA,NA,NA,NA,1,MS,NA,NA,-0.03430121
phloem,NA,NA,NA,NA,8,NA,NA,NA,191.14088198,NA,NA,1,MS,7.23731163,NA,NA
roots,NA,NA,NA,NA,8,NA,NA,NA,110.97527045,NA,NA,1,MS,0.96307680,0.03522844,NA
xylem,NA,NA,NA,NA,8,NA,-0.11900251,NA,NA,NA,NA,1,MS,NA,NA,-0.03403542
phloem,NA,NA,NA,NA,9,NA,NA,NA,189.47436054,NA,NA,1,MS,7.15047357,NA,NA
roots,NA,NA,NA,NA,9,NA,NA,NA,107.28317662,NA,NA,1,MS,1.00901159,0.03531512,NA
xylem,NA,NA,NA,NA,9,NA,-0.11900251,NA,NA,NA,NA,1,MS,NA,NA,-0.03392529
phloem,NA,NA,NA,NA,10,NA,NA,NA,187.40051301,NA,NA,1,MS,7.04516060,NA,NA
roots,NA,NA,NA,NA,10,NA,NA,NA,103.80867826,NA,NA,1,MS,1.06164308,0.03540089,NA
xylem,NA,NA,NA,NA,10,NA,-0.11900251,NA,NA,NA,NA,1,MS,NA,NA,-0.03392557
phloem,NA,NA,NA,NA,11,NA,NA,NA,184.51118381,NA,NA,1,MS,6.92314552,NA,NA
roots,NA,NA,NA,NA,11,NA,NA,NA,100.48390730,NA,NA,1,MS,1.11776290,0.03548571,NA
xylem,NA,NA,NA,NA,11,NA,-0.11900251,NA,NA,NA,NA,1,MS,NA,NA,-0.03392582
phloem,NA,NA,NA,NA,12,NA,NA,NA,180.80498072,NA,NA,1,MS,6.78861342,NA,NA
roots,NA,NA,NA,NA,12,NA,NA,NA,97.24953074,NA,NA,1,MS,1.17467908,0.03556954,NA
xylem,NA,NA,NA,NA,12,NA,-0.11900251,NA,NA,NA,NA,1,MS,NA,NA,-0.03392605
phloem,NA,NA,NA,NA,13,NA,NA,NA,177.52147067,NA,NA,1,MS,6.65510760,NA,NA
roots,NA,NA,NA,NA,13,NA,NA,NA,94.12294019,NA,NA,1,MS,1.23284168,0.03565231,NA
xylem,NA,NA,NA,NA,13,NA,-0.11900251,NA,NA,NA,NA,1,MS,NA,NA,-0.03392661
phloem,NA,NA,NA,NA,14,NA,NA,NA,174.16208412,NA,NA,1,MS,6.51995339,NA,NA
roots,NA,NA,NA,NA,14,NA,NA,NA,91.09319454,NA,NA,1,MS,1.29156874,0.03573396,NA
xylem,NA,NA,NA,NA,14,NA,-0.11900251,NA,NA,NA,NA,1,MS,NA,NA,-0.03392706
phloem,NA,NA,NA,NA,15,NA,NA,NA,170.83619307,NA,NA,1,MS,6.38505675,NA,NA
roots,NA,NA,NA,NA,15,NA,NA,NA,88.15604722,NA,NA,1,MS,1.35050953,0.03581444,NA
