t,plant,axis,Tsoil,volume,nitrates,Conc_Nitrates_Soil,mineralisation
0,1,MS,12,1,800000.00000000,NA,NA
1,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
2,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
3,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
4,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
5,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
6,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
7,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
8,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
9,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
10,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
11,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
12,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
13,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
14,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
15,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
16,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
17,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
18,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
19,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
20,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
21,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
22,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
23,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
24,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
25,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
26,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
27,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
28,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
29,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
30,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
31,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
32,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
33,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
34,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
35,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
36,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
37,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
38,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
39,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
40,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
41,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
42,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
43,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
44,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
45,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
46,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
47,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
48,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
49,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
50,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
51,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
52,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
53,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
54,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
55,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
56,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
57,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
58,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
59,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
60,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
61,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
62,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
63,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
64,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
65,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
66,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
67,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
68,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
69,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
70,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
71,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
72,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
73,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
74,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
75,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
76,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
77,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
78,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
79,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
80,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
81,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
82,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
83,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
84,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
85,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
86,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
87,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
88,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
89,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
90,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
91,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
92,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
93,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
94,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
95,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
96,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
97,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
98,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
99,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
100,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
101,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
102,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
103,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
104,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
105,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
106,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
107,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
108,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
109,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
110,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
111,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
112,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
113,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
114,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
115,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
116,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
117,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
118,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
119,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
120,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
121,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
122,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
123,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
124,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
125,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
126,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
127,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
128,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
129,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
130,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
131,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
132,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
133,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
134,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
135,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
136,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
137,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
138,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
139,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
140,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
141,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
142,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
143,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
144,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
145,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
146,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
147,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
148,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
149,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
150,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
151,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
152,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
153,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
154,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
155,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
156,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
157,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
158,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
159,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
160,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
161,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
162,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
163,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
164,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
165,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
166,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
167,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
168,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
169,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
170,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
171,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
172,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
173,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
174,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
175,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
