t,plant,axis,organ,AA_consumption_mstruct,C_exudation,Export_Amino_Acids,Export_Nitrates,Export_cytokinins,HATS_LATS,Ksoil,N_exudation,Nstruct,RGR_Structure,R_Nnit_red,R_Nnit_upt,R_grain_growth_starch,R_grain_growth_struct,R_min_upt,R_residual,Respi_growth,SRWC,S_Amino_Acids,S_Proteins,S_cytokinins,S_grain_starch,S_grain_structure,Total_Organic_Nitrogen,Tr,Tsoil,Unloading_Amino_Acids,Unloading_Sucrose,Uptake_Nitrates,age,age_from_flowering,amino_acids,cytokinins,delta_mstruct_growth,green_area,mstruct,nitrates,proteins,rate_mstruct_death,regul_transpiration,senesced_mstruct,soil_water_potential,starch,structure,sucrose,sucrose_consumption_mstruct,sum_respi,total_water_potential,xylem_water_potential
0,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,NA,NA,NA,NA
0,1,MS,roots,0.03454722,NA,NA,NA,NA,NA,NA,NA,0.00017268,NA,NA,NA,NA,NA,NA,NA,1.19303084,NA,NA,NA,NA,NA,NA,14.49031944,NA,NA,NA,NA,NA,NA,NA,2.15598651,8.60000000,0.00009673,NA,0.03449673,21.90533730,NA,0.00000000,NA,0.00000000,NA,NA,NA,197.92736394,3.46439572,NA,NA,NA
0,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.03367976,NA
1,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.23626279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.69217405,NA,NA,NA,NA
1,1,MS,roots,0.03453681,0.00000000,0.46785042,0.68211844,0.09052984,1.44313609,NA,0.00000000,0.00017316,NA,0.10358470,0.14106892,NA,NA,NA,0.07963988,1.19267117,NA,1.51229572,NA,1.33689664,NA,NA,14.00972804,NA,NA,0.00000000,-516.96950667,0.35533734,NA,NA,1.64085830,8.55562739,0.00009670,NA,0.03459344,21.53110660,NA,0.00000000,0.00176003,0.00000000,NA,NA,NA,168.53850197,3.46335130,0.32429350,NA,NA
1,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.03706262,NA
2,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.19178711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124.63641851,NA,NA,NA,NA
2,1,MS,roots,0.03383907,0.00000000,0.30653596,0.54812533,0.07340419,1.46221645,NA,0.00000000,0.00017364,NA,0.10301182,0.13327031,NA,NA,NA,0.07465481,1.16857572,NA,1.49982393,NA,1.32726968,NA,NA,13.72438690,NA,NA,0.00000000,-287.88561595,0.33569348,NA,NA,1.32167808,8.52827356,0.00009475,NA,0.03468818,21.26995852,NA,0.00000000,0.00143166,0.00000000,NA,NA,NA,150.49244014,3.39338147,0.31093694,NA,NA
2,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.03779009,NA
3,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.78329437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153.33255303,NA,NA,NA,NA
