N_content_shoot,plant,N_content,NS_roots,sum_respi_shoot,C_respired_roots,sum_NSC_g,mstruct_shoot,mstruct_stem,C_respired_shoot,C_N_ratio_shoot,NS_laminae,N_content_mstruct_shoot,sum_dry_mass,Cont_WSC_DM_roots,Total_Transpiration,dry_mass_phloem,Cont_WSC_DM,NNI,C_N_ratio,shoot_roots_ratio,N_content_mstruct,Cont_WSC_DM_stem,sum_N_g_shoot,shoot_roots_mstruct_ratio,Total_Photosynthesis,NS_shoot,C_exudated,mstruct,sum_respi_roots,NS_stem,sum_N_g,NS,N_content_total_DM_shoot,sum_dry_mass_laminae,Tillers_Photosynthesis,sum_C_g,Tillers_Photosynthesis_An,sum_dry_mass_stem,sum_dry_mass_shoot,axis,Cont_WSC_DM_laminae,mstruct_laminae,t,Cont_WSC_DM_shoot,sum_dry_mass_roots,N_content_roots,senesced_mstruct,N_content_mstruct_roots
4.24105917,1,2.55233305,17.29138215,0.00000000,1.19403084,0.00740424,0.02024597,0.00660297,6.41304325,9.91890955,41.85596916,6.88454050,0.07457418,13.558467423980886,NA,0.00000000,11.66546016140299,0.96387708,16.53060542,0.78797438,3.47695901,7.517630161219527,0.00139384,0.58689540,0.00000000,38.39735316,0.00000000,0.05468138,0.00100000,29.76517368,0.00190338,26.59294967,4.24105917,0.02346415,0.00000000,0.03146405,34.81002387,0.00940128,0.03286543,MS,9.962433438902659,0.01364300,0.00000000,9.263088572935963,0.04170875,1.22166013,0.00000000,1.47706511
4.20384148,1,2.56010886,19.07786212,1.38472600,1.52403448,0.00791423,0.02054371,0.00689094,1.70446652,10.00777086,40.61955926,6.85759321,0.07626134,14.817004192041269,0.00176011,0.00296371,12.62479616276285,0.95541852,16.47972250,0.78393121,3.54094018,11.874492093174727,0.00140880,0.59386157,39.43878454,38.69800451,0.00000000,0.05513715,0.33136331,34.49845274,0.00195237,27.69974279,4.20384148,0.02299203,39.43878454,0.03217457,39.44079807,0.01052028,0.03351231,MS,8.892138333203583,0.01365277,1.00000000,9.82836710168044,0.04274904,1.27153555,0.00000000,1.57130741
4.14039392,1,2.53576743,19.44189092,1.24938672,1.48428741,0.00826057,0.02055578,0.00690301,1.39347913,10.16017151,41.62781463,6.87305872,0.07718245,15.180413311816487,0.00143171,0.00420448,13.473765887357622,0.94099862,16.64032971,0.79244673,3.54277144,13.141147830765942,0.00141281,0.59258742,35.71110507,39.75907833,0.00000000,0.05524397,0.31571114,35.68693275,0.00195717,28.42418786,4.14039392,0.02338917,35.71110507,0.03256791,35.71523581,0.01073345,0.03412262,MS,10.484441594039932,0.01365277,2.00000000,11.320122808247165,0.04305983,1.26418641,0.00000000,1.56928511
4.08834582,1,2.51506305,19.72942806,1.16659247,1.45205866,0.00855239,0.02059129,0.00691692,1.59051800,10.28884686,42.39695548,6.88341559,0.07799886,15.484039659623114,0.00121586,0.00508252,14.167065405156794,0.92916951,16.77929628,0.80011352,3.54277003,14.34034788752196,0.00141738,0.59202342,32.13277445,40.60585517,0.00000000,0.05537250,0.30472182,36.71571938,0.00196172,29.00857153,4.08834582,0.02373897,32.13277445,0.03291629,32.13549732,0.01092992,0.03466889,MS,11.683452504681657,0.01367437,3.00000000,12.521081155598932,0.04332997,1.25625823,0.00000000,1.56502962
4.05111961,1,2.49986576,19.96027327,1.03053821,1.42625969,0.00877031,0.02063201,0.00693125,1.51667875,10.38305635,42.85976476,6.88778392,0.07864824,15.726065234389946,0.00091632,0.00572883,14.667870720661579,0.92070900,16.88236300,0.80512839,3.54221768,15.354876706672508,0.00142109,0.59163669,26.00979146,41.18399096,0.00000000,0.05550479,0.29696708,37.56458463,0.00196610,29.42653493,4.05111961,0.02397743,26.00979146,0.03319242,26.00319779,0.01110148,0.03507891,MS,12.426946386052808,0.01370076,4.00000000,13.353552997403915,0.04356933,1.25090724,0.00000000,1.56285796
4.04015588,1,2.49622077,20.01499336,0.80918652,1.40500905,0.00883269,0.02067124,0.00694600,1.27748745,10.41138207,42.80592262,6.88381219,0.07893274,15.769928781779555,0.00045908,0.00609009,14.781805153511751,0.91821725,16.90666680,0.80574187,3.54158052,15.991196135348373,0.00142297,0.59122999,12.67972882,41.30932443,0.00000000,0.05563435,0.29085238,38.10920725,0.00197034,29.51675796,4.04015588,0.02399767,12.67972882,0.03331181,12.61946899,0.01122299,0.03522066,MS,12.416328836303215,0.01372525,5.00000000,13.555452571554175,0.04371208,1.25220759,0.00000000,1.56555290
4.04200104,1,2.49916912,19.90001715,0.71280074,1.38759977,0.00880263,0.02071509,0.00696026,1.23626945,10.40696043,42.57527719,6.87676077,0.07900397,15.637938222716983,0.00026376,0.00623473,14.665485311661572,0.91863660,16.88594858,0.80535720,3.54048850,16.254705572388705,0.00142453,0.59097435,5.05329766,41.22231127,0.00440270,0.05576752,0.28596583,38.35194848,0.00197444,29.41174321,4.04200104,0.02395280,5.05329766,0.03334034,4.79128947,0.01129032,0.03524312,MS,12.139760401320837,0.01375483,6.00000000,13.458005069177153,0.04376085,1.25663831,0.00000000,1.56883718
4.05179033,1,2.50615582,19.68010797,0.59706268,1.37236526,0.00872216,0.02074247,0.00696340,0.92398639,10.38111352,42.28035524,6.87420736,0.07894251,15.397380239464054,0.00014956,0.00624736,14.433118122585409,0.92086144,16.83706944,0.80435342,3.54027217,16.333315875727898,0.00142588,0.59026650,0.00000000,41.05807231,0.12455993,0.05588334,0.28173955,38.48019881,0.00197842,29.21008064,4.05179033,0.02387242,0.00000000,0.03331083,0.00000000,0.01131896,0.03519137,MS,11.764941395128494,0.01377907,7.00000000,13.234314103872762,0.04375113,1.26291940,0.00000000,1.57236192
4.05705601,1,2.51287616,19.42281803,0.40148181,1.35794285,0.00864403,0.02076966,0.00696659,0.72601933,10.36730457,42.10422585,6.86897294,0.07888508,15.110541629858968,0.00010228,0.00621170,14.206741646465812,0.92205818,16.79032286,0.80432004,3.53991383,16.3141430796354,0.00142666,0.58957086,0.00000000,40.93649744,0.18172974,0.05599810,0.27788267,38.47793730,0.00198228,29.01306983,4.05705601,0.02384123,0.00000000,0.03328319,0.00000000,0.01132373,0.03516496,MS,11.548410168029037,0.01380306,8.00000000,13.083059609336651,0.04372011,1.27086135,0.00000000,1.57719757
4.06209467,1,2.51948920,19.15607833,0.39891512,1.34331940,0.00856679,0.02079520,0.00696974,0.70380870,10.35405061,41.95815539,6.86490235,0.07882678,14.816844862252857,0.00010241,0.00615508,13.982850116096923,0.92320333,16.74460730,0.80451493,3.53951331,16.257722251030412,0.00142757,0.58884693,0.00000000,40.82807797,0.23823331,0.05611032,0.27423400,38.45095898,0.00198603,28.81820248,4.06209467,0.02381981,0.00000000,0.03325533,0.00000000,0.01132389,0.03514369,MS,11.371919757451817,0.01382546,9.00000000,12.946207147664055,0.04368309,1.27844007,0.00000000,1.58136820
