plant,mstruct,axis,LAI_turgor,green_area,total_water_influx,t,Tr,plant_water_content,xylem_water_potential,plant_WC_DM,Growth,delta_plant_water_content,Total_Transpiration_turgor
1,0.05468138,MS,0.00000000,0.00116948,0.09367640,0,NA,0.50156611,-0.03367976,90.16959517,0.00028005,0.00027858,0.09367787
1,0.05513715,MS,0.00000000,0.00116990,0.11399983,1,NA,0.50156821,-0.03706220,90.16963233,0.00017237,0.00017244,0.11399976
1,0.05524397,MS,0.00000000,0.00117027,0.09284141,2,NA,0.49995961,-0.03778996,90.14112180,0.00016704,0.00016699,0.09284146
1,0.05537250,MS,0.00000000,0.00116958,0.07867302,3,NA,0.50021040,-0.03702807,90.14557764,0.00017889,0.00017850,0.07867342
1,0.05550479,MS,0.00000000,0.00117070,0.05927998,4,NA,0.50059077,-0.03651843,90.15232805,0.00018691,0.00018649,0.05928040
1,0.05563435,MS,0.00000000,0.00117197,0.02970370,5,NA,0.50100533,-0.03582057,90.15967475,0.00019318,0.00019278,0.02970410
1,0.05576752,MS,0.00000000,0.00117318,0.01706437,6,NA,0.50119593,-0.03475605,90.16304871,0.00019796,0.00019755,0.01706478
1,0.05588334,MS,0.00000000,0.00117450,0.00967990,7,NA,0.50120344,-0.03430121,90.16318157,0.00019945,0.00019884,0.00968051
1,0.05599810,MS,0.00000000,0.00117554,0.00662018,8,NA,0.50116868,-0.03403542,90.16256659,0.00020013,0.00019974,0.00662057
1,0.05611032,MS,0.00000000,0.00117653,0.00662829,9,NA,0.50117369,-0.03392529,90.16265515,0.00019977,0.00019914,0.00662892
1,0.05622207,MS,0.00000000,0.00117750,0.00663594,10,NA,0.50119332,-0.03392557,90.16300263,0.00019910,0.00019897,0.00663607
1,0.05634593,MS,0.00000000,0.00117850,0.00664312,11,NA,0.50234499,-0.03392582,90.18334095,0.00019830,0.00019794,0.00664348
1,0.05648831,MS,0.00000000,0.00117960,0.00665097,12,NA,0.50250974,-0.03392605,90.18624349,0.00020586,0.00020576,0.00665107
1,0.05662576,MS,0.00000000,0.00118160,0.00666445,13,NA,0.50267343,-0.03392661,90.18912570,0.00020483,0.00020418,0.00666511
1,0.05675777,MS,0.00000000,0.00118312,0.00668266,14,NA,0.50283629,-0.03392706,90.19199154,0.00020395,0.00020345,0.00668316
1,0.05688690,MS,0.00000000,0.00118463,0.00669335,15,NA,0.50299930,-0.03392768,90.19485840,0.00020302,0.00020252,0.00669385
1,0.05701468,MS,0.00000000,0.00118607,0.00670436,16,NA,0.50316236,-0.03392803,90.19772452,0.00020210,0.00020257,0.00670389
1,0.05713700,MS,0.00000000,0.00118750,0.00670717,17,NA,0.50332635,-0.03392840,90.20060520,0.00020114,0.00019453,0.00671379
1,0.05725787,MS,0.00000000,0.00118874,0.00706389,18,NA,0.50348932,-0.03392846,90.20346640,0.00020024,0.00019767,0.00706646
1,0.05737706,MS,0.00000000,0.00118998,0.02135306,19,NA,0.50359494,-0.03394127,90.20531987,0.00019934,0.00019886,0.02135354
1,0.05749521,MS,0.00000000,0.00119118,0.02894624,20,NA,0.50387693,-0.03445565,90.21026472,0.00019832,0.00015379,0.02899077
1,0.05761177,MS,0.00000000,0.00119254,0.05534067,21,NA,0.50403734,-0.03472897,90.21307540,0.00019814,0.00020080,0.05533801
1,0.05772756,MS,0.00000000,0.00119377,0.07332961,22,NA,0.50437983,-0.03567916,90.21907098,0.00019859,0.00029045,0.07323775
1,0.05784465,MS,0.00000000,0.00119511,0.08152006,23,NA,0.50477502,-0.03632678,90.22598002,0.00020053,0.00028527,0.08143532
1,0.05796302,MS,0.00000000,0.00119655,0.09683333,24,NA,0.50509223,-0.03662170,90.23151879,0.00020335,0.00019452,0.09684216
1,0.05808297,MS,0.00000000,0.00119799,0.11730345,25,NA,0.50539058,-0.03717308,90.23672242,0.00020633,0.00020535,0.11730444
1,0.05820690,MS,0.00000000,0.00119942,0.09502816,26,NA,0.50593723,-0.03791012,90.24624246,0.00020954,0.00030393,0.09493377
1,0.05833468,MS,0.00000000,0.00120107,0.08059876,27,NA,0.50634495,-0.03710832,90.25333095,0.00021383,0.00023057,0.08058202
1,0.05846728,MS,0.00000000,0.00120268,0.06079112,28,NA,0.50673756,-0.03658902,90.26014686,0.00021706,0.00021599,0.06079219
