sum_respi,organ,RGR_Structure,Uptake_Nitrates,WSC_g,amino_acids,senesced_mstruct,sucrose_consumption_mstruct,axis,Unloading_Sucrose,Dry_Mass,R_grain_growth_struct,R_residual,plant,Export_cytokinins,N_tot,sucrose,nitrates,R_grain_growth_starch,S_Amino_Acids,Nstruct,S_grain_structure,Conc_Nitrates,Export_Nitrates,Conc_Amino_Acids,mstruct,cytokinins,Conc_Sucrose,starch,Total_Organic_Nitrogen,S_grain_starch,t,Respi_growth,Unloading_Amino_Acids,AA_consumption_mstruct,regul_transpiration,proteins,N_exudation,R_Nnit_red,HATS_LATS,synthetized_mstruct,structure,Export_Amino_Acids,S_cytokinins,age_from_flowering,Conc_cytokinins,Proteins_N_Mass,S_Proteins,C_exudation,R_Nnit_upt
NA,phloem,NA,NA,0.0,0.00000000,NA,NA,MS,NA,NA,NA,NA,1,NA,0.00000000,0.00000000,NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA,0.0,NA,NA,NA,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,roots,NA,NA,0.005655067541142858,2.15598651,0.00000000,3.46439572,MS,NA,NA,NA,0.09514644,1,NA,0.00050954,197.92736394,21.90533730,NA,NA,0.00017268,NA,634.997499763021,NA,49.998629087452635,0.03449673,8.60000000,478.13073862363177,NA,14.49031944,NA,0.00000000,1.19303084,NA,0.03454722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,249.29899152760274,NA,NA,NA,NA
NA,xylem,NA,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,1,NA,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,phloem,NA,NA,0.0024206405968571426,5.23677762,NA,NA,MS,NA,NA,NA,NA,1,NA,0.00007331,84.72242089,NA,NA,NA,NA,NA,NA,NA,75.98183975776766,NA,NA,128.04799923161303,NA,NA,NA,1.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.32429395,roots,NA,0.35533826,0.0048153997219999994,1.64083187,0.00000000,3.46335130,MS,-516.88607460,NA,NA,0.07699842,1,0.09053377,0.00049757,168.53899027,21.53107944,NA,1.51229601,0.00017316,NA,622.4035377805734,0.68214749,37.9455034249268,0.03459344,8.55562343,405.99939918763016,NA,14.00970162,NA,1.00000000,1.19267117,0.00000000,0.03453681,0.00176011,NA,0.00000000,0.10358472,1.44313738,NA,NA,0.46786340,1.33689668,NA,247.31924405320777,NA,NA,0.00000000,0.14106929
NA,xylem,NA,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,1,NA,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,phloem,NA,NA,0.0035622945617142863,6.19252994,NA,NA,MS,NA,NA,NA,NA,1,NA,0.00008670,124.68030966,NA,NA,NA,NA,NA,NA,NA,89.67537908662248,NA,NA,188.07529228981915,NA,NA,NA,2.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.31093901,roots,NA,0.33569773,0.0042998632671428574,1.32163532,0.00000000,3.39338307,MS,-287.78666113,NA,NA,0.07313444,1,0.07340662,0.00048992,150.49521435,21.26991881,NA,1.49982598,0.00017364,NA,613.174828140306,0.54814291,30.480361206612745,0.03468818,8.52826718,361.5429769592985,NA,13.72434416,NA,2.00000000,1.16857627,0.00000000,0.03383908,0.00143171,NA,0.00000000,0.10301196,1.46221833,NA,NA,0.30653644,1.32727102,NA,245.8551350921265,NA,NA,0.00000000,0.13327200
NA,xylem,NA,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,1,NA,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,phloem,NA,NA,0.004379423174285714,6.77988045,NA,NA,MS,NA,NA,NA,NA,1,NA,0.00009492,153.27981110,NA,NA,NA,NA,NA,NA,NA,97.95303372612759,NA,NA,230.67980661278915,NA,NA,NA,3.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.30162575,roots,NA,0.32156426,0.003958375729428571,1.10659153,0.00000000,3.33170672,MS,-154.51267587,NA,NA,0.07042003,1,0.06222004,0.00048471,138.54315053,21.07998160,NA,1.48982189,0.00017410,NA,606.0738427444013,0.46134520,25.452628703831753,0.03478121,8.51193034,331.9396462678172,NA,13.54252440,NA,3.00000000,1.14733684,0.00000000,0.03322404,0.00121586,NA,0.00000000,0.10259927,1.47777413,NA,NA,0.21796443,1.31812075,NA,244.72783839320135,NA,NA,0.00000000,0.12766101
NA,xylem,NA,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,1,NA,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,phloem,NA,NA,0.004987268063142857,7.15076418,NA,NA,MS,NA,NA,NA,NA,1,NA,0.00010011,174.55438221,NA,NA,NA,NA,NA,NA,NA,103.06518309500856,NA,NA,262.0710485977877,NA,NA,NA,4.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.29463375,roots,NA,0.31052490,0.0037183208177142854,0.97394249,0.00000000,3.27930878,MS,-70.05800633,NA,NA,0.06853649,1,0.04688527,0.00048211,130.14122862,20.99413740,NA,1.48171065,0.00017456,NA,602.0207565900969,0.34627268,22.342755352455413,0.03487278,8.51078747,310.99047408895996,NA,13.44257688,NA,4.00000000,1.12929261,0.00000000,0.03270152,0.00091632,NA,0.00000000,0.10230930,1.48830814,NA,NA,0.14457593,1.30991441,NA,244.0524520844051,NA,NA,0.00000000,0.12327839
NA,xylem,NA,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,1,NA,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,phloem,NA,NA,0.005330762511714287,7.32209240,NA,NA,MS,NA,NA,NA,NA,1,NA,0.00010251,186.57668791,NA,NA,NA,NA,NA,NA,NA,105.28879945573193,NA,NA,279.4686614624478,NA,NA,NA,5.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.28901676,roots,NA,0.30087809,0.0035432752631428567,0.92392420,0.00000000,3.23535612,MS,-21.97414546,NA,NA,0.06736057,1,0.02355071,0.00048294,124.01463421,21.07122228,NA,1.47512613,0.00017501,NA,602.670136609701,0.17412170,21.140549567815906,0.03496311,8.53285333,295.5844846420508,NA,13.42482182,NA,5.00000000,1.11415667,0.00000000,0.03226322,0.00045908,NA,0.00000000,0.10211850,1.49109725,NA,NA,0.06871349,1.30311852,NA,244.05304133413762,NA,NA,0.00000000,0.11944860
NA,xylem,NA,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,1,NA,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,phloem,NA,NA,0.005471125298571427,7.36337909,NA,NA,MS,NA,NA,NA,NA,1,NA,0.00010309,191.48938545,NA,NA,NA,NA,NA,NA,NA,105.62964377831396,NA,NA,286.1423421285364,NA,NA,NA,6.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.28449747,roots,NA,0.29238561,0.003404443021142857,0.90592910,0.00000000,3.19899182,MS,3.78563851,NA,NA,0.06650558,1,0.01358120,0.00048512,119.15550574,21.21274080,NA,1.46942363,0.00017546,NA,605.1715886254995,0.10071019,20.675972343152146,0.03505244,8.56475825,283.2791519886585,NA,13.43872732,NA,6.00000000,1.10163393,0.14556990,0.03190060,0.00026376,NA,0.00575638,0.10198362,1.49078507,NA,NA,0.03870913,1.29695312,NA,244.3412855139329,NA,NA,0.75712770,0.11607709
NA,xylem,NA,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,1,NA,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,phloem,NA,NA,0.005490808141714286,7.29529206,NA,NA,MS,NA,NA,NA,NA,1,NA,0.00010213,192.17828496,NA,NA,NA,NA,NA,NA,NA,104.43602061007807,NA,NA,286.57659116294775,NA,NA,NA,7.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.28045108,roots,NA,0.28445196,0.0032837688188571434,0.92626060,0.00000000,3.16702549,MS,18.60478829,NA,NA,0.06590782,1,0.00773507,0.00048832,114.93190866,21.38914899,NA,1.46408531,0.00017590,NA,608.6689110625066,0.05758275,21.086805502198864,0.03514086,8.60238579,272.5505026057985,NA,13.49064064,NA,7.00000000,1.09062572,0.70625755,0.03158183,0.00014956,NA,0.02998799,0.10186946,1.48876292,NA,NA,0.02244267,1.29084264,NA,244.79724713623966,NA,NA,3.72095766,0.11292743
NA,xylem,NA,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,1,NA,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,phloem,NA,NA,0.005461168056571428,7.23731163,NA,NA,MS,NA,NA,NA,NA,1,NA,0.00010132,191.14088198,NA,NA,NA,NA,NA,NA,NA,103.39367414251554,NA,NA,284.44548710878877,NA,NA,NA,8.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.27668722,roots,NA,0.27675057,0.003170722012857143,0.96307680,0.00000000,3.13634463,MS,24.71034753,NA,NA,0.06539532,1,0.00531435,0.00049188,110.97527045,21.57555904,NA,1.45873803,0.00017634,NA,612.4471886918637,0.03972244,21.870438770493383,0.03522844,8.64230264,262.5134466404606,NA,13.55873271,NA,8.00000000,1.08006018,0.93562656,0.03127587,0.00010228,NA,0.04288877,0.10175034,1.48620045,NA,NA,0.01595796,1.28424564,NA,245.32175253857397,NA,NA,4.94206951,0.10986998
NA,xylem,NA,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,1,NA,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,phloem,NA,NA,0.005413553158285713,7.15047357,NA,NA,MS,NA,NA,NA,NA,1,NA,0.00010011,189.47436054,NA,NA,NA,NA,NA,NA,NA,101.94878332542035,NA,NA,281.4015326414107,NA,NA,NA,9.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.27317242,roots,NA,0.26946077,0.003065233617714286,1.00901159,0.00000000,3.10447539,MS,31.53374349,NA,NA,0.06493469,1,0.00534532,0.00049545,107.28317662,21.75410500,NA,1.45340753,0.00017677,NA,615.9997474169704,0.04010021,22.85732773950648,0.03531512,8.68204006,253.15685514684176,NA,13.63562557,NA,9.00000000,1.06908540,1.19003542,0.03095807,0.00010241,NA,0.05931575,0.10162798,1.48393693,NA,NA,0.01673956,1.27710987,NA,245.8448409633041,NA,NA,6.30674870,0.10697592
NA,xylem,NA,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,1,NA,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,phloem,NA,NA,0.005354300371714285,7.04516060,NA,NA,MS,NA,NA,NA,NA,1,NA,0.00009863,187.40051301,NA,NA,NA,NA,NA,NA,NA,100.24761592733957,NA,NA,277.76831086973493,NA,NA,NA,10.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.26983443,roots,NA,0.26251356,0.002965962236,1.06164308,0.00000000,3.07169463,MS,36.87159291,NA,NA,0.06450788,1,0.00537566,0.00049902,103.80867826,21.92521454,NA,1.44806296,0.00017720,NA,619.3407719410444,0.04046077,23.991330839422403,0.03540089,8.72157396,244.3645679058728,NA,13.71888825,NA,10.00000000,1.05779671,1.38615572,0.03063118,0.00010252,NA,0.07541657,0.10150017,1.48195180,NA,NA,0.01763239,1.26938281,NA,246.36595181646567,NA,NA,7.37431858,0.10421788
NA,xylem,NA,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,1,NA,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,phloem,NA,NA,0.005271748108857142,6.92314552,NA,NA,MS,NA,NA,NA,NA,1,NA,0.00009692,184.51118381,NA,NA,NA,NA,NA,NA,NA,98.29487978989786,NA,NA,272.8845186185882,NA,NA,NA,11.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.26659913,roots,NA,0.25579746,0.0028709687799999997,1.11776290,0.00000000,3.03781455,MS,40.09146335,NA,NA,0.06408721,1,0.00540605,0.00050253,100.48390730,22.08917734,NA,1.44262762,0.00017763,NA,622.4809180935086,0.04080989,25.199166650462963,0.03548571,8.76087717,235.97270398892024,NA,13.80530139,NA,11.00000000,1.04612946,1.50429383,0.03029332,0.00010264,NA,0.08919388,0.10136147,1.48023047,NA,NA,0.01858566,1.26092296,NA,246.88465215998218,NA,NA,8.01829267,0.10155159
NA,xylem,NA,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,1,NA,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,phloem,NA,NA,0.005165856591999999,6.78861342,NA,NA,MS,NA,NA,NA,NA,1,NA,0.00009504,180.80498072,NA,NA,NA,NA,NA,NA,NA,96.14185193361246,NA,NA,266.72919984093465,NA,NA,NA,12.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.26339155,roots,NA,0.24920961,0.002778558021142857,1.17467908,0.00000000,3.00226842,MS,41.35247852,NA,NA,0.06364749,1,0.00544166,0.00050593,97.24953074,22.24615630,NA,1.43701688,0.00017804,NA,625.4271576185691,0.04118713,26.419888027790073,0.03556954,8.79991051,227.8389757547235,NA,13.89215642,NA,12.00000000,1.03388847,1.55264523,0.02993886,0.00010286,NA,0.09989949,0.10120577,1.47876307,NA,NA,0.01957349,1.25154276,NA,247.40017751143256,NA,NA,8.27049570,0.09893621
NA,xylem,NA,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,1,NA,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,phloem,NA,NA,0.005072042019142858,6.65510760,NA,NA,MS,NA,NA,NA,NA,1,NA,0.00009317,177.52147067,NA,NA,NA,NA,NA,NA,NA,94.02233329848465,NA,NA,261.2495777392951,NA,NA,NA,13.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.26021925,roots,NA,0.24278358,0.0026892268625714286,1.23284168,0.00000000,2.96438497,MS,43.02470639,NA,NA,0.06319576,1,0.00547415,0.00050927,94.12294019,22.39634485,NA,1.43126092,0.00017846,NA,628.1877625881745,0.04153004,27.66365893261895,0.03565231,8.83863910,220.00196759106677,NA,13.97988010,NA,13.00000000,1.02084258,1.61295447,0.02956108,0.00010302,NA,0.11270929,0.10103495,1.47753684,NA,NA,0.02057477,1.24123621,NA,247.91210162819743,NA,NA,8.60494128,0.09638508
NA,xylem,NA,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,1,NA,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,phloem,NA,NA,0.004976059546285715,6.51995339,NA,NA,MS,NA,NA,NA,NA,1,NA,0.00009128,174.16208412,NA,NA,NA,NA,NA,NA,NA,91.8986547921104,NA,NA,255.7096061032701,NA,NA,NA,14.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.25707432,roots,NA,0.23650195,0.0026026627011428573,1.29156874,0.00000000,2.92438974,MS,44.25054697,NA,NA,0.06272718,1,0.00551276,0.00051251,91.09319454,22.53987213,NA,1.42534468,0.00017887,NA,630.7689416454263,0.04190899,28.915210964583828,0.03573396,8.87701701,212.4337617493275,NA,14.06776940,NA,14.00000000,1.00706946,1.65656897,0.02916224,0.00010330,NA,0.12548165,0.10084776,1.47654240,NA,NA,0.02161303,1.22991884,NA,248.41962687594653,NA,NA,8.85010939,0.09389127
NA,xylem,NA,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,1,NA,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,phloem,NA,NA,0.004881034087714286,6.38505675,NA,NA,MS,NA,NA,NA,NA,1,NA,0.00008939,170.83619307,NA,NA,NA,NA,NA,NA,NA,89.79299979432875,NA,NA,250.2570789144777,NA,NA,NA,15.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.25395044,roots,NA,0.23035850,0.002518744206285715,1.35050953,0.00000000,2.88215984,MS,45.23509511,NA,NA,0.06224003,1,0.00554465,0.00051565,88.15604722,22.67695351,NA,1.41926310,0.00017927,NA,633.1790615740466,0.04222707,30.16681606636876,0.03581444,8.91500799,205.12221518285176,NA,14.15545132,NA,15.00000000,0.99252679,1.69067599,0.02874112,0.00010345,NA,0.13859611,0.10064362,1.47576595,NA,NA,0.02263323,1.21752133,NA,248.9221663105719,NA,NA,9.04701902,0.09145233
NA,xylem,NA,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,1,NA,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,phloem,NA,NA,0.0047854952999999995,6.25079310,NA,NA,MS,NA,NA,NA,NA,1,NA,0.00008751,167.49233550,NA,NA,NA,NA,NA,NA,NA,87.7078408578282,NA,NA,244.80878652655772,NA,NA,NA,16.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.25083931,roots,NA,0.22434154,0.0024372674962857147,1.40919070,0.00000000,2.83765830,MS,45.91125530,NA,NA,0.06173126,1,0.00557625,0.00051871,85.30436237,22.80774859,NA,1.41300416,0.00017967,NA,635.4253713816391,0.04253341,31.408116250024023,0.03589367,8.95256696,198.0487608028565,NA,14.24242984,NA,16.00000000,0.97720183,1.71340233,0.02829735,0.00010360,NA,0.15168677,0.10042145,1.47519615,NA,NA,0.02365158,1.20395733,NA,249.41910258828366,NA,NA,9.18225106,0.08906359
NA,xylem,NA,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,1,NA,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,phloem,NA,NA,0.004693901040285714,6.11902671,NA,NA,MS,NA,NA,NA,NA,1,NA,0.00008567,164.28653641,NA,NA,NA,NA,NA,NA,NA,85.67515564345345,NA,NA,239.60909219653348,NA,NA,NA,17.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.24774574,roots,NA,0.21846119,0.002358350935428572,1.46761837,0.00000000,2.79079831,MS,46.56794113,NA,NA,0.06120326,1,0.00560638,0.00052165,82.54228274,22.93242039,NA,1.40657893,0.00018005,NA,637.5147829161848,0.04281967,32.63949956062549,0.03597159,8.98964556,191.22100417764875,NA,14.32868757,NA,17.00000000,0.96106470,1.73447248,0.02783006,0.00010373,NA,0.16559747,0.10018183,1.47482123,NA,NA,0.02466318,1.18919216,NA,249.9095969902915,NA,NA,9.31358823,0.08672909
NA,xylem,NA,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,1,NA,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,phloem,NA,NA,0.004601254486285715,6.01958231,NA,NA,MS,NA,NA,NA,NA,1,NA,0.00008427,161.04390702,NA,NA,NA,NA,NA,NA,NA,84.10487236077765,NA,NA,234.3839473071562,NA,NA,NA,18.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.24466957,roots,NA,0.21272160,0.002281804308,1.52426614,0.00000000,2.74169851,MS,46.91266584,NA,NA,0.06064881,1,0.00592461,0.00052446,79.86315078,23.04893593,NA,1.39997539,0.00018044,NA,639.3930320973475,0.04529744,33.82733682588427,0.03604815,9.02590588,184.6214733627107,NA,14.41267577,NA,18.00000000,0.94415625,1.75352585,0.02734043,0.00010918,NA,0.17907480,0.09992371,1.47473426,NA,NA,0.02696038,1.17313569,NA,250.38471821716232,NA,NA,9.38253317,0.08445048
NA,xylem,NA,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,1,NA,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,phloem,NA,NA,0.004558834228,6.04385328,NA,NA,MS,NA,NA,NA,NA,1,NA,0.00008461,159.55919798,NA,NA,NA,NA,NA,NA,NA,84.26856698478451,NA,NA,231.7406962236592,NA,NA,NA,19.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.24219099,roots,NA,0.20825807,0.0022151310439999998,1.53862975,0.00000000,2.69030000,MS,57.77980478,NA,NA,0.05999070,1,0.01795097,0.00052531,77.52958654,23.06871474,NA,1.39383563,0.00018081,NA,638.6109214365146,0.13700432,34.07509342315909,0.03612327,9.04962267,178.85420888898855,NA,14.45386726,NA,19.00000000,0.92645619,2.18860879,0.02682788,0.00032994,NA,0.22933626,0.09969279,1.47915346,NA,NA,0.08224083,1.15718166,NA,250.52058326945485,NA,NA,11.55596096,0.08267846
NA,xylem,NA,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,1,NA,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,phloem,NA,NA,0.004611308872285714,6.02790427,NA,NA,MS,NA,NA,NA,NA,1,NA,0.00008439,161.39581053,NA,NA,NA,NA,NA,NA,NA,83.87348121695703,NA,NA,233.92645887370443,NA,NA,NA,20.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.23990496,roots,NA,0.20455396,0.0021553941405714288,1.53072963,0.00000000,2.64248090,MS,66.53626169,NA,NA,0.05929370,1,0.02442057,0.00052511,75.43879492,23.03558658,NA,1.38801068,0.00018118,NA,636.3940315578203,0.18577037,33.831036065093706,0.03619705,9.06634250,173.67620409213828,NA,14.47231817,NA,20.00000000,0.90998877,2.48503486,0.02635103,0.00044803,NA,0.27001764,0.09947894,1.48599602,NA,NA,0.11110105,1.14124490,NA,250.47186165723446,NA,NA,13.30725234,0.08120792
NA,xylem,NA,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,1,NA,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,phloem,NA,NA,0.004848371093142856,6.09572881,NA,NA,MS,NA,NA,NA,NA,1,NA,0.00008534,169.69298826,NA,NA,NA,NA,NA,NA,NA,84.6456036327299,NA,NA,245.45474570560842,NA,NA,NA,21.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.23855644,roots,NA,0.20288834,0.0021097152554285714,1.44484702,0.00000000,2.59699993,MS,87.94983607,NA,NA,0.05843194,1,0.04657932,0.00052143,73.84003394,22.83268897,NA,1.38322621,0.00018154,NA,629.5275975225505,0.35144576,31.869082944485683,0.03626956,9.06036006,169.65566060538552,NA,14.41233304,NA,21.00000000,0.89432653,3.15934297,0.02589749,0.00085512,NA,0.34418743,0.09933463,1.50081141,NA,NA,0.20015462,1.12718677,NA,249.80617520587515,NA,NA,17.58996721,0.08054667
NA,xylem,NA,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,1,NA,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
