proteins,mstruct,plant,organ,Tsoil,sucrose,amino_acids,Ksoil,age,t,green_area,total_water_potential,SRWC,Tr,axis,soil_water_potential,xylem_water_potential
NA,NA,1,phloem,NA,0.00000000,0.00000000,NA,NA,0,NA,NA,NA,NA,MS,NA,NA
NA,0.03449673,1,roots,NA,197.92736394,2.15598651,NA,NA,0,NA,NA,NA,NA,MS,NA,NA
NA,NA,1,xylem,NA,NA,NA,NA,NA,0,NA,-0.03367976,NA,NA,MS,-0.11900251,NA
NA,NA,1,phloem,NA,84.72242089,5.23677762,NA,NA,1,NA,NA,NA,NA,MS,NA,NA
NA,0.03459344,1,roots,NA,168.53899027,1.64083187,NA,NA,1,NA,NA,NA,NA,MS,NA,NA
NA,NA,1,xylem,NA,NA,NA,NA,NA,1,NA,-0.03706220,NA,NA,MS,-0.11900251,NA
NA,NA,1,phloem,NA,124.68030966,6.19252994,NA,NA,2,NA,NA,NA,NA,MS,NA,NA
NA,0.03468818,1,roots,NA,150.49521435,1.32163532,NA,NA,2,NA,NA,NA,NA,MS,NA,NA
NA,NA,1,xylem,NA,NA,NA,NA,NA,2,NA,-0.03778996,NA,NA,MS,-0.11900251,NA
NA,NA,1,phloem,NA,153.27981110,6.77988045,NA,NA,3,NA,NA,NA,NA,MS,NA,NA
NA,0.03478121,1,roots,NA,138.54315053,1.10659153,NA,NA,3,NA,NA,NA,NA,MS,NA,NA
NA,NA,1,xylem,NA,NA,NA,NA,NA,3,NA,-0.03702807,NA,NA,MS,-0.11900251,NA
NA,NA,1,phloem,NA,174.55438221,7.15076418,NA,NA,4,NA,NA,NA,NA,MS,NA,NA
NA,0.03487278,1,roots,NA,130.14122862,0.97394249,NA,NA,4,NA,NA,NA,NA,MS,NA,NA
NA,NA,1,xylem,NA,NA,NA,NA,NA,4,NA,-0.03651843,NA,NA,MS,-0.11900251,NA
NA,NA,1,phloem,NA,186.57668791,7.32209240,NA,NA,5,NA,NA,NA,NA,MS,NA,NA
NA,0.03496311,1,roots,NA,124.01463421,0.92392420,NA,NA,5,NA,NA,NA,NA,MS,NA,NA
NA,NA,1,xylem,NA,NA,NA,NA,NA,5,NA,-0.03582057,NA,NA,MS,-0.11900251,NA
NA,NA,1,phloem,NA,191.48938545,7.36337909,NA,NA,6,NA,NA,NA,NA,MS,NA,NA
NA,0.03505244,1,roots,NA,119.15550574,0.90592910,NA,NA,6,NA,NA,NA,NA,MS,NA,NA
NA,NA,1,xylem,NA,NA,NA,NA,NA,6,NA,-0.03475605,NA,NA,MS,-0.11900251,NA
NA,NA,1,phloem,NA,192.17828496,7.29529206,NA,NA,7,NA,NA,NA,NA,MS,NA,NA
NA,0.03514086,1,roots,NA,114.93190866,0.92626060,NA,NA,7,NA,NA,NA,NA,MS,NA,NA
NA,NA,1,xylem,NA,NA,NA,NA,NA,7,NA,-0.03430121,NA,NA,MS,-0.11900251,NA
NA,NA,1,phloem,NA,191.14088198,7.23731163,NA,NA,8,NA,NA,NA,NA,MS,NA,NA
NA,0.03522844,1,roots,NA,110.97527045,0.96307680,NA,NA,8,NA,NA,NA,NA,MS,NA,NA
NA,NA,1,xylem,NA,NA,NA,NA,NA,8,NA,-0.03403542,NA,NA,MS,-0.11900251,NA
NA,NA,1,phloem,NA,189.47436054,7.15047357,NA,NA,9,NA,NA,NA,NA,MS,NA,NA
NA,0.03531512,1,roots,NA,107.28317662,1.00901159,NA,NA,9,NA,NA,NA,NA,MS,NA,NA
NA,NA,1,xylem,NA,NA,NA,NA,NA,9,NA,-0.03392529,NA,NA,MS,-0.11900251,NA
NA,NA,1,phloem,NA,187.40051301,7.04516060,NA,NA,10,NA,NA,NA,NA,MS,NA,NA
NA,0.03540089,1,roots,NA,103.80867826,1.06164308,NA,NA,10,NA,NA,NA,NA,MS,NA,NA
NA,NA,1,xylem,NA,NA,NA,NA,NA,10,NA,-0.03392557,NA,NA,MS,-0.11900251,NA
NA,NA,1,phloem,NA,184.51118381,6.92314552,NA,NA,11,NA,NA,NA,NA,MS,NA,NA
NA,0.03548571,1,roots,NA,100.48390730,1.11776290,NA,NA,11,NA,NA,NA,NA,MS,NA,NA
