t,plant,axis,water_content,SRWC,water_potential
0,1,MS,80.00000000,80.00000000,-0.03367976
1,1,MS,80.00000000,80.00000000,-0.03367976
2,1,MS,80.00000000,80.00000000,-0.03367976
3,1,MS,80.00000000,80.00000000,-0.03367976
4,1,MS,80.00000000,80.00000000,-0.03367976
5,1,MS,80.00000000,80.00000000,-0.03367976
6,1,MS,80.00000000,80.00000000,-0.03367976
7,1,MS,80.00000000,80.00000000,-0.03367976
8,1,MS,80.00000000,80.00000000,-0.03367976
9,1,MS,80.00000000,80.00000000,-0.03367976
10,1,MS,80.00000000,80.00000000,-0.03367976
11,1,MS,80.00000000,80.00000000,-0.03367976
12,1,MS,80.00000000,80.00000000,-0.03367976
13,1,MS,80.00000000,80.00000000,-0.03367976
14,1,MS,80.00000000,80.00000000,-0.03367976
15,1,MS,80.00000000,80.00000000,-0.03367976
16,1,MS,80.00000000,80.00000000,-0.03367976
17,1,MS,80.00000000,80.00000000,-0.03367976
18,1,MS,80.00000000,80.00000000,-0.03367976
19,1,MS,80.00000000,80.00000000,-0.03367976
20,1,MS,80.00000000,80.00000000,-0.03367976
21,1,MS,80.00000000,80.00000000,-0.03367976
22,1,MS,80.00000000,80.00000000,-0.03367976
23,1,MS,80.00000000,80.00000000,-0.03367976
24,1,MS,80.00000000,80.00000000,-0.03367976
25,1,MS,80.00000000,80.00000000,-0.03367976
26,1,MS,80.00000000,80.00000000,-0.03367976
27,1,MS,80.00000000,80.00000000,-0.03367976
28,1,MS,80.00000000,80.00000000,-0.03367976
29,1,MS,80.00000000,80.00000000,-0.03367976
30,1,MS,80.00000000,80.00000000,-0.03367976
31,1,MS,80.00000000,80.00000000,-0.03367976
32,1,MS,80.00000000,80.00000000,-0.03367976
33,1,MS,80.00000000,80.00000000,-0.03367976
34,1,MS,80.00000000,80.00000000,-0.03367976
35,1,MS,80.00000000,80.00000000,-0.03367976
36,1,MS,80.00000000,80.00000000,-0.03367976
37,1,MS,80.00000000,80.00000000,-0.03367976
38,1,MS,80.00000000,80.00000000,-0.03367976
39,1,MS,80.00000000,80.00000000,-0.03367976
40,1,MS,80.00000000,80.00000000,-0.03367976
41,1,MS,80.00000000,80.00000000,-0.03367976
42,1,MS,80.00000000,80.00000000,-0.03367976
43,1,MS,80.00000000,80.00000000,-0.03367976
44,1,MS,80.00000000,80.00000000,-0.03367976
45,1,MS,80.00000000,80.00000000,-0.03367976
46,1,MS,80.00000000,80.00000000,-0.03367976
47,1,MS,80.00000000,80.00000000,-0.03367976
48,1,MS,80.00000000,80.00000000,-0.03367976
49,1,MS,80.00000000,80.00000000,-0.03367976
50,1,MS,80.00000000,80.00000000,-0.03367976
51,1,MS,80.00000000,80.00000000,-0.03367976
52,1,MS,80.00000000,80.00000000,-0.03367976
53,1,MS,80.00000000,80.00000000,-0.03367976
54,1,MS,80.00000000,80.00000000,-0.03367976
55,1,MS,80.00000000,80.00000000,-0.03367976
56,1,MS,80.00000000,80.00000000,-0.03367976
57,1,MS,80.00000000,80.00000000,-0.03367976
58,1,MS,80.00000000,80.00000000,-0.03367976
59,1,MS,80.00000000,80.00000000,-0.03367976
60,1,MS,80.00000000,80.00000000,-0.03367976
61,1,MS,80.00000000,80.00000000,-0.03367976
62,1,MS,80.00000000,80.00000000,-0.03367976
63,1,MS,80.00000000,80.00000000,-0.03367976
64,1,MS,80.00000000,80.00000000,-0.03367976
65,1,MS,80.00000000,80.00000000,-0.03367976
66,1,MS,80.00000000,80.00000000,-0.03367976
67,1,MS,80.00000000,80.00000000,-0.03367976
68,1,MS,80.00000000,80.00000000,-0.03367976
69,1,MS,80.00000000,80.00000000,-0.03367976
70,1,MS,80.00000000,80.00000000,-0.03367976
71,1,MS,80.00000000,80.00000000,-0.03367976
72,1,MS,80.00000000,80.00000000,-0.03367976
73,1,MS,80.00000000,80.00000000,-0.03367976
74,1,MS,80.00000000,80.00000000,-0.03367976
75,1,MS,80.00000000,80.00000000,-0.03367976
76,1,MS,80.00000000,80.00000000,-0.03367976
77,1,MS,80.00000000,80.00000000,-0.03367976
78,1,MS,80.00000000,80.00000000,-0.03367976
79,1,MS,80.00000000,80.00000000,-0.03367976
80,1,MS,80.00000000,80.00000000,-0.03367976
81,1,MS,80.00000000,80.00000000,-0.03367976
82,1,MS,80.00000000,80.00000000,-0.03367976
83,1,MS,80.00000000,80.00000000,-0.03367976
84,1,MS,80.00000000,80.00000000,-0.03367976
85,1,MS,80.00000000,80.00000000,-0.03367976
86,1,MS,80.00000000,80.00000000,-0.03367976
87,1,MS,80.00000000,80.00000000,-0.03367976
88,1,MS,80.00000000,80.00000000,-0.03367976
89,1,MS,80.00000000,80.00000000,-0.03367976
90,1,MS,80.00000000,80.00000000,-0.03367976
91,1,MS,80.00000000,80.00000000,-0.03367976
92,1,MS,80.00000000,80.00000000,-0.03367976
93,1,MS,80.00000000,80.00000000,-0.03367976
94,1,MS,80.00000000,80.00000000,-0.03367976
95,1,MS,80.00000000,80.00000000,-0.03367976
96,1,MS,80.00000000,80.00000000,-0.03367976
97,1,MS,80.00000000,80.00000000,-0.03367976
98,1,MS,80.00000000,80.00000000,-0.03367976
