t,plant,axis,organ,AA_consumption_mstruct,C_exudation,Export_Amino_Acids,Export_Nitrates,Export_cytokinins,HATS_LATS,Ksoil,N_exudation,Nstruct,RGR_Structure,R_Nnit_red,R_Nnit_upt,R_grain_growth_starch,R_grain_growth_struct,R_min_upt,R_residual,Respi_growth,SRWC,S_Amino_Acids,S_Proteins,S_cytokinins,S_grain_starch,S_grain_structure,Total_Organic_Nitrogen,Tr,Tsoil,Unloading_Amino_Acids,Unloading_Sucrose,Uptake_Nitrates,age,age_from_flowering,amino_acids,cytokinins,delta_mstruct_growth,green_area,mstruct,nitrates,proteins,rate_mstruct_death,regul_transpiration,senesced_mstruct,soil_water_potential,starch,structure,sucrose,sucrose_consumption_mstruct,sum_respi,total_water_potential,xylem_water_potential
0,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,NA,NA,NA,NA
0,1,MS,roots,0.03454722,NA,NA,NA,NA,NA,NA,NA,0.00017268,NA,NA,NA,NA,NA,NA,NA,1.19303084,NA,NA,NA,NA,NA,NA,14.49031944,NA,NA,NA,NA,NA,NA,NA,2.15598651,8.60000000,0.00009673,NA,0.03449673,21.90533730,NA,0.00000000,NA,0.00000000,NA,NA,NA,197.92736394,3.46439572,NA,NA,NA
0,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.03367976,NA
1,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.23529869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.59284048,NA,NA,NA,NA
1,1,MS,roots,0.03453681,0.00000000,0.46786513,0.68215170,0.09053437,1.44313795,NA,0.00000000,0.00017316,NA,0.10358417,0.14106280,NA,NA,NA,0.07963834,1.19267117,NA,1.51228803,NA,1.33689198,NA,NA,14.00969661,NA,NA,0.00000000,-517.16600008,0.35532193,NA,NA,1.64082686,8.55562275,0.00009670,NA,0.03459344,21.53106729,NA,0.00000000,0.00176012,0.00000000,NA,NA,NA,168.52573624,3.46335130,0.32428532,NA,NA
1,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.03706303,NA
2,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.18980187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124.49748195,NA,NA,NA,NA
2,1,MS,roots,0.03383865,0.00000000,0.30655337,0.54816566,0.07340986,1.46222137,NA,0.00000000,0.00017364,NA,0.10301081,0.13326010,NA,NA,NA,0.07465195,1.16856123,NA,1.49980939,NA,1.32725849,NA,NA,13.72435775,NA,NA,0.00000000,-288.14170691,0.33566776,NA,NA,1.32164935,8.52826290,0.00009475,NA,0.03468818,21.26985257,NA,0.00000000,0.00143178,0.00000000,NA,NA,NA,150.47293925,3.39333939,0.31092287,NA,NA
2,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.03779054,NA
3,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.77552292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153.00569624,NA,NA,NA,NA
3,1,MS,roots,0.03322305,0.00000000,0.21798460,0.46137626,0.06222460,1.47778083,NA,0.00000000,0.00017410,NA,0.10259696,0.12763914,NA,NA,NA,0.07135973,1.14730266,NA,1.48978862,NA,1.31809100,NA,NA,13.54254306,NA,NA,0.00000000,-155.00975366,0.32150916,NA,NA,1.10661161,8.51192058,0.00009302,NA,0.03478121,21.07983311,NA,0.00000000,0.00121595,0.00000000,NA,NA,NA,138.50490097,3.33160747,0.30159582,NA,NA
3,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.03702863,NA
