t,plant,axis,metamer,AA_consumption_mstruct,D_Fructan,D_Proteins,Growth,LSIW,LSSW,Nstruct,Respi_growth,SL_ratio,SSLW,S_Fructan,S_Proteins,Unloading_Amino_Acids,Unloading_Sucrose,WC_mstruct,amino_acids,delta_hiddenzone_dimensions_plastic,delta_internode_L,delta_internode_distance_to_emerge,delta_internode_pseudo_age,delta_leaf_L,delta_leaf_pseudo_age,delta_leaf_pseudostem_length,delta_teq,epsilon_volume,fructan,hiddenzone_age,init_leaf_L,internode_L,internode_Lmax,internode_Lmax_lig,internode_distance_to_emerge,internode_enclosed_Nstruct,internode_enclosed_mstruct,internode_is_growing,internode_is_remobilizing,internode_is_visible,internode_pseudo_age,is_over,lamina_Lmax,leaf_L,leaf_Lmax,leaf_Wmax,leaf_enclosed_Nstruct,leaf_enclosed_mstruct,leaf_is_emerged,leaf_is_growing,leaf_is_remobilizing,leaf_pseudo_age,leaf_pseudostem_length,length,length_hz_En,mean_conc_sucrose,mstruct,nb_replications,omega,organ_volume,osmotic_water_potential,phi_length,phi_thickness,phi_volume,phi_width,proteins,ratio_DZ,res,resistance,sheath_Lmax,sheath_is_emerged,sucrose,sucrose_consumption_mstruct,temperature,thickness,thickness_prev,total_water_potential,turgor_water_potential,volume,water_content,water_influx,water_outflow,width,width_prev
0,1,b'T1',1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47900000,NA,0.00000008,0.00002000,NA,0.00000000,3224.08248997,0.00000000,3224.08248997,NA,3.50000000,3290744.08248997,0.02650000,0.00001008,NA,NA,0.02895000,0.00000000,0.00000017,True,NA,False,0.00000000,False,0.09910648,0.02650000,NA,0.00200000,0.00000248,0.00049600,False,True,NA,760224.08248997,0.02894000,NA,NA,1808.37588065,0.00049600,NA,NA,NA,NA,NA,NA,NA,NA,4.79000000,0.09063688,0.00000000,NA,0.03399352,False,2.92000000,NA,11.00000000,0.00051000,0.00045000,NA,NA,NA,NA,NA,NA,0.00200000,0.00400000
0,1,b'T1',2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02110000,NA,0.00000039,0.00006000,NA,0.00004946,NA,0.00006000,3224.08248997,NA,0.00000000,2742824.08248997,0.00200000,0.00005039,NA,NA,0.02900000,0.00000000,0.00000000,True,NA,False,0.00000000,False,NA,0.00204946,NA,NA,0.00000006,0.00001120,False,True,NA,NA,0.02900000,0.00204946,NA,1817.28192575,0.00001120,NA,NA,NA,NA,NA,NA,NA,NA,0.21100000,1.00000000,0.00000000,NA,NA,False,0.06580000,NA,11.00000000,0.00050000,0.00051000,NA,NA,NA,NA,NA,NA,0.00300000,0.00200000
0,1,b'T1',3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00576000,NA,0.00000000,0.00006000,NA,0.00001169,NA,0.00006000,3224.08248997,NA,0.00000000,2194904.08248997,0.00072000,0.00000000,NA,NA,0.02900000,0.00000000,0.00000000,False,NA,False,0.00000000,False,NA,0.00073169,NA,NA,0.00000002,0.00000305,False,True,NA,NA,0.02900000,0.00073169,NA,NA,0.00000305,NA,NA,NA,NA,NA,NA,NA,NA,0.05760000,1.00000000,0.00000000,NA,NA,False,0.01790000,NA,11.00000000,0.00050000,0.00050000,NA,NA,NA,NA,NA,NA,0.00300000,0.00300000
0,1,b'T1',4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00199000,NA,0.00000000,0.00006000,NA,0.00000481,NA,0.00006000,3224.08248997,NA,0.00000000,1646984.08248997,0.00031000,0.00000000,NA,NA,0.02900000,0.00000000,0.00000000,False,NA,False,0.00000000,False,NA,0.00031481,NA,NA,0.00000001,0.00000105,False,True,NA,NA,0.02900000,0.00031481,NA,NA,0.00000105,NA,NA,NA,NA,NA,NA,NA,NA,0.01990000,1.00000000,0.00000000,NA,NA,False,0.00619000,NA,11.00000000,0.00050000,0.00050000,NA,NA,NA,NA,NA,NA,0.00300000,0.00300000
0,1,b'T1',5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00088200,NA,0.00000000,0.00006000,NA,0.00000236,NA,0.00006000,3224.08248997,NA,0.00000000,1099064.08248997,0.00016000,0.00000000,NA,NA,0.02900000,0.00000000,0.00000000,False,NA,False,0.00000000,False,NA,0.00016236,NA,NA,0.00000000,0.00000047,False,True,NA,NA,0.02900000,0.00016236,NA,NA,0.00000047,NA,NA,NA,NA,NA,NA,NA,NA,0.00882000,1.00000000,0.00000000,NA,NA,False,0.00275000,NA,11.00000000,0.00050000,0.00050000,NA,NA,NA,NA,NA,NA,0.00300000,0.00300000
0,1,b'T1',6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00033900,NA,0.00000000,0.00006000,NA,0.00000098,NA,0.00006000,3224.08248997,NA,0.00000000,551144.08248997,0.00007000,0.00000000,NA,NA,0.02900000,0.00000000,0.00000000,False,NA,False,0.00000000,False,NA,0.00007098,NA,NA,0.00000000,0.00000018,False,True,NA,NA,0.02900000,0.00007098,NA,NA,0.00000018,NA,NA,NA,NA,NA,NA,NA,NA,0.00339000,1.00000000,0.00000000,NA,NA,False,0.00105000,NA,11.00000000,0.00050000,0.00050000,NA,NA,NA,NA,NA,NA,0.00300000,0.00300000
0,1,b'T1',7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00023800,NA,0.00000000,0.00006000,NA,0.00000065,NA,0.00006000,3224.08248997,NA,0.00000000,3224.08248997,0.00005000,0.00000000,NA,NA,0.02900000,0.00000000,0.00000000,False,NA,False,0.00000000,False,NA,0.00005065,NA,NA,0.00000000,0.00000013,False,True,NA,NA,0.02900000,0.00005065,NA,NA,0.00000013,NA,NA,NA,NA,NA,NA,NA,NA,0.00238000,1.00000000,0.00000000,NA,NA,False,0.00074000,NA,11.00000000,0.00050000,0.00050000,NA,NA,NA,NA,NA,NA,0.00300000,0.00300000
0,1,b'T2',1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02110000,NA,0.00000039,0.00006000,NA,0.00004946,NA,0.00006000,3224.08248997,NA,0.00000000,2742824.08248997,0.00200000,0.00005039,NA,NA,0.02900000,0.00000000,0.00000000,True,NA,False,0.00000000,False,NA,0.00204946,NA,NA,0.00000006,0.00001120,False,True,NA,NA,0.02900000,0.00204946,NA,1817.28192575,0.00001120,NA,NA,NA,NA,NA,NA,NA,NA,0.21100000,1.00000000,0.00000000,NA,NA,False,0.06580000,NA,11.00000000,0.00050000,0.00051000,NA,NA,NA,NA,NA,NA,0.00300000,0.00200000
0,1,b'T2',2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00576000,NA,0.00000000,0.00006000,NA,0.00001169,NA,0.00006000,3224.08248997,NA,0.00000000,2194904.08248997,0.00072000,0.00000000,NA,NA,0.02900000,0.00000000,0.00000000,False,NA,False,0.00000000,False,NA,0.00073169,NA,NA,0.00000002,0.00000305,False,True,NA,NA,0.02900000,0.00073169,NA,NA,0.00000305,NA,NA,NA,NA,NA,NA,NA,NA,0.05760000,1.00000000,0.00000000,NA,NA,False,0.01790000,NA,11.00000000,0.00050000,0.00050000,NA,NA,NA,NA,NA,NA,0.00300000,0.00300000
0,1,b'T2',3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00199000,NA,0.00000000,0.00006000,NA,0.00000481,NA,0.00006000,3224.08248997,NA,0.00000000,1646984.08248997,0.00031000,0.00000000,NA,NA,0.02900000,0.00000000,0.00000000,False,NA,False,0.00000000,False,NA,0.00031481,NA,NA,0.00000001,0.00000105,False,True,NA,NA,0.02900000,0.00031481,NA,NA,0.00000105,NA,NA,NA,NA,NA,NA,NA,NA,0.01990000,1.00000000,0.00000000,NA,NA,False,0.00619000,NA,11.00000000,0.00050000,0.00050000,NA,NA,NA,NA,NA,NA,0.00300000,0.00300000
