t,plant,axis,metamer,organ,element,Ag,Amino_Acids_import,An,D_Fructan,D_Proteins,D_Starch,D_cytokinins,Loading_Amino_Acids,Loading_Sucrose,N_content_total,Nitrates_import,Nresidual,Nstruct,PARa,PARa_prim,Photosynthesis,R_Nnit_red,R_phloem_loading,R_residual,Rd,Regul_S_Fructan,S_Amino_Acids,S_Fructan,S_Proteins,S_Starch,S_Sucrose,Total_Organic_Nitrogen,Total_Transpiration_turgor,Tr,Transpiration,Ts,VPDa,WC_mstruct,Wmax,age,ambient_CO2,amino_acids,area_prim,cytokinins,cytokinins_import,epsilon_volume,fructan,green_area,gs,gs_VPD,gs_VPD_psi,gs_psi,height,is_growing,is_over,length,max_mstruct,max_proteins,mstruct,nb_replications,nitrates,organ_volume,osmotic_water_potential,proteins,resistance,senesced_length_element,senesced_mstruct,starch,sucrose,sum_respi,thickness,total_water_influx,total_water_potential,triosesP,turgor_water_potential,volume,water_content,water_influx,width
0,1,MS,1,blade,LeafElement1,16.08781488,NA,15.95167535,NA,NA,NA,NA,NA,NA,0.06848600,NA,0.00000000,0.00002050,452.31001669,NA,NA,NA,NA,NA,0.13613953,NA,NA,NA,NA,NA,NA,20.08972257,0.02216950,1.75148174,NA,18.26934281,0.37481091,96.75378873,0.00300000,240.40044528,NA,1.69000000,NA,0.34907527,NA,46.15384615,0.00000000,0.00019497,0.24462887,0.23256332,0.23235844,0.23463677,0.04750747,False,False,0.08184664,0.00410677,4400.00000000,0.00410677,1.00000000,0.00000000,0.00000008,-0.50092345,16.93543686,11048.24952233,0,0.00000000,0.00000000,24.15745785,NA,0.00039907,0.02216950,-0.10171705,0.00000000,0.39920640,0.00000012,0.12240280,0.02216950,0.00232481
0,1,MS,1,sheath,StemElement,1.42109526,NA,1.81091341,NA,NA,NA,NA,NA,NA,0.02322060,NA,0.00000000,0.00000855,183.72481473,NA,NA,NA,NA,NA,0.01100359,NA,NA,NA,NA,NA,NA,2.83623099,0.00948576,0.54498069,NA,17.26724098,0.37481091,96.13457700,NA,240.40044528,NA,0.20231970,NA,0.04104000,NA,46.15384615,0.00000000,0.00026807,0.13350319,0.07053180,0.07050876,0.07076499,0.01424321,False,False,0.02844308,0.00171000,1183.15614503,0.00171000,1.00000000,0.00000000,0.00000003,-0.42163109,2.02319701,2976.17830122,0,0.00000000,0.00000000,10.05882353,NA,0.00039900,0.00948576,-0.04152179,0.00000000,0.38010930,0.00000004,0.04252837,0.00948576,0.00299401
0,1,MS,2,blade,LeafElement1,16.67906341,NA,16.53096726,NA,NA,NA,NA,NA,NA,0.08023525,NA,0.00000000,0.00002420,423.00662932,NA,NA,NA,NA,NA,0.14809615,NA,NA,NA,NA,NA,NA,27.72496500,0.02599196,1.66388029,NA,17.69083043,0.37481091,96.89721785,0.00330000,160.40044528,NA,2.36000000,NA,0.48860194,NA,46.15384615,0.00000000,0.00024063,0.23868301,0.23932685,0.23911438,0.24147711,0.06200019,False,False,0.09183085,0.00483764,4885.93175850,0.00483764,1.00000000,0.00000000,0.00000010,-0.51512580,23.63639357,10731.69320275,0,0.00000000,0.00000000,28.45672340,NA,0.00041903,0.02599194,-0.11116240,0.00000000,0.40396340,0.00000015,0.15107543,0.02599194,0.00255729
0,1,MS,2,sheath,HiddenElement,0.00000000,NA,0.00000000,NA,NA,NA,NA,NA,NA,0.03084455,NA,0.00000000,0.00001140,NA,NA,NA,NA,NA,NA,0.00000000,NA,NA,NA,NA,NA,NA,5.02325484,0.00000000,0.00000000,NA,20.00000000,0.00000000,95.37887991,NA,160.40044528,NA,0.38263356,NA,0.07980000,NA,46.15384615,6.70588235,0.00024800,0.00000000,0.00000000,0.00000000,0.00000000,NA,False,False,0.02850785,0.00228000,1678.21735658,0.00228000,1.00000000,0.00000000,0.00000004,-0.75499398,3.82633557,2569.46153792,0,0.00000000,0.00000000,13.41176471,NA,0.00042014,0.00000000,-0.03367976,0.00000000,0.72131422,0.00000005,0.04705869,0.00000000,0.00330091
0,1,MS,2,sheath,StemElement,1.91683426,NA,2.43955637,NA,NA,NA,NA,NA,NA,0.03084455,NA,0.00000000,0.00000020,95.24996562,NA,NA,NA,NA,NA,0.01792346,NA,NA,NA,NA,NA,NA,0.08812728,0.00011606,0.38007309,NA,14.61173681,0.37481091,95.36291635,NA,160.40044528,NA,0.00671287,NA,0.00140000,NA,46.15384615,0.00000000,0.00000471,0.12945879,0.07770271,0.07767162,0.07801734,0.02873631,False,False,0.00049944,0.00004000,1678.21735000,0.00004000,1.00000000,0.00000000,0.00000000,-0.54638122,0.06712869,45.15670641,0,0.00000000,0.00000000,0.23529412,NA,0.00041941,0.00011606,-0.03368122,0.00000000,0.51270000,0.00000000,0.00082261,0.00011606,0.00329632
0,1,MS,3,blade,LeafElement1,16.57438652,NA,16.42012425,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,0.00002355,390.85551914,NA,NA,NA,NA,NA,0.15426226,NA,NA,NA,NA,NA,NA,26.17348287,0.02139864,1.55943373,NA,17.31030428,0.37481091,96.35718488,0.00401860,80.40044528,NA,2.50079420,NA,0.56882686,NA,46.15384615,0.00000000,0.00021364,0.22967146,0.23812835,0.23791723,0.24026501,0.06325997,True,False,0.07065131,0.00470014,0.00000000,0.00470014,1.00000000,0.00000000,0.00000010,-0.63637817,25.04856775,6549.55688212,0,0.00000000,0.00000000,29.21556150,NA,0.00044957,0.02139714,-0.07260804,0.00000000,0.56377014,0.00000011,0.11032333,0.02139714,0.00301547
0,1,MS,4,internode,HiddenElement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,NA,0.00000000,NA,0.00000000,NA,NA,0.00000000,0.00000000,NA,NA,NA,NA,NA,True,False,0.00001007,0.00000000,0.00000000,0.00000000,NA,0.00000000,NA,NA,0.00000000,NA,0,0.00000000,0.00000000,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,1,MS,5,internode,HiddenElement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,NA,0.00000000,NA,0.00000000,NA,NA,0.00000000,0.00000000,NA,NA,NA,NA,NA,True,False,0.00005035,0.00000000,0.00000000,0.00000000,NA,0.00000000,NA,NA,0.00000000,NA,0,0.00000000,0.00000000,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,MS,1,blade,LeafElement1,18.09006216,0.11694795,17.94293454,0.00000000,3.98952083,146.52127702,2.73345910,0.49794990,11.39946581,0.06848600,0.16451359,0.00000000,0.00002050,554.33042695,NA,12.69553871,0.16286977,0.00028089,0.21006787,0.14712762,0.00000000,40.05946199,0.00000003,5.15239727,259.54034374,2698.83180932,19.66270802,0.02738701,2.16774029,0.00042259,19.39034198,0.37481091,96.75277775,0.00300000,240.80089055,NA,1.25744671,NA,0.35982537,0.02176927,46.15384615,0.00000000,0.00019494,0.26884238,0.25548645,0.25536330,0.25792904,0.04741501,False,False,0.08183651,0.00410677,4400.00000000,0.00410677,1.00000000,0.00009753,0.00000008,-0.50108469,16.94097560,11029.29346426,0,0.00000000,0.72328783,19.41999357,0.37321853,0.00039900,0.02738700,-0.12044577,0.00130150,0.38063892,0.00000012,0.12236342,0.02738700,0.00232481
1,1,MS,1,sheath,StemElement,1.52303749,0.04782007,1.94083037,0.00000000,5.24343233,27.50385014,0.88592829,0.05243150,2.25276205,0.02322060,0.06726969,0.00000000,0.00000855,225.16471278,NA,1.46976714,0.06659866,0.00002311,0.02455007,0.01178180,0.00000000,39.33998630,0.00000025,3.75571965,48.74418560,680.15985657,2.91698604,0.01119749,0.64461147,0.00017280,18.32405745,0.37481091,96.13430357,NA,240.80089055,NA,0.28652702,NA,0.04855944,0.00890147,46.15384615,0.00000000,0.00026806,0.13940098,0.07200605,0.07200568,0.07228062,0.01421477,False,False,0.02844227,0.00171000,1183.15614503,0.00171000,1.00000000,0.00010909,0.00000003,-0.42166211,2.01974474,2976.28358715,0,0.00000000,0.05653272,5.51097804,0.09117184,0.00039899,0.01119749,-0.04579790,0.00010049,0.37586422,0.00000004,0.04252524,0.01119749,0.00299392
