t,plant,axis,C_exudated,GA,Growth,LAI_turgor,SAM_height,SAM_temperature,Total_Transpiration,Total_Transpiration_turgor,Tr,cohort,delta_plant_water_content,delta_teq,delta_teq_roots,green_area,mstruct,nb_leaves,plant_WC_DM,plant_water_content,res,senesced_mstruct,status,sum_TT,sum_respi_roots,sum_respi_shoot,teq_since_primordium,total_water_influx,xylem_water_potential
0,1,b'T1',NA,False,NA,NA,0,12.00000000,NA,NA,NA,4,NA,3600.00000000,3600.00000000,NA,NA,7,NA,NA,0.00000000,NA,vegetative,0.50000000,NA,NA,3600.00000000,NA,-0.11900251
0,1,b'T2',NA,False,NA,NA,0,12.00000000,NA,NA,NA,5,NA,3600.00000000,3600.00000000,NA,NA,6,NA,NA,0.00000000,NA,vegetative,0.50000000,NA,NA,3600.00000000,NA,-0.11900251
0,1,b'T3',NA,False,NA,NA,0,12.00000000,NA,NA,NA,6,NA,3600.00000000,3600.00000000,NA,NA,5,NA,NA,0.00000000,NA,vegetative,0.50000000,NA,NA,3600.00000000,NA,-0.11900251
0,1,b'T4',NA,False,NA,NA,0,12.00000000,NA,NA,NA,7,NA,3600.00000000,3600.00000000,NA,NA,4,NA,NA,0.00000000,NA,vegetative,0.50000000,NA,NA,3600.00000000,NA,-0.11900251
0,1,MS,0.00000000,False,0.00038326,0.00000000,0,12.00000000,NA,0.08648595,NA,1,0.00038132,3600.00000000,3600.00000000,0.00116948,0.05468138,10,90.17232368,0.50172054,0.00000000,0.00000000,vegetative,0.50000000,0.00100000,0.00000000,3600.00000000,0.08648402,-0.03367976
1,1,b'T1',NA,False,NA,NA,0,12.00000000,NA,NA,NA,4,NA,3600.00000000,3600.00000000,NA,NA,7,NA,NA,0.00000000,NA,vegetative,1.00000000,NA,NA,7200.00000000,NA,-0.11900251
1,1,b'T2',NA,False,NA,NA,0,12.00000000,NA,NA,NA,5,NA,3600.00000000,3600.00000000,NA,NA,6,NA,NA,0.00000000,NA,vegetative,1.00000000,NA,NA,7200.00000000,NA,-0.11900251
1,1,b'T3',NA,False,NA,NA,0,12.00000000,NA,NA,NA,6,NA,3600.00000000,3600.00000000,NA,NA,5,NA,NA,0.00000000,NA,vegetative,1.00000000,NA,NA,7200.00000000,NA,-0.11900251
1,1,b'T4',NA,False,NA,NA,0,12.00000000,NA,NA,NA,7,NA,3600.00000000,3600.00000000,NA,NA,4,NA,NA,0.00000000,NA,vegetative,1.00000000,NA,NA,7200.00000000,NA,-0.11900251
1,1,MS,0.00000000,False,0.00023105,0.00000000,0,12.00000000,0.00164158,0.10631692,NA,1,0.00023095,3600.00000000,3600.00000000,0.00117047,0.05531016,10,90.17340922,0.50178201,0.00000000,0.00000000,vegetative,1.00000000,0.38597261,1.47865370,7200.00000000,0.10631682,-0.03680699
2,1,b'T1',NA,False,NA,NA,0,12.00000000,NA,NA,NA,4,NA,3600.00000000,3600.00000000,NA,NA,7,NA,NA,0.00000000,NA,vegetative,1.50000000,NA,NA,10800.00000000,NA,-0.11900251
2,1,b'T2',NA,False,NA,NA,0,12.00000000,NA,NA,NA,5,NA,3600.00000000,3600.00000000,NA,NA,6,NA,NA,0.00000000,NA,vegetative,1.50000000,NA,NA,10800.00000000,NA,-0.11900251
2,1,b'T3',NA,False,NA,NA,0,12.00000000,NA,NA,NA,6,NA,3600.00000000,3600.00000000,NA,NA,5,NA,NA,0.00000000,NA,vegetative,1.50000000,NA,NA,10800.00000000,NA,-0.11900251
2,1,b'T4',NA,False,NA,NA,0,12.00000000,NA,NA,NA,7,NA,3600.00000000,3600.00000000,NA,NA,4,NA,NA,0.00000000,NA,vegetative,1.50000000,NA,NA,10800.00000000,NA,-0.11900251
2,1,MS,0.00000000,False,0.00023348,0.00000000,0,12.00000000,0.00132224,0.08571351,NA,1,0.00023302,3600.00000000,3600.00000000,0.00117089,0.05544991,10,90.14680590,0.50027957,0.00000000,0.00000000,vegetative,1.50000000,0.36663834,1.35550071,10800.00000000,0.08571306,-0.03751549
3,1,b'T1',NA,False,NA,NA,0,12.00000000,NA,NA,NA,4,NA,3600.00000000,3600.00000000,NA,NA,7,NA,NA,0.00000000,NA,vegetative,2.00000000,NA,NA,14400.00000000,NA,-0.11900251
3,1,b'T2',NA,False,NA,NA,0,12.00000000,NA,NA,NA,5,NA,3600.00000000,3600.00000000,NA,NA,6,NA,NA,0.00000000,NA,vegetative,2.00000000,NA,NA,14400.00000000,NA,-0.11900251
3,1,b'T3',NA,False,NA,NA,0,12.00000000,NA,NA,NA,6,NA,3600.00000000,3600.00000000,NA,NA,5,NA,NA,0.00000000,NA,vegetative,2.00000000,NA,NA,14400.00000000,NA,-0.11900251
3,1,b'T4',NA,False,NA,NA,0,12.00000000,NA,NA,NA,7,NA,3600.00000000,3600.00000000,NA,NA,4,NA,NA,0.00000000,NA,vegetative,2.00000000,NA,NA,14400.00000000,NA,-0.11900251
3,1,MS,0.00000000,False,0.00025126,0.00000000,0,12.00000000,0.00111491,0.07211207,NA,1,0.00025081,3600.00000000,3600.00000000,0.00117047,0.05561979,10,90.15302862,0.50063028,0.00000000,0.00000000,vegetative,2.00000000,0.35316027,1.27883545,14400.00000000,0.07211163,-0.03677384
