t,plant,axis,C_exudated,GA,Growth,LAI_turgor,SAM_height,SAM_temperature,Total_Transpiration,Total_Transpiration_turgor,Tr,cohort,delta_plant_water_content,delta_teq,delta_teq_roots,green_area,mstruct,nb_leaves,plant_WC_DM,plant_water_content,res,senesced_mstruct,status,sum_TT,sum_respi_roots,sum_respi_shoot,teq_since_primordium,total_water_influx,xylem_water_potential
0,1,b'T1',NA,False,NA,NA,0,12.00000000,NA,NA,NA,4,NA,1621.34290250,1621.34290250,NA,NA,7,NA,NA,0.00000000,NA,vegetative,0.37531086,NA,NA,1621.34290250,NA,-0.11900251
0,1,b'T2',NA,False,NA,NA,0,12.00000000,NA,NA,NA,5,NA,1621.34290250,1621.34290250,NA,NA,6,NA,NA,0.00000000,NA,vegetative,0.37531086,NA,NA,1621.34290250,NA,-0.11900251
0,1,b'T3',NA,False,NA,NA,0,12.00000000,NA,NA,NA,6,NA,1621.34290250,1621.34290250,NA,NA,5,NA,NA,0.00000000,NA,vegetative,0.37531086,NA,NA,1621.34290250,NA,-0.11900251
0,1,b'T4',NA,False,NA,NA,0,12.00000000,NA,NA,NA,7,NA,1621.34290250,1621.34290250,NA,NA,4,NA,NA,0.00000000,NA,vegetative,0.37531086,NA,NA,1621.34290250,NA,-0.11900251
0,1,MS,0.00000000,False,0.00018338,0.00000000,0,12.00000000,NA,0.08648595,NA,1,0.00018246,1621.34290250,1621.34290250,0.00116948,0.05468138,10,90.17429437,0.50183214,0.00000000,0.00000000,vegetative,0.37531086,0.00100000,0.00000000,1621.34290250,0.08648502,-0.00000000
1,1,b'T1',NA,False,NA,NA,0,12.00000000,NA,NA,NA,4,NA,1621.34290250,1621.34290250,NA,NA,7,NA,NA,0.00000000,NA,vegetative,0.75062171,NA,NA,3242.68580500,NA,-0.11900251
1,1,b'T2',NA,False,NA,NA,0,12.00000000,NA,NA,NA,5,NA,1621.34290250,1621.34290250,NA,NA,6,NA,NA,0.00000000,NA,vegetative,0.75062171,NA,NA,3242.68580500,NA,-0.11900251
1,1,b'T3',NA,False,NA,NA,0,12.00000000,NA,NA,NA,6,NA,1621.34290250,1621.34290250,NA,NA,5,NA,NA,0.00000000,NA,vegetative,0.75062171,NA,NA,3242.68580500,NA,-0.11900251
1,1,b'T4',NA,False,NA,NA,0,12.00000000,NA,NA,NA,7,NA,1621.34290250,1621.34290250,NA,NA,4,NA,NA,0.00000000,NA,vegetative,0.75062171,NA,NA,3242.68580500,NA,-0.11900251
1,1,MS,0.00000000,False,0.00012422,0.00000000,0,12.00000000,0.00164009,0.10623056,NA,1,0.00012400,1621.34290250,1621.34290250,0.00116928,0.05511808,10,90.17367316,0.50179696,0.00000000,0.00000000,vegetative,0.75062171,0.38881428,1.48711197,3242.68580500,0.10623035,-0.00312006
2,1,b'T1',NA,False,NA,NA,0,12.00000000,NA,NA,NA,4,NA,1621.34290250,1621.34290250,NA,NA,7,NA,NA,0.00000000,NA,vegetative,1.12593257,NA,NA,4864.02870750,NA,-0.11900251
2,1,b'T2',NA,False,NA,NA,0,12.00000000,NA,NA,NA,5,NA,1621.34290250,1621.34290250,NA,NA,6,NA,NA,0.00000000,NA,vegetative,1.12593257,NA,NA,4864.02870750,NA,-0.11900251
2,1,b'T3',NA,False,NA,NA,0,12.00000000,NA,NA,NA,6,NA,1621.34290250,1621.34290250,NA,NA,5,NA,NA,0.00000000,NA,vegetative,1.12593257,NA,NA,4864.02870750,NA,-0.11900251
2,1,b'T4',NA,False,NA,NA,0,12.00000000,NA,NA,NA,7,NA,1621.34290250,1621.34290250,NA,NA,4,NA,NA,0.00000000,NA,vegetative,1.12593257,NA,NA,4864.02870750,NA,-0.11900251
2,1,MS,0.00000000,False,0.00012079,0.00000000,0,12.00000000,0.00131995,0.08562454,NA,1,0.00012051,1621.34290250,1621.34290250,0.00116962,0.05517992,10,90.14530699,0.50019516,0.00000000,0.00000000,vegetative,1.12593257,0.37096065,1.36266999,4864.02870750,0.08562426,-0.00382876
3,1,b'T1',NA,False,NA,NA,0,12.00000000,NA,NA,NA,4,NA,1621.34290250,1621.34290250,NA,NA,7,NA,NA,0.00000000,NA,vegetative,1.50124343,NA,NA,6485.37161000,NA,-0.11900251
3,1,b'T2',NA,False,NA,NA,0,12.00000000,NA,NA,NA,5,NA,1621.34290250,1621.34290250,NA,NA,6,NA,NA,0.00000000,NA,vegetative,1.50124343,NA,NA,6485.37161000,NA,-0.11900251
3,1,b'T3',NA,False,NA,NA,0,12.00000000,NA,NA,NA,6,NA,1621.34290250,1621.34290250,NA,NA,5,NA,NA,0.00000000,NA,vegetative,1.50124343,NA,NA,6485.37161000,NA,-0.11900251
3,1,b'T4',NA,False,NA,NA,0,12.00000000,NA,NA,NA,7,NA,1621.34290250,1621.34290250,NA,NA,4,NA,NA,0.00000000,NA,vegetative,1.50124343,NA,NA,6485.37161000,NA,-0.11900251
