t,plant,axis,organ,AA_consumption_mstruct,C_exudation,Export_Amino_Acids,Export_Nitrates,Export_cytokinins,HATS_LATS,Ksoil,N_exudation,Nstruct,RGR_Structure,R_Nnit_red,R_Nnit_upt,R_grain_growth_starch,R_grain_growth_struct,R_min_upt,R_residual,Respi_growth,SRWC,S_Amino_Acids,S_Proteins,S_cytokinins,S_grain_starch,S_grain_structure,Total_Organic_Nitrogen,Tr,Tsoil,Unloading_Amino_Acids,Unloading_Sucrose,Uptake_Nitrates,age,age_from_flowering,amino_acids,cytokinins,delta_mstruct_growth,green_area,mstruct,nitrates,proteins,rate_mstruct_death,regul_transpiration,senesced_mstruct,soil_water_potential,starch,structure,sucrose,sucrose_consumption_mstruct,sum_respi,total_water_potential,xylem_water_potential
0,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,NA,NA,NA,NA
0,1,MS,roots,0.01942730,NA,NA,NA,NA,NA,NA,NA,0.00017247,NA,NA,NA,NA,NA,NA,NA,0.67088931,NA,NA,NA,NA,NA,NA,14.49031944,NA,NA,NA,NA,NA,NA,NA,2.17110643,8.60000000,0.00005440,NA,0.03445440,21.90533730,NA,0.00000000,NA,0.00000000,NA,NA,NA,199.96573188,1.94816931,NA,NA,NA
0,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.00000000,NA
1,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.29670469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.57453144,NA,NA,NA,NA
1,1,MS,roots,0.01942452,0.00000000,0.45271438,0.63868183,0.08450124,1.68676798,NA,0.00000000,0.00017274,NA,0.12182707,0.16640122,NA,NA,NA,0.09184468,0.67079355,NA,1.78299017,NA,1.57641197,NA,NA,14.04252692,NA,NA,0.00000000,-541.36906611,0.41914665,NA,NA,1.70388938,8.56990959,0.00005439,NA,0.03450879,21.63436616,NA,0.00000000,0.00164009,0.00000000,NA,NA,NA,170.76619613,1.94789123,0.38007297,NA,NA
1,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.00312006,NA
2,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.17809954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137.74145871,NA,NA,NA,NA
2,1,MS,roots,0.01903031,0.00000000,0.30288486,0.51002374,0.06789830,1.70060049,NA,0.00000000,0.00017301,NA,0.12112622,0.15757227,NA,NA,NA,0.08659371,0.65718010,NA,1.76999987,NA,1.56718612,NA,NA,13.77413414,NA,NA,0.00000000,-292.64540342,0.39690748,NA,NA,1.41646630,8.55625308,0.00005328,NA,0.03456207,21.46651715,NA,0.00000000,0.00131995,0.00000000,NA,NA,NA,154.02225348,1.90835966,0.36529219,NA,NA
2,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.00382876,NA
3,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.70455510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171.17783651,NA,NA,NA,NA
