t,plant,axis,Conc_Nitrates_Soil,SRWC,Tsoil,mineralisation,nitrates,volume,water_content,water_potential
0,1,MS,NA,80.00000000,12,NA,800000.00000000,1,80.00000000,-0.00000000
1,1,MS,357143.00000000,80.00000000,12,0.00393238,357143.00000000,1,80.00000000,-0.00000000
2,1,MS,357143.00000000,80.00000000,12,0.00393238,357143.00000000,1,80.00000000,-0.00000000
3,1,MS,357143.00000000,80.00000000,12,0.00393238,357143.00000000,1,80.00000000,-0.00000000
4,1,MS,357143.00000000,80.00000000,12,0.00393238,357143.00000000,1,80.00000000,-0.00000000
5,1,MS,357143.00000000,80.00000000,12,0.00393238,357143.00000000,1,80.00000000,-0.00000000
6,1,MS,357143.00000000,80.00000000,12,0.00393238,357143.00000000,1,80.00000000,-0.00000000
7,1,MS,357143.00000000,80.00000000,12,0.00393238,357143.00000000,1,80.00000000,-0.00000000
8,1,MS,357143.00000000,80.00000000,12,0.00393238,357143.00000000,1,80.00000000,-0.00000000
9,1,MS,357143.00000000,80.00000000,12,0.00393238,357143.00000000,1,80.00000000,-0.00000000
10,1,MS,357143.00000000,80.00000000,12,0.00393238,357143.00000000,1,80.00000000,-0.00000000
11,1,MS,357143.00000000,80.00000000,12,0.00393238,357143.00000000,1,80.00000000,-0.00000000
12,1,MS,357143.00000000,80.00000000,12,0.00393238,357143.00000000,1,80.00000000,-0.00000000
13,1,MS,357143.00000000,80.00000000,12,0.00393238,357143.00000000,1,80.00000000,-0.00000000
14,1,MS,357143.00000000,80.00000000,12,0.00393238,357143.00000000,1,80.00000000,-0.00000000
15,1,MS,357143.00000000,80.00000000,12,0.00393238,357143.00000000,1,80.00000000,-0.00000000
16,1,MS,357143.00000000,80.00000000,12,0.00393238,357143.00000000,1,80.00000000,-0.00000000
17,1,MS,357143.00000000,80.00000000,12,0.00393238,357143.00000000,1,80.00000000,-0.00000000
18,1,MS,357143.00000000,80.00000000,12,0.00393238,357143.00000000,1,80.00000000,-0.00000000
19,1,MS,357143.00000000,80.00000000,12,0.00393238,357143.00000000,1,80.00000000,-0.00000000
20,1,MS,357143.00000000,80.00000000,12,0.00393238,357143.00000000,1,80.00000000,-0.00000000
21,1,MS,357143.00000000,80.00000000,12,0.00393238,357143.00000000,1,80.00000000,-0.00000000
22,1,MS,357143.00000000,80.00000000,12,0.00393238,357143.00000000,1,80.00000000,-0.00000000
23,1,MS,357143.00000000,80.00000000,12,0.00393238,357143.00000000,1,80.00000000,-0.00000000
24,1,MS,357143.00000000,80.00000000,12,0.00393238,357143.00000000,1,80.00000000,-0.00000000
25,1,MS,357143.00000000,80.00000000,12,0.00393238,357143.00000000,1,80.00000000,-0.00000000
26,1,MS,357143.00000000,80.00000000,12,0.00393238,357143.00000000,1,80.00000000,-0.00000000
27,1,MS,357143.00000000,80.00000000,12,0.00393238,357143.00000000,1,80.00000000,-0.00000000
28,1,MS,357143.00000000,80.00000000,12,0.00393238,357143.00000000,1,80.00000000,-0.00000000
29,1,MS,357143.00000000,80.00000000,12,0.00393238,357143.00000000,1,80.00000000,-0.00000000
30,1,MS,357143.00000000,80.00000000,12,0.00393238,357143.00000000,1,80.00000000,-0.00000000
31,1,MS,357143.00000000,80.00000000,12,0.00393238,357143.00000000,1,80.00000000,-0.00000000
32,1,MS,357143.00000000,80.00000000,12,0.00393238,357143.00000000,1,80.00000000,-0.00000000
33,1,MS,357143.00000000,80.00000000,12,0.00393238,357143.00000000,1,80.00000000,-0.00000000
34,1,MS,357143.00000000,80.00000000,12,0.00393238,357143.00000000,1,80.00000000,-0.00000000
35,1,MS,357143.00000000,80.00000000,12,0.00393238,357143.00000000,1,80.00000000,-0.00000000
36,1,MS,357143.00000000,80.00000000,12,0.00393238,357143.00000000,1,80.00000000,-0.00000000
37,1,MS,357143.00000000,80.00000000,12,0.00393238,357143.00000000,1,80.00000000,-0.00000000
38,1,MS,357143.00000000,80.00000000,12,0.00393238,357143.00000000,1,80.00000000,-0.00000000
39,1,MS,357143.00000000,80.00000000,12,0.00393238,357143.00000000,1,80.00000000,-0.00000000
40,1,MS,357143.00000000,80.00000000,12,0.00393238,357143.00000000,1,80.00000000,-0.00000000
41,1,MS,357143.00000000,80.00000000,12,0.00393238,357143.00000000,1,80.00000000,-0.00000000
42,1,MS,357143.00000000,80.00000000,12,0.00393238,357143.00000000,1,80.00000000,-0.00000000
43,1,MS,357143.00000000,80.00000000,12,0.00393238,357143.00000000,1,80.00000000,-0.00000000
44,1,MS,357143.00000000,80.00000000,12,0.00393238,357143.00000000,1,80.00000000,-0.00000000
45,1,MS,357143.00000000,80.00000000,12,0.00393238,357143.00000000,1,80.00000000,-0.00000000
46,1,MS,357143.00000000,80.00000000,12,0.00393238,357143.00000000,1,80.00000000,-0.00000000
47,1,MS,357143.00000000,80.00000000,12,0.00393238,357143.00000000,1,80.00000000,-0.00000000
48,1,MS,357143.00000000,80.00000000,12,0.00393238,357143.00000000,1,80.00000000,-0.00000000
49,1,MS,357143.00000000,80.00000000,12,0.00393238,357143.00000000,1,80.00000000,-0.00000000
50,1,MS,357143.00000000,80.00000000,12,0.00393238,357143.00000000,1,80.00000000,-0.00000000
51,1,MS,357143.00000000,80.00000000,12,0.00393238,357143.00000000,1,80.00000000,-0.00000000
52,1,MS,357143.00000000,80.00000000,12,0.00393238,357143.00000000,1,80.00000000,-0.00000000
53,1,MS,357143.00000000,80.00000000,12,0.00393238,357143.00000000,1,80.00000000,-0.00000000
54,1,MS,357143.00000000,80.00000000,12,0.00393238,357143.00000000,1,80.00000000,-0.00000000
