Tillers_Photosynthesis_An,sum_N_g,sum_dry_mass,sum_dry_mass_stem,Cont_WSC_DM_laminae,mstruct_laminae,Cont_WSC_DM,N_content_mstruct_shoot,N_content_mstruct,sum_respi_roots,NS,N_content_roots,Cont_WSC_DM_roots,mstruct_stem,N_content_shoot,Cont_WSC_DM_shoot,Cont_WSC_DM_stem,Total_Photosynthesis,N_content_mstruct_roots,N_content_total_DM_shoot,C_N_ratio,t,Tillers_Photosynthesis,mstruct_shoot,axis,sum_respi_shoot,dry_mass_phloem,mstruct,C_respired_roots,sum_C_g,C_respired_shoot,Total_Transpiration,plant,NS_shoot,N_content,sum_dry_mass_roots,shoot_roots_ratio,NS_roots,sum_N_g_shoot,sum_dry_mass_shoot,sum_NSC_g,senesced_mstruct,NNI,C_N_ratio_shoot,sum_dry_mass_laminae,C_exudated,NS_stem,NS_laminae,shoot_roots_mstruct_ratio
41.43755615,0.00190340,0.07460039,0.00944210,9.957009263028858,0.01362532,11.779217562864941,6.89202043,3.48106369,0.00100000,26.70464463,1.22115094,13.692363457500079,0.00659890,4.23997843,9.350916589652968,7.84680169587996,0.00000000,1.47888285,4.23997843,16.53552513,0.00000000,0.00000000,0.02022422,MS,0.00000000,0.00000000,0.05468138,0.67188931,0.03147368,6.15332781,NA,1,38.47989178,2.55145800,0.04172623,0.78785370,17.42747266,0.00139386,0.03287416,0.00741387,0.00000000,0.96363146,9.92109839,0.02343206,0.00000000,30.11193780,41.85181212,0.58698512
47.53721924,0.00196870,0.07677670,0.01079022,9.482836455623456,0.01363444,13.083735393965027,6.90366440,3.57178589,0.38881428,28.20984526,1.27305488,15.239811451222776,0.00697489,4.19761454,10.356070037340151,12.225933090722616,47.51037148,1.58192282,4.19761454,16.44920913,1.00000000,47.51037148,0.02060933,MS,1.48711197,0.00319427,0.05511808,1.05960783,0.03238358,1.74133387,0.00164009,1,39.19729725,2.56419062,0.04288130,0.79044742,19.52484213,0.00142280,0.03389541,0.00813162,0.00000000,0.95400330,10.02050931,0.02310519,0.00000000,35.35918155,40.98971275,0.59721958
42.27335925,0.00197437,0.07790358,0.01104666,11.342231477205763,0.01363444,14.20135835251152,6.92033460,3.57806181,0.37096065,29.16893809,1.26505290,15.862343966549314,0.00698342,4.12126642,12.12482616083465,13.794939947213244,42.24459006,1.58424277,4.12126642,16.64332260,2.00000000,42.24459006,0.02061786,MS,1.36266999,0.00457616,0.05517992,1.02814075,0.03286011,1.46480318,0.00131995,1,40.44700650,2.53437918,0.04328255,0.79988436,20.14778760,0.00142682,0.03462103,0.00858095,0.00000000,0.93665146,10.20512297,0.02357437,0.00000000,36.78251408,42.16414237,0.59654587
37.52388587,0.00197979,0.07889755,0.01129179,12.725381369838345,0.01364139,15.140775162578546,6.93711997,3.58336307,0.35941174,29.97296986,1.25611784,16.43418843801115,0.00699375,4.06136253,13.538939029666752,15.264836513039784,37.50086424,1.58404785,4.06136253,16.80966192,3.00000000,37.50086424,0.02063514,MS,1.28588544,0.00558608,0.05524961,1.00565258,0.03327967,1.49238607,0.00111184,1,41.45463038,2.50932273,0.04365114,0.80745667,20.70202644,0.00143148,0.03524640,0.00896984,0.00000000,0.92303694,10.35469225,0.02395462,0.00000000,38.06339992,43.05319666,0.59614196
29.68281328,0.00198504,0.07967285,0.01149908,13.552086552585985,0.01365924,15.820678902625179,6.94642409,3.58765139,0.35185652,30.55383370,1.25013357,16.900390560109706,0.00700430,4.02013996,14.491076913313893,16.467652139475554,29.67472988,1.58558242,4.02013996,16.92942191,4.00000000,29.67472988,0.02066354,MS,1.15019143,0.00631509,0.05532976,0.98990458,0.03360555,1.48936717,0.00082654,1,42.12648250,2.49148635,0.04396820,0.81205629,21.15619145,0.00143538,0.03570465,0.00926045,0.00000000,0.91366817,10.46032307,0.02420557,0.00000000,39.08819892,43.56984725,0.59607158
13.86084277,0.00199016,0.08001306,0.01164034,13.543118939208176,0.01367593,16.044156634511875,6.94776138,3.59179591,0.34664540,30.75066812,1.25135928,17.113767880972002,0.00701511,4.00956574,14.726742893043957,17.18879544470663,13.92771147,1.59169576,4.00956574,16.95617045,5.00000000,13.92771147,0.02069104,MS,0.92617659,0.00671061,0.05540851,0.97901143,0.03374550,1.25425712,0.00041333,1,42.28981795,2.48729467,0.04415970,0.81190230,21.38200582,0.00143756,0.03585336,0.00936576,0.00000000,0.91126494,10.48782772,0.02421303,0.00000000,39.73446680,43.51829491,0.59598353
5.15295716,0.00199519,0.08011564,0.01172228,13.288914576948677,0.01369233,16.021742599580012,6.94770199,3.59578316,0.34294428,30.74152349,1.25611939,17.123960657583112,0.00702610,4.01257229,14.662405347972577,17.492201089128077,5.45756706,1.59838231,4.01257229,16.93299985,6.00000000,5.45756706,0.02071843,MS,0.83350512,0.00686884,0.05548686,0.97155174,0.03378451,1.16030652,0.00025319,1,42.24605055,2.49038463,0.04424202,0.81084959,21.41308240,0.00143946,0.03587362,0.00937029,0.00000000,0.91194825,10.47998577,0.02415135,0.04579316,40.06194922,43.30614227,0.59589774
0.00000000,0.00200008,0.08006760,0.01176977,12.91965548832255,0.01370790,15.84839756176587,6.94783740,3.59957551,0.33994538,30.60329124,1.26294564,16.983454426694305,0.00703719,4.02311598,14.44673737939109,17.56798485993518,0.00000000,1.60469876,4.02311598,16.87848997,7.00000000,0.00000000,0.02074509,MS,0.71390408,0.00686589,0.05556428,0.96584472,0.03375830,1.03233969,0.00016810,1,42.09542115,2.49798693,0.04424126,0.80979461,21.29702635,0.00144134,0.03582634,0.00931002,0.00000000,0.91434454,10.45156568,0.02405657,0.15964890,40.20960713,43.01806265,0.59579472
0.00000000,0.00200492,0.08002547,0.01179141,12.71830526548175,0.01372323,15.681918421541988,6.94466862,3.60327898,0.33725613,30.47037496,1.27183378,16.79372655489018,0.00704843,4.02866592,14.308897102117163,17.54838547669091,0.00000000,1.61283697,4.02866592,16.82600924,8.00000000,0.00000000,0.02077166,MS,0.48133316,0.00682184,0.05564142,0.96083534,0.03373472,0.79862724,0.00011610,1,41.98908334,2.50534636,0.04421900,0.80975300,21.14306628,0.00144252,0.03580647,0.00925250,0.00000000,0.91560589,10.43664309,0.02401506,0.17915494,40.22403736,42.85572258,0.59569288
0.00000000,0.00200965,0.07998132,0.01180410,12.552202341931338,0.01374217,15.510518340504712,6.94142765,3.60661743,0.33467937,30.33231374,1.28039744,16.588482627109023,0.00705885,4.03377025,14.179848971603484,17.487910631530713,0.00000000,1.62015684,4.03377025,16.77433432,9.00000000,0.00000000,0.02080102,MS,0.47900215,0.00675716,0.05572117,0.95589211,0.03371051,0.82980576,0.00011620,1,41.88846361,2.51264692,0.04418634,0.81009176,20.97077199,0.00144389,0.03579499,0.00919320,0.00000000,0.91676597,10.42290617,0.02399089,0.20423577,40.20003938,42.71920932,0.59567426
