xylem_water_potential,axis,total_water_influx,Growth,mstruct,delta_plant_water_content,LAI_turgor,Tr,plant_WC_DM,plant_water_content,plant,t,Total_Transpiration_turgor,green_area
-0.00000000,MS,0.08648502,0.00018338,0.05468138,0.00018246,0.00000000,NA,90.17429437,0.50183214,1,0,0.08648595,0.00116948
-0.00312006,MS,0.10623035,0.00012422,0.05511808,0.00012400,0.00000000,NA,90.17367316,0.50179696,1,1,0.10623056,0.00116928
-0.00382876,MS,0.08562426,0.00012079,0.05517992,0.00012051,0.00000000,NA,90.14530699,0.50019516,1,2,0.08562454,0.00116962
-0.00308682,MS,0.07197593,0.00012792,0.05524961,0.00012765,0.00000000,NA,90.14960152,0.50043708,1,3,0.07197620,0.00116866
-0.00259574,MS,0.05349889,0.00013325,0.05532976,0.00013300,0.00000000,NA,90.15586668,0.50079037,1,4,0.05349914,0.00116944
-0.00193076,MS,0.02675598,0.00013741,0.05540851,0.00013714,0.00000000,NA,90.16226325,0.50115155,1,5,0.02675625,0.00117034
-0.00096816,MS,0.01639267,0.00014035,0.05548686,0.00014002,0.00000000,NA,90.16454109,0.50128027,1,6,0.01639299,0.00117120
-0.00059519,MS,0.01088490,0.00014193,0.05556428,0.00014171,0.00000000,NA,90.16578996,0.50135088,1,7,0.01088512,0.00117190
-0.00039697,MS,0.00751773,0.00014283,0.05564142,0.00014253,0.00000000,NA,90.16647380,0.50138954,1,8,0.00751803,0.00117254
-0.00027578,MS,0.00752282,0.00014369,0.05572117,0.00014339,0.00000000,NA,90.16773993,0.50146115,1,9,0.00752311,0.00117315
-0.00027599,MS,0.00752963,0.00014362,0.05579563,0.00014334,0.00000000,NA,90.18347986,0.50235288,1,10,0.00752991,0.00117396
-0.00027624,MS,0.00777178,0.00014900,0.05588256,0.00038555,0.00000000,NA,90.18542753,0.50246342,1,11,0.00753523,0.00117464
-0.00028515,MS,0.00757005,0.00014881,0.05596510,0.00017230,0.00000000,NA,90.18740447,0.50257567,1,12,0.00754656,0.00117591
-0.00027788,MS,0.00755360,0.00014865,0.05604460,0.00014711,0.00000000,NA,90.18942929,0.50269068,1,13,0.00755515,0.00117699
-0.00027728,MS,0.00741213,0.00014849,0.05613045,-0.00000207,0.00000000,NA,90.19146644,0.50280644,1,14,0.00756269,0.00117795
-0.00027218,MS,0.00756879,0.00014834,0.05621130,0.00014794,0.00000000,NA,90.19356182,0.50292556,1,15,0.00756919,0.00117879
-0.00027782,MS,0.00757613,0.00014816,0.05629002,0.00014772,0.00000000,NA,90.19567719,0.50304587,1,16,0.00757657,0.00117975
-0.00027807,MS,0.00758276,0.00014799,0.05636861,0.00014758,0.00000000,NA,90.19778295,0.50316568,1,17,0.00758317,0.00118061
-0.00027831,MS,0.00784984,0.00014781,0.05644736,0.00016570,0.00000000,NA,90.19987639,0.50328485,1,18,0.00783195,0.00118148
-0.00028792,MS,0.01972042,0.00014764,0.05652456,0.00014722,0.00000000,NA,90.20121917,0.50336131,1,19,0.01972083,0.00118236
-0.00071525,MS,0.02606099,0.00014754,0.05660266,0.00017208,0.00000000,NA,90.20579036,0.50362176,1,20,0.02603645,0.00118317
-0.00094351,MS,0.04970055,0.00014794,0.05667849,0.00033256,0.00000000,NA,90.20819133,0.50375866,1,21,0.04951594,0.00118419
-0.00179455,MS,0.06634942,0.00014878,0.05675541,0.00027922,0.00000000,NA,90.21387282,0.50408287,1,22,0.06621897,0.00118499
-0.00239393,MS,0.07378503,0.00015043,0.05683380,0.00014983,0.00000000,NA,90.22051804,0.50446255,1,23,0.07378563,0.00118596
-0.00266168,MS,0.08837873,0.00015273,0.05691299,0.00015196,0.00000000,NA,90.22569652,0.50475879,1,24,0.08837950,0.00118700
-0.00318713,MS,0.10812740,0.00015525,0.05699333,0.00031493,0.00000000,NA,90.23066107,0.50504308,1,25,0.10796772,0.00118800
-0.00389818,MS,0.08628050,0.00015752,0.05707667,0.00018458,0.00000000,NA,90.23998259,0.50557766,1,26,0.08625344,0.00118902
-0.00311177,MS,0.07254190,0.00016056,0.05716078,0.00015973,0.00000000,NA,90.24637688,0.50594496,1,27,0.07254273,0.00119026
-0.00261729,MS,0.05399554,0.00016288,0.05724534,0.00017494,0.00000000,NA,90.25240266,0.50629153,1,28,0.05398348,0.00119138
-0.00194970,MS,0.02706799,0.00016467,0.05733163,0.00016384,0.00000000,NA,90.25798449,0.50661294,1,29,0.02706883,0.00119246
-0.00098038,MS,0.01683752,0.00016597,0.05741718,0.00032709,0.00000000,NA,90.25944845,0.50669730,1,30,0.01667640,0.00119355
-0.00061213,MS,0.01123199,0.00016574,0.05750341,0.00022841,0.00000000,NA,90.26005307,0.50673215,1,31,0.01116933,0.00119443
-0.00041032,MS,0.00770892,0.00016506,0.05759026,0.00016423,0.00000000,NA,90.26020999,0.50674120,1,32,0.00770974,0.00119530
-0.00028346,MS,0.00773184,0.00016405,0.05767738,0.00018047,0.00000000,NA,90.26127323,0.50680249,1,33,0.00771542,0.00119615
-0.00028425,MS,0.00772063,0.00016325,0.05776386,0.00016246,0.00000000,NA,90.26266437,0.50688271,1,34,0.00772142,0.00119704
-0.00028382,MS,0.00772639,0.00016255,0.05785092,0.00016176,0.00000000,NA,90.26426270,0.50697490,1,35,0.00772717,0.00119792
-0.00028400,MS,0.00771614,0.00016188,0.05793815,0.00016110,0.00000000,NA,90.26600319,0.50707533,1,36,0.00771691,0.00119882
-0.00028361,MS,0.00772204,0.00016124,0.05802757,0.00016048,0.00000000,NA,90.26784360,0.50718156,1,37,0.00772280,0.00119972
-0.00028380,MS,0.00772304,0.00016063,0.05811506,0.00015987,0.00000000,NA,90.26975724,0.50729206,1,38,0.00772380,0.00120073
-0.00028381,MS,0.00773633,0.00016006,0.05820266,0.00015930,0.00000000,NA,90.27172818,0.50740592,1,39,0.00773709,0.00120164
-0.00028427,MS,0.00774225,0.00015950,0.05829034,0.00015875,0.00000000,NA,90.27374450,0.50752244,1,40,0.00774300,0.00120256
-0.00028446,MS,0.00774812,0.00015897,0.05837852,0.00015822,0.00000000,NA,90.27579645,0.50764107,1,41,0.00774887,0.00120348
-0.00028466,MS,0.00800335,0.00015869,0.05846684,0.00015795,0.00000000,NA,90.27787664,0.50776139,1,42,0.00800410,0.00120443
-0.00029383,MS,0.02025511,0.00015861,0.05855468,0.00018583,0.00000000,NA,90.27921511,0.50783883,1,43,0.02022789,0.00120537
-0.00073489,MS,0.02676440,0.00015866,0.05864604,0.00020726,0.00000000,NA,90.28383142,0.50810610,1,44,0.02671580,0.00120628
-0.00096923,MS,0.05097345,0.00015896,0.05873383,0.00021023,0.00000000,NA,90.28609504,0.50823724,1,45,0.05092217,0.00120749
-0.00184077,MS,0.06791289,0.00015955,0.05882352,0.00015863,0.00000000,NA,90.29170897,0.50856276,1,46,0.06791381,0.00120843
-0.00245061,MS,0.07572266,0.00016150,0.05891401,0.00020419,0.00000000,NA,90.29822008,0.50894076,1,47,0.07567997,0.00120956
-0.00273183,MS,0.09098476,0.00016343,0.05900527,0.00016233,0.00000000,NA,90.30338307,0.50924087,1,48,0.09098586,0.00121073
-0.00328133,MS,0.11128974,0.00016564,0.05909750,0.00016443,0.00000000,NA,90.30836641,0.50953083,1,49,0.11129095,0.00121187
-0.00401239,MS,0.08887500,0.00016794,0.05919256,0.00016844,0.00000000,NA,90.31767942,0.51007352,1,50,0.08887450,0.00121302
-0.00320555,MS,0.07481618,0.00017079,0.05928927,0.00016946,0.00000000,NA,90.32407318,0.51044671,1,51,0.07481752,0.00121440
-0.00269953,MS,0.05557837,0.00017340,0.05938559,0.00025031,0.00000000,NA,90.33013865,0.51080119,1,52,0.05550146,0.00121572
-0.00200706,MS,0.02780677,0.00017472,0.05948320,0.00020077,0.00000000,NA,90.33579542,0.51113218,1,53,0.02778073,0.00121697
-0.00100733,MS,0.01716000,0.00017578,0.05957959,0.00022509,0.00000000,NA,90.33743030,0.51122791,1,54,0.01711070,0.00121825
-0.00062409,MS,0.01157825,0.00017577,0.05967685,0.00027085,0.00000000,NA,90.33821595,0.51127393,1,55,0.01148317,0.00121931
-0.00042314,MS,0.00802342,0.00017520,0.05977322,0.00026838,0.00000000,NA,90.33857769,0.51129512,1,56,0.00793024,0.00122037
-0.00029515,MS,0.00796913,0.00017357,0.05987027,0.00020396,0.00000000,NA,90.33982082,0.51136795,1,57,0.00793874,0.00122137
-0.00029314,MS,0.00799816,0.00017250,0.05996748,0.00021530,0.00000000,NA,90.34136525,0.51145847,1,58,0.00795537,0.00122243
-0.00029414,MS,0.00800336,0.00017174,0.06006431,0.00021056,0.00000000,NA,90.34310745,0.51156060,1,59,0.00796454,0.00122350
-0.00029430,MS,0.00802811,0.00017118,0.06016172,0.00022885,0.00000000,NA,90.34497893,0.51167036,1,60,0.00797044,0.00122457
-0.00029517,MS,0.00798388,0.00017002,0.06026019,0.00017418,0.00000000,NA,90.34694337,0.51178562,1,61,0.00797972,0.00122566
-0.00029354,MS,0.00799515,0.00016939,0.06035878,0.00017518,0.00000000,NA,90.34897204,0.51190469,1,62,0.00798936,0.00122679
-0.00029392,MS,0.00801292,0.00016885,0.06045659,0.00018274,0.00000000,NA,90.35105183,0.51202681,1,63,0.00799903,0.00122792
