R_Nnit_upt,R_grain_growth_starch,Conc_Nitrates,AA_consumption_mstruct,Proteins_N_Mass,S_grain_starch,HATS_LATS,N_exudation,Export_Amino_Acids,C_exudation,Conc_Sucrose,age_from_flowering,sucrose,cytokinins,Nstruct,RGR_Structure,Total_Organic_Nitrogen,Unloading_Amino_Acids,Export_cytokinins,Unloading_Sucrose,S_Amino_Acids,structure,sum_respi,sucrose_consumption_mstruct,t,nitrates,WSC_g,axis,regul_transpiration,S_Proteins,mstruct,S_cytokinins,Export_Nitrates,Uptake_Nitrates,plant,amino_acids,S_grain_structure,Conc_Amino_Acids,R_grain_growth_struct,Respi_growth,Conc_cytokinins,Dry_Mass,starch,senesced_mstruct,organ,proteins,synthetized_mstruct,N_tot,R_residual,R_Nnit_red
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,NA,0.0,MS,NA,NA,NA,NA,NA,NA,1,0.00000000,NA,0.0,NA,NA,NA,NA,NA,NA,phloem,NA,NA,0.00000000,NA,NA
NA,NA,635.7776452354416,0.01942730,NA,NA,NA,NA,NA,NA,483.64827104810996,NA,199.96573188,8.60000000,0.00017247,NA,14.49031944,NA,NA,NA,NA,NA,NA,1.94816931,0.00000000,21.90533730,0.005713306625142856,MS,NA,NA,0.03445440,NA,NA,NA,1,2.17110643,NA,50.41112728708089,NA,0.67088931,249.60527537847122,NA,NA,0.00000000,roots,NA,NA,0.00050954,0.09539178,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,NA,NA,MS,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,xylem,NA,NA,0.00000000,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.963951695463,NA,92.57453144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00000000,NA,0.0026449866125714287,MS,NA,NA,NA,NA,NA,NA,1,5.29670469,NA,76.8779273878916,NA,NA,NA,NA,NA,NA,phloem,NA,NA,0.00007415,NA,NA
0.16640122,NA,626.9233479354101,0.01942452,NA,NA,1.68676798,0.00000000,0.45271438,0.00000000,412.37366897438795,NA,170.76619613,8.56990959,0.00017274,NA,14.04252692,0.00000000,0.08450124,-541.36906611,1.78299017,NA,0.38007297,1.94789123,1.00000000,21.63436616,0.004879034175142858,MS,0.00164009,NA,0.03450879,1.57641197,0.63868183,0.41914665,1,1.70388938,NA,39.500414358196856,NA,0.67079355,248.3399038331973,NA,NA,0.00000000,roots,NA,NA,0.00049948,0.08900641,0.12182707
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00000000,NA,NA,MS,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,xylem,NA,NA,0.00000000,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,208.01869398324604,NA,137.74145871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.00000000,NA,0.003935470248857142,MS,NA,NA,NA,NA,NA,NA,1,6.17809954,NA,89.5702572964948,NA,NA,NA,NA,NA,NA,phloem,NA,NA,0.00008649,NA,NA
0.15757227,NA,621.1004476873057,0.01903031,NA,NA,1.70060049,0.00000000,0.30288486,0.00000000,371.3662922967287,NA,154.02225348,8.55625308,0.00017301,NA,13.77413414,0.00000000,0.06789830,-292.64540342,1.76999987,NA,0.36529219,1.90835966,2.00000000,21.46651715,0.004400635813714285,MS,0.00131995,NA,0.03456207,1.56718612,0.51002374,0.39690748,1,1.41646630,NA,32.78660797805224,NA,0.65718010,247.56193943244716,NA,NA,0.00000000,roots,NA,NA,0.00049337,0.08493865,0.12112622
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.00000000,NA,NA,MS,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,xylem,NA,NA,0.00000000,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258.188604574162,NA,171.17783651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.00000000,NA,0.004890795328857143,MS,NA,NA,NA,NA,NA,NA,1,6.70455510,NA,97.08021613184239,NA,NA,NA,NA,NA,NA,phloem,NA,NA,0.00009386,NA,NA
