xylem_water_potential,axis,Ksoil,mstruct,SRWC,Tsoil,organ,proteins,Tr,soil_water_potential,total_water_potential,plant,age,amino_acids,t,sucrose,green_area
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,0.00000000,0,0.00000000,NA
NA,MS,NA,0.03445440,NA,NA,roots,NA,NA,NA,NA,1,NA,2.17110643,0,199.96573188,NA
NA,MS,NA,NA,NA,NA,xylem,NA,NA,-0.11900251,-0.00000000,1,NA,NA,0,NA,NA
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,5.29670469,1,92.57453144,NA
NA,MS,NA,0.03450879,NA,NA,roots,NA,NA,NA,NA,1,NA,1.70388938,1,170.76619613,NA
NA,MS,NA,NA,NA,NA,xylem,NA,NA,-0.11900251,-0.00312006,1,NA,NA,1,NA,NA
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,6.17809954,2,137.74145871,NA
NA,MS,NA,0.03456207,NA,NA,roots,NA,NA,NA,NA,1,NA,1.41646630,2,154.02225348,NA
NA,MS,NA,NA,NA,NA,xylem,NA,NA,-0.11900251,-0.00382876,1,NA,NA,2,NA,NA
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,6.70455510,3,171.17783651,NA
NA,MS,NA,0.03461447,NA,NA,roots,NA,NA,NA,NA,1,NA,1.22398969,3,143.83513069,NA
NA,MS,NA,NA,NA,NA,xylem,NA,NA,-0.11900251,-0.00308682,1,NA,NA,3,NA,NA
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,7.01368801,4,195.57102084,NA
NA,MS,NA,0.03466620,NA,NA,roots,NA,NA,NA,NA,1,NA,1.11168308,4,137.54514980,NA
NA,MS,NA,NA,NA,NA,xylem,NA,NA,-0.11900251,-0.00259574,1,NA,NA,4,NA,NA
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,7.13499563,5,208.97388531,NA
NA,MS,NA,0.03471747,NA,NA,roots,NA,NA,NA,NA,1,NA,1.08135062,5,133.57122682,NA
NA,MS,NA,NA,NA,NA,xylem,NA,NA,-0.11900251,-0.00193076,1,NA,NA,5,NA,NA
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,7.13494445,6,214.51218335,NA
NA,MS,NA,0.03476844,NA,NA,roots,NA,NA,NA,NA,1,NA,1.08693896,6,130.74477257,NA
NA,MS,NA,NA,NA,NA,xylem,NA,NA,-0.11900251,-0.00096816,1,NA,NA,6,NA,NA
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,7.03000529,7,214.78996948,NA
NA,MS,NA,0.03481919,NA,NA,roots,NA,NA,NA,NA,1,NA,1.12398375,7,128.38182555,NA
NA,MS,NA,NA,NA,NA,xylem,NA,NA,-0.11900251,-0.00059519,1,NA,NA,7,NA,NA
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,6.95730838,8,213.51201739,NA
NA,MS,NA,0.03486975,NA,NA,roots,NA,NA,NA,NA,1,NA,1.17207832,8,126.10543865,NA
NA,MS,NA,NA,NA,NA,xylem,NA,NA,-0.11900251,-0.00039697,1,NA,NA,8,NA,NA
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,6.86075368,9,211.59854847,NA
NA,MS,NA,0.03492012,NA,NA,roots,NA,NA,NA,NA,1,NA,1.22272680,9,123.93688243,NA
NA,MS,NA,NA,NA,NA,xylem,NA,NA,-0.11900251,-0.00027578,1,NA,NA,9,NA,NA
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,6.75229923,10,209.54046294,NA
NA,MS,NA,0.03497030,NA,NA,roots,NA,NA,NA,NA,1,NA,1.27489917,10,121.85268441,NA
NA,MS,NA,NA,NA,NA,xylem,NA,NA,-0.11900251,-0.00027599,1,NA,NA,10,NA,NA
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,6.63254231,11,206.88482528,NA
NA,MS,NA,0.03502028,NA,NA,roots,NA,NA,NA,NA,1,NA,1.32667391,11,119.80313146,NA
NA,MS,NA,NA,NA,NA,xylem,NA,NA,-0.11900251,-0.00027624,1,NA,NA,11,NA,NA
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,6.51111093,12,204.34049343,NA
NA,MS,NA,0.03507006,NA,NA,roots,NA,NA,NA,NA,1,NA,1.37811738,12,117.79181970,NA
NA,MS,NA,NA,NA,NA,xylem,NA,NA,-0.11900251,-0.00028515,1,NA,NA,12,NA,NA
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,6.38933604,13,201.85861261,NA
NA,MS,NA,0.03511962,NA,NA,roots,NA,NA,NA,NA,1,NA,1.42919119,13,115.81898058,NA
NA,MS,NA,NA,NA,NA,xylem,NA,NA,-0.11900251,-0.00027788,1,NA,NA,13,NA,NA
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,6.26864607,14,199.50007615,NA
NA,MS,NA,0.03516897,NA,NA,roots,NA,NA,NA,NA,1,NA,1.47990229,14,113.88632046,NA
NA,MS,NA,NA,NA,NA,xylem,NA,NA,-0.11900251,-0.00027728,1,NA,NA,14,NA,NA
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,6.14801173,15,196.97737727,NA
NA,MS,NA,0.03521809,NA,NA,roots,NA,NA,NA,NA,1,NA,1.52979026,15,111.98122495,NA
NA,MS,NA,NA,NA,NA,xylem,NA,NA,-0.11900251,-0.00027218,1,NA,NA,15,NA,NA
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,6.02980030,16,194.51526895,NA
NA,MS,NA,0.03526698,NA,NA,roots,NA,NA,NA,NA,1,NA,1.57887220,16,110.10477399,NA
NA,MS,NA,NA,NA,NA,xylem,NA,NA,-0.11900251,-0.00027782,1,NA,NA,16,NA,NA
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,5.91370633,17,192.03867094,NA
NA,MS,NA,0.03531563,NA,NA,roots,NA,NA,NA,NA,1,NA,1.62704160,17,108.25395267,NA
NA,MS,NA,NA,NA,NA,xylem,NA,NA,-0.11900251,-0.00027807,1,NA,NA,17,NA,NA
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,5.83189819,18,189.51665028,NA
NA,MS,NA,0.03536402,NA,NA,roots,NA,NA,NA,NA,1,NA,1.67325945,18,106.42441428,NA
NA,MS,NA,NA,NA,NA,xylem,NA,NA,-0.11900251,-0.00027831,1,NA,NA,18,NA,NA
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,5.90016093,19,188.99195504,NA
NA,MS,NA,0.03541215,NA,NA,roots,NA,NA,NA,NA,1,NA,1.67737768,19,104.82228177,NA
NA,MS,NA,NA,NA,NA,xylem,NA,NA,-0.11900251,-0.00028792,1,NA,NA,19,NA,NA
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,5.90540337,20,192.34316350,NA
NA,MS,NA,0.03546004,NA,NA,roots,NA,NA,NA,NA,1,NA,1.66331601,20,103.46797699,NA
NA,MS,NA,NA,NA,NA,xylem,NA,NA,-0.11900251,-0.00071525,1,NA,NA,20,NA,NA
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,5.97847437,21,203.43420999,NA
NA,MS,NA,0.03550772,NA,NA,roots,NA,NA,NA,NA,1,NA,1.57618361,21,102.70431756,NA
NA,MS,NA,NA,NA,NA,xylem,NA,NA,-0.11900251,-0.00094351,1,NA,NA,21,NA,NA
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,6.12145896,22,220.48621120,NA
NA,MS,NA,0.03555530,NA,NA,roots,NA,NA,NA,NA,1,NA,1.46923096,22,103.02606667,NA
NA,MS,NA,NA,NA,NA,xylem,NA,NA,-0.11900251,-0.00179455,1,NA,NA,22,NA,NA
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,6.30146971,23,239.89643361,NA
NA,MS,NA,0.03560298,NA,NA,roots,NA,NA,NA,NA,1,NA,1.38906102,23,104.77228316,NA
NA,MS,NA,NA,NA,NA,xylem,NA,NA,-0.11900251,-0.00239393,1,NA,NA,23,NA,NA
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,6.53033668,24,261.04736084,NA
NA,MS,NA,0.03565102,NA,NA,roots,NA,NA,NA,NA,1,NA,1.31483413,24,108.12009053,NA
NA,MS,NA,NA,NA,NA,xylem,NA,NA,-0.11900251,-0.00266168,1,NA,NA,24,NA,NA
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,6.82450015,25,283.97315724,NA
NA,MS,NA,0.03569968,NA,NA,roots,NA,NA,NA,NA,1,NA,1.23865803,25,113.22773365,NA
NA,MS,NA,NA,NA,NA,xylem,NA,NA,-0.11900251,-0.00318713,1,NA,NA,25,NA,NA
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,7.03656016,26,303.17110487,NA
NA,MS,NA,0.03574919,NA,NA,roots,NA,NA,NA,NA,1,NA,1.27179624,26,119.93619685,NA
NA,MS,NA,NA,NA,NA,xylem,NA,NA,-0.11900251,-0.00389818,1,NA,NA,26,NA,NA
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,7.15584862,27,318.26245918,NA
NA,MS,NA,0.03579970,NA,NA,roots,NA,NA,NA,NA,1,NA,1.35511809,27,127.65807350,NA
NA,MS,NA,NA,NA,NA,xylem,NA,NA,-0.11900251,-0.00311177,1,NA,NA,27,NA,NA
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,7.17379058,28,328.39625572,NA
NA,MS,NA,0.03585121,NA,NA,roots,NA,NA,NA,NA,1,NA,1.48591043,28,135.73171909,NA
NA,MS,NA,NA,NA,NA,xylem,NA,NA,-0.11900251,-0.00261729,1,NA,NA,28,NA,NA
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,7.06548067,29,330.05818720,NA
NA,MS,NA,0.03590363,NA,NA,roots,NA,NA,NA,NA,1,NA,1.68109947,29,143.29971506,NA
NA,MS,NA,NA,NA,NA,xylem,NA,NA,-0.11900251,-0.00194970,1,NA,NA,29,NA,NA
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,6.89367852,30,326.13654447,NA
NA,MS,NA,0.03595681,NA,NA,roots,NA,NA,NA,NA,1,NA,1.87288282,30,149.56529577,NA
NA,MS,NA,NA,NA,NA,xylem,NA,NA,-0.11900251,-0.00098038,1,NA,NA,30,NA,NA
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,6.67395736,31,319.30709252,NA
NA,MS,NA,0.03601056,NA,NA,roots,NA,NA,NA,NA,1,NA,2.04400960,31,154.26120979,NA
NA,MS,NA,NA,NA,NA,xylem,NA,NA,-0.11900251,-0.00061213,1,NA,NA,31,NA,NA
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,6.53455272,32,313.35521477,NA
NA,MS,NA,0.03606472,NA,NA,roots,NA,NA,NA,NA,1,NA,2.17492217,32,156.66469238,NA
NA,MS,NA,NA,NA,NA,xylem,NA,NA,-0.11900251,-0.00041032,1,NA,NA,32,NA,NA
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,6.39420111,33,307.73381567,NA
NA,MS,NA,0.03611913,NA,NA,roots,NA,NA,NA,NA,1,NA,2.28394561,33,158.23913610,NA
NA,MS,NA,NA,NA,NA,xylem,NA,NA,-0.11900251,-0.00028346,1,NA,NA,33,NA,NA
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,6.25800391,34,302.62112814,NA
NA,MS,NA,0.03617370,NA,NA,roots,NA,NA,NA,NA,1,NA,2.37540121,34,159.15146141,NA
NA,MS,NA,NA,NA,NA,xylem,NA,NA,-0.11900251,-0.00028425,1,NA,NA,34,NA,NA
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,6.12743039,35,297.90857020,NA
NA,MS,NA,0.03622841,NA,NA,roots,NA,NA,NA,NA,1,NA,2.45271185,35,159.53377968,NA
NA,MS,NA,NA,NA,NA,xylem,NA,NA,-0.11900251,-0.00028382,1,NA,NA,35,NA,NA
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,6.00316311,36,293.54098857,NA
NA,MS,NA,0.03628321,NA,NA,roots,NA,NA,NA,NA,1,NA,2.51876814,36,159.49378542,NA
NA,MS,NA,NA,NA,NA,xylem,NA,NA,-0.11900251,-0.00028400,1,NA,NA,36,NA,NA
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,5.88460217,37,289.38397359,NA
NA,MS,NA,0.03633807,NA,NA,roots,NA,NA,NA,NA,1,NA,2.57553341,37,159.10951622,NA
NA,MS,NA,NA,NA,NA,xylem,NA,NA,-0.11900251,-0.00028361,1,NA,NA,37,NA,NA
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,5.77287527,38,285.53597152,NA
NA,MS,NA,0.03639297,NA,NA,roots,NA,NA,NA,NA,1,NA,2.62484724,38,158.45225726,NA
NA,MS,NA,NA,NA,NA,xylem,NA,NA,-0.11900251,-0.00028380,1,NA,NA,38,NA,NA
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,5.66678074,39,281.87071190,NA
NA,MS,NA,0.03644789,NA,NA,roots,NA,NA,NA,NA,1,NA,2.66807878,39,157.57833481,NA
