t,plant,axis,Tsoil,volume,nitrates,Conc_Nitrates_Soil,mineralisation
0,1,MS,12,1,800000.00000000,NA,NA
1,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
2,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
3,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
4,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
5,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
6,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
7,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
8,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
9,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
10,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
11,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
12,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
13,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
14,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
15,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
16,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
17,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
18,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
19,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
20,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
21,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
22,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
23,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
24,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
25,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
26,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
27,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
28,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
29,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
30,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
31,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
32,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
33,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
34,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
35,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
36,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
37,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
38,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
39,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
40,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
41,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
42,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
43,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
44,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
45,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
46,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
47,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
48,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
49,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
50,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
51,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
