t,plant,axis,metamer,organ,element,Ag,Amino_Acids_import,An,D_Fructan,D_Proteins,D_Starch,D_cytokinins,Loading_Amino_Acids,Loading_Sucrose,N_content_total,Nitrates_import,Nresidual,Nstruct,PARa,PARa_prim,Photosynthesis,R_Nnit_red,R_phloem_loading,R_residual,Rd,Regul_S_Fructan,S_Amino_Acids,S_Fructan,S_Proteins,S_Starch,S_Sucrose,Total_Organic_Nitrogen,Total_Transpiration_turgor,Tr,Transpiration,Ts,VPDa,WC_mstruct,Wmax,age,ambient_CO2,amino_acids,area_prim,cytokinins,cytokinins_import,epsilon_volume,fructan,green_area,gs,gs_VPD,gs_VPD_psi,gs_psi,height,is_growing,is_over,length,max_mstruct,max_proteins,mstruct,nb_replications,nitrates,organ_volume,osmotic_water_potential,proteins,resistance,senesced_length_element,senesced_mstruct,starch,sucrose,sum_respi,thickness,total_water_influx,total_water_potential,triosesP,turgor_water_potential,volume,water_content,water_influx,width
0,1,MS,1,blade,LeafElement1,16.77069609,NA,16.61979962,NA,NA,NA,NA,NA,NA,0.06848600,NA,0.00000000,0.00002050,452.31001669,NA,NA,NA,NA,NA,0.15089647,NA,NA,NA,NA,NA,NA,20.08972257,0.02417649,1.91004243,NA,19.84892722,0.42681969,96.75345608,0.00300000,240.50000000,NA,1.69000000,NA,0.34907527,NA,46.15384615,0.00000000,0.00019496,0.25295718,0.24004991,0.23983663,0.24253750,0.04750747,False,False,0.08184331,0.00410677,4400.00000000,0.00410677,1.00000000,0.00000000,0.00000008,-0.50097650,16.93543686,11048.81208458,0,0.00000000,0.00000000,24.15745785,NA,0.00039904,0.02417650,-0.10788020,0.00000000,0.39309631,0.00000012,0.12238984,0.02417650,0.00232481
0,1,MS,1,sheath,StemElement,1.55353680,NA,1.97938745,NA,NA,NA,NA,NA,NA,0.02322060,NA,0.00000000,0.00000855,183.72481473,NA,NA,NA,NA,NA,0.01232640,NA,NA,NA,NA,NA,NA,2.83623099,0.01055226,0.60625369,NA,18.99871242,0.42681969,96.13452062,NA,240.50000000,NA,0.20231970,NA,0.04104000,NA,46.15384615,0.00000000,0.00026807,0.14129295,0.07240878,0.07238364,0.07270209,0.01424321,False,False,0.02844291,0.00171000,1183.15614503,0.00171000,1.00000000,0.00000000,0.00000003,-0.42163749,2.02319701,2976.20001109,0,0.00000000,0.00000000,10.05882353,NA,0.00039900,0.01055226,-0.04240355,0.00000000,0.37923394,0.00000004,0.04252772,0.01055226,0.00299399
0,1,MS,2,blade,LeafElement1,17.24862372,NA,17.08602869,NA,NA,NA,NA,NA,NA,0.08023525,NA,0.00000000,0.00002420,423.00662932,NA,NA,NA,NA,NA,0.16259504,NA,NA,NA,NA,NA,NA,27.72496500,0.02826479,1.80937607,NA,19.31843574,0.42681969,96.89686763,0.00330000,160.50000000,NA,2.36000000,NA,0.48860194,NA,46.15384615,0.00000000,0.00024062,0.24517964,0.24551087,0.24529147,0.24806994,0.06200019,False,False,0.09182674,0.00483764,4885.93175850,0.00483764,1.00000000,0.00000000,0.00000010,-0.51518580,23.63639357,10732.29419576,0,0.00000000,0.00000000,28.45672340,NA,0.00041901,0.02826475,-0.11794243,0.00000000,0.39724337,0.00000015,0.15105783,0.02826475,0.00255729
0,1,MS,2,sheath,HiddenElement,0.00000000,NA,0.00000000,NA,NA,NA,NA,NA,NA,0.03084455,NA,0.00000000,0.00001140,NA,NA,NA,NA,NA,NA,0.00000000,NA,NA,NA,NA,NA,NA,5.02325484,0.00000000,0.00000000,NA,20.00000000,0.00000000,95.37887991,NA,160.50000000,NA,0.38263356,NA,0.07980000,NA,46.15384615,6.70588235,0.00024800,0.00000000,0.00000000,0.00000000,0.00000000,NA,False,False,0.02850785,0.00228000,1678.21735658,0.00228000,1.00000000,0.00000000,0.00000004,-0.75499398,3.82633557,2569.46153793,0,0.00000000,0.00000000,13.41176471,NA,0.00042014,-0.00000000,-0.03367976,0.00000000,0.72131422,0.00000005,0.04705869,-0.00000000,0.00330091
0,1,MS,2,sheath,StemElement,2.06017516,NA,2.62100727,NA,NA,NA,NA,NA,NA,0.03084455,NA,0.00000000,0.00000020,95.24996562,NA,NA,NA,NA,NA,0.02024294,NA,NA,NA,NA,NA,NA,0.08812728,0.00013016,0.42623321,NA,16.42906189,0.42681969,95.36291634,NA,160.50000000,NA,0.00671287,NA,0.00140000,NA,46.15384615,0.00000000,0.00000471,0.13540831,0.07972606,0.07969270,0.08011515,0.02873631,False,False,0.00049944,0.00004000,1678.21735000,0.00004000,1.00000000,0.00000000,0.00000000,-0.54638122,0.06712869,45.15670648,0,0.00000000,0.00000000,0.23529412,NA,0.00041941,0.00013016,-0.03368140,0.00000000,0.51269982,0.00000000,0.00082261,0.00013016,0.00329632
0,1,MS,3,blade,LeafElement1,17.15926029,NA,16.98735119,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,0.00002360,390.85551914,NA,NA,NA,NA,NA,0.17190910,NA,NA,NA,NA,NA,NA,26.17348287,0.02336225,1.70253231,NA,18.94127448,0.42681969,96.35802823,0.00402230,80.50000000,NA,2.50600804,NA,0.57094337,NA,46.15384615,0.00000000,0.00021412,0.23606373,0.24448848,0.24427022,0.24703417,0.06325997,True,False,0.07072395,0.00471073,0.00000000,0.00471073,1.00000000,0.00000000,0.00000010,-0.63622528,25.10070614,6556.65049307,0,0.00000000,0.00000000,29.30915249,NA,0.00044955,0.02336036,-0.07622579,0.00000000,0.55999948,0.00000011,0.11034985,0.02336036,0.00301821
0,1,MS,4,internode,HiddenElement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,NA,0.00000000,NA,0.00000000,NA,NA,0.00000000,0.00000000,NA,NA,NA,NA,NA,True,False,0.00001009,0.00000000,0.00000000,0.00000000,NA,0.00000000,NA,NA,0.00000000,NA,0,0.00000000,0.00000000,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,1,MS,5,internode,HiddenElement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,NA,0.00000000,NA,0.00000000,NA,NA,0.00000000,0.00000000,NA,NA,NA,NA,NA,True,False,0.00005043,0.00000000,0.00000000,0.00000000,NA,0.00000000,NA,NA,0.00000000,NA,0,0.00000000,0.00000000,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,MS,1,blade,LeafElement1,18.87204996,0.12380548,18.70985189,0.00000000,4.68300621,161.07014092,3.20693459,0.51478687,11.77415574,0.06848600,0.17889193,0.00000000,0.00002050,554.33042695,NA,13.24368916,0.17710409,0.00029012,0.23298499,0.16219807,0.00000000,43.56053654,0.00000004,6.02906574,258.48302043,2821.74054529,19.65580095,0.02970715,2.35148056,0.00045838,20.90370285,0.42681969,96.75237947,0.00300000,241.00000000,NA,1.24963558,NA,0.35975773,0.02361710,46.15384615,0.00000000,0.00019493,0.27838374,0.26408372,0.26392141,0.26696493,0.04741407,False,False,0.08183252,0.00410677,4400.00000000,0.00410677,1.00000000,0.00009670,0.00000008,-0.50114821,16.94187965,11029.51635417,0,0.00000000,0.67758898,19.31963336,0.41037920,0.00039898,0.02970715,-0.12782241,0.00110197,0.37332580,0.00000012,0.12234791,0.02970715,0.00232481
1,1,MS,1,sheath,StemElement,1.65755517,0.05173641,2.11191801,0.00000000,6.10726416,32.71952943,1.05484302,0.05988902,2.26108338,0.02322060,0.07475619,0.00000000,0.00000855,225.16471278,NA,1.59956641,0.07401003,0.00002320,0.02749801,0.01315273,0.00000000,43.71790088,0.00000029,4.48127416,52.52996181,737.74544693,2.92465421,0.01241291,0.71458423,0.00019155,20.01767674,0.42681969,96.13422226,NA,241.00000000,NA,0.29467417,NA,0.04927241,0.00986923,46.15384615,0.00000000,0.00026806,0.14730489,0.07391073,0.07391030,0.07425048,0.01421468,False,False,0.02844203,0.00171000,1183.15614503,0.00171000,1.00000000,0.00011046,0.00000003,-0.42167134,2.01926575,2976.31489465,0,0.00000000,0.05731315,5.44711581,0.10153124,0.00039898,0.01241291,-0.04706941,0.00009226,0.37460193,0.00000004,0.04252431,0.01241291,0.00299390
