t,plant,axis,organ,AA_consumption_mstruct,C_exudation,Export_Amino_Acids,Export_Nitrates,Export_cytokinins,HATS_LATS,Ksoil,N_exudation,Nstruct,RGR_Structure,R_Nnit_red,R_Nnit_upt,R_grain_growth_starch,R_grain_growth_struct,R_min_upt,R_residual,Respi_growth,SRWC,S_Amino_Acids,S_Proteins,S_cytokinins,S_grain_starch,S_grain_structure,Total_Organic_Nitrogen,Tr,Tsoil,Unloading_Amino_Acids,Unloading_Sucrose,Uptake_Nitrates,age,age_from_flowering,amino_acids,cytokinins,delta_mstruct_growth,green_area,mstruct,nitrates,proteins,rate_mstruct_death,regul_transpiration,senesced_mstruct,soil_water_potential,starch,structure,sucrose,sucrose_consumption_mstruct,sum_respi,total_water_potential,xylem_water_potential
0,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,NA,NA,NA,NA
0,1,MS,roots,0.04313601,NA,NA,NA,NA,NA,NA,NA,0.00017280,NA,NA,NA,NA,NA,NA,NA,1.48963030,NA,NA,NA,NA,NA,NA,14.49031944,NA,NA,NA,NA,NA,NA,NA,2.14739772,8.60000000,0.00012078,NA,0.03452078,21.90533730,NA,0.00000000,NA,0.00000000,NA,NA,NA,196.76948085,4.32567935,NA,NA,NA
0,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.03367976,NA
1,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.27387075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.23365218,NA,NA,NA,NA
1,1,MS,roots,0.04311829,0.00000000,0.44337709,0.64065485,0.08457851,1.91244853,NA,0.00000000,0.00017340,NA,0.12202282,0.18500925,NA,NA,NA,0.09106966,1.48901824,NA,1.77901261,NA,1.57390292,NA,NA,14.05327211,NA,NA,0.00000000,-509.75460955,0.46601826,NA,NA,1.66723209,8.56996153,0.00012073,NA,0.03464151,21.68150589,NA,0.00000000,0.00164158,0.00000000,NA,NA,NA,165.83006557,4.32390201,0.39810173,NA,NA
1,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.03680699,NA
2,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.14742263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133.06966211,NA,NA,NA,NA
2,1,MS,roots,0.04218696,0.00000000,0.29287185,0.51295025,0.06801687,1.93281687,NA,0.00000000,0.00017400,NA,0.12135750,0.17356723,NA,NA,NA,0.08544728,1.45685620,NA,1.76330010,NA,1.56206578,NA,NA,13.79549102,NA,NA,0.00000000,-261.54028380,0.43719705,NA,NA,1.36726405,8.55632910,0.00011812,NA,0.03475964,21.55224535,NA,0.00000000,0.00132224,0.00000000,NA,NA,NA,147.23694464,4.23050791,0.38037202,NA,NA
2,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.03751549,NA
3,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.65122169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.35778897,NA,NA,NA,NA
3,1,MS,roots,0.04136543,0.00000000,0.21021055,0.43108635,0.05733053,1.94899803,NA,0.00000000,0.00017457,NA,0.12090255,0.16546397,NA,NA,NA,0.08173727,1.42848608,NA,1.75085572,NA,1.55078489,NA,NA,13.63344893,NA,NA,0.00000000,-120.39225354,0.41678581,NA,NA,1.16385654,8.55316674,0.00011582,NA,0.03487546,21.48086300,NA,0.00000000,0.00111491,0.00000000,NA,NA,NA,135.19454607,4.14812502,0.36810379,NA,NA
3,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.03677384,NA
