Scenario,CO2,Air_temperature_Day,Air_temperature_Night,Soil_temperature,Tillers,SRWC_t=0,SRWC_E6,SRWC_Rehydration_15Days,PARi,Wind,humidity,Simulation_Length,Run_Simulation,Run_From_Outputs,Run_Postprocessing,Generate_Graphs,Scenario_label,Plant_Density,constant_Conc_Nitrates,constant_Conc_Nitrates_U,Conc_Nitrates,Conc_Nitrates_U,METEO_FILENAME,Inputs_Dirpath,Outputs_Dirpath,Postprocessing_Dirpath
1.1,400,13,7,10,0.5,80,80,80,0 -> 795,3,0.75,3500,True,False,True,True,1.1_CO2400,250,357143,50,NA,NA,meteo_CO2_400.csv,inputs_CO2_400,outputs_CO2_400,postprocessing_CO2_400
1.2,400,13,7,10,0.5,80,50,80,0 -> 795,3,0.75,3500,True,False,True,True,1.2_CO2400_SRWC50,250,357143,50,NA,NA,meteo_CO2_400_SRWC_50.csv,inputs_CO2_400,outputs_CO2_400,postprocessing_CO2_400
1.3,400,13,7,10,0.5,80,20,80,0 -> 795,3,0.75,3500,True,False,True,True,1.3_CO2400_SRWC20,250,357143,50,NA,NA,meteo_CO2_400_SRWC_20.csv,inputs_CO2_400,outputs_CO2_400,postprocessing_CO2_400
1.4,400,13,7,10,0.5,80,80,80,0 -> 795,3,0.75,3500,True,False,True,True,1.4_CO2400_N,250,NA,NA,0: 328000 ; 2016: 357143; 2520: 1000000,0: 467 ; 2016: 50 2520: 1423,meteo_CO2_400.csv,inputs_CO2_400,outputs_CO2_400,postprocessing_CO2_400
2.1,600,14.2,8.2,11.2,0.5875,80,80,80,0 -> 795,3,0.75,3500,True,False,True,True,2.1_CO2600,250,357143,50,NA,NA,meteo_CO2_600.csv,inputs_CO2_600,outputs_CO2_600,postprocessing_CO2_600
2.2,600,14.2,8.2,11.2,0.5875,80,50,80,0 -> 795,3,0.75,3500,True,False,True,True,2.2_CO2600_SRWC50,250,357143,50,NA,NA,meteo_CO2_600_SRWC_50.csv,inputs_CO2_600,outputs_CO2_600,postprocessing_CO2_600
2.3,600,14.2,8.2,11.2,0.5875,80,20,80,0 -> 795,3,0.75,3500,True,False,True,True,2.3_CO2600_SRWC20,250,357143,50,NA,NA,meteo_CO2_600_SRWC_20.csv,inputs_CO2_600,outputs_CO2_600,postprocessing_CO2_600
2.4,600,14.2,8.2,11.2,0.5875,80,80,80,0 -> 795,3,0.75,3500,True,False,True,True,2.4_CO2600_N,250,NA,NA,0: 328000 ; 2016: 357143; 2520: 1000000,0: 467 ; 2016: 50 2520: 1423,meteo_CO2_600.csv,inputs_CO2_600,outputs_CO2_600,postprocessing_CO2_600
3.1,800,15.1,9.1,12.1,0.675,80,80,80,0 -> 795,3,0.75,3500,True,False,True,True,3.1_CO2875,250,357143,50,NA,NA,meteo_CO2_875.csv,inputs_CO2_875,outputs_CO2_875,postprocessing_CO2_875
3.2,800,15.1,9.1,12.1,0.675,80,50,80,0 -> 795,3,0.75,3500,True,False,True,True,3.2_CO2875_SRWC50,250,357143,50,NA,NA,meteo_CO2_875_SRWC_50.csv,inputs_CO2_875,outputs_CO2_875,postprocessing_CO2_875
3.3,800,15.1,9.1,12.1,0.675,80,20,80,0 -> 795,3,0.75,3500,True,False,True,True,3.3_CO2875_SRWC20,250,357143,50,NA,NA,meteo_CO2_875_SRWC_20.csv,inputs_CO2_875,outputs_CO2_875,postprocessing_CO2_875
3.4,800,15.1,9.1,12.1,0.675,80,80,80,0 -> 795,3,0.75,3500,True,False,True,True,3.4_CO2875_N,250,NA,NA,0: 328000 ; 2016: 357143; 2520: 1000000,0: 467 ; 2016: 50 2520: 1423,meteo_CO2_875.csv,inputs_CO2_875,outputs_CO2_875,postprocessing_CO2_875
