metamer,leaf_Lmax,lamina_Lmax,sheath_Lmax,internode_Lmax,lamina_Wmax,lamina_area,facteurForme_lamina,RER,RER_confint,width_ratio,thickness,thickness_ratio,,,width_ratio,thickness,thickness_ratio
1,11.066,8.213,2.853,,0.3,1.883,0.75,,,0.036527456,0.0045,0.000547912,,1,0.55,0.14,0.18
2,12.104,9.231,2.873,,0.33,2.152,0.71,,,0.035749106,0.00475,0.00051457,,2,0.525,0.14,0.17
3,12.277,9.412,2.865,,0.4,2.78,0.73,,,0.042498938,0.005,0.000531237,,3,0.575,0.14,0.18
4,13.314,9.987,3.327,,0.45,3.318,0.74,,,0.045058576,0.00525,0.000525683,,4,0.62,0.14,0.18
5,15.476,11.398,4.077,,0.56,4.664,0.73,2.79E-06,3.35E-07,0.049131427,0.0055,0.000482541,,5,0.65,0.14,0.17
6,19.971,13.646,6.326,0.101,0.75,7.713,0.75,1.76E-06,2.07E-07,0.054961161,0.00575,0.000421369,,6,0.66,0.14,0.16
7,25.504,16.434,9.071,1.913,1.01,12.287,0.74,1.62E-06,8.33E-08,0.061457953,0.006,0.000365097,,7,0.685,0.14,0.15
8,31.816,19.665,12.151,6.091,1.21,17.758,0.75,1.44E-06,7.73E-08,0.061530638,0.00625,0.000317824,,8,0.7,0.14,0.15
9,39.164,25.108,14.056,9.715,1.28,24.215,0.75,1.44E-06,5.56E-08,0.050979767,0.0065,0.000258882,,9,0.7,0.14,0.16
10,45.994,28.683,17.311,14.497,1.43,30.762,0.75,1.44E-06,5.40E-08,0.049855315,0.00675,0.000235331,,10,0.71,0.14,0.14
11,42.709,23.947,18.762,17.013,1.8,32.556,0.75,1.42E-06,4.61E-08,0.075165992,0.007,0.000292312,,11,0.7,0.14,0.13
,,,,,,,,,,,,,,12,0.71,0.14,0.14
,,,,,,,,,,,,,,13,0.72,0.14,0.145
,,,,,,,,,,,,,,14,0.7,0.14,0.14
,,,,,,,,,,,,,,15,0.75,0.14,0.145
,,,,,,,,,,,,,,16,0.75,0.14,0.15
,,,,,,,,,,,,,,17,0.72,0.14,0.145
,,,,,,,,,,,,,,18,0.75,0.14,0.14
,,,,,,,,,,,,,,19,0.77,0.14,0.13
,,,,,,,,,,,,,,20,0.8,0.14,0.135
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
