t,day,DOY,hour,air_temperature,PARi,soil_temperature,humidity,ambient_CO2,Wind,,,
0,0,347,12,5.2,516.2222222,5.84,0.95,400,2.9,,,
1,0,347,13,5.6,549.8888889,6.264,0.88,400,2.9,,,
2,0,347,14,4.8,392.7777778,5.415,0.92,400,2.9,,,
3,0,347,15,3.6,157.1111111,6.223,0.95,400,2.9,,,
4,0,347,16,3.5,22.44444444,5.957,0.96,400,2.9,,,
5,0,347,17,3.6,0,5.733,0.97,400,2.9,,,
6,0,347,18,3.7,0,5.59,0.98,400,2.9,,,
7,0,347,19,3.9,0,5.511,0.99,400,2.9,,,
8,0,347,20,3.9,0,5.48,0.99,400,2.9,,,
9,0,347,21,4.4,0,5.455,0.99,400,2.9,,,
10,0,347,22,4.7,0,5.45,0.99,400,2.9,,,
11,0,347,23,4.4,0,5.466,0.99,400,2.9,,,
12,0,347,24,4.3,0,5.445,0.98,400,4.6,,,
13,0,348,1,4.5,0,5.385,0.96,400,4.6,,,
14,0,348,2,4.5,0,5.346,0.96,400,4.6,,,
15,0,348,3,5.1,0,5.347,0.96,400,4.6,,,
16,0,348,4,5.5,0,5.401,0.95,400,4.6,,,
17,0,348,5,5.8,0,5.489,0.95,400,4.6,,,
18,0,348,6,6.2,0,5.6,0.94,400,4.6,,,
19,0,348,7,6.6,0,5.712,0.94,400,4.6,,,
20,0,348,8,7.1,0,5.84,0.93,400,4.6,,,
21,0,348,9,7.2,11.22222222,6.001,0.95,400,4.6,,,
22,0,348,10,7.7,33.66666667,6.203,0.95,400,4.6,,,
23,0,348,11,7.6,33.66666667,6.433,0.95,400,4.6,,,
24,1,348,12,7.7,22.44444444,6.626,0.95,400,4.6,Tair,PARi,
25,1,348,13,7.9,44.88888889,6.773,0.96,400,4.6,8.1625,1054.888889,7.110375
26,1,348,14,8.3,56.11111111,6.931,0.95,400,4.6,,,
27,1,348,15,8.4,33.66666667,7.14,0.96,400,4.6,,,
28,1,348,16,8.8,11.22222222,7.305,0.96,400,4.6,,,
29,1,348,17,9.1,0,7.425,0.95,400,4.6,,,
30,1,348,18,9.2,0,7.5,0.95,400,4.6,,,
31,1,348,19,9.1,0,7.57,0.92,400,4.6,,,
32,1,348,20,9.4,0,7.535,0.9,400,4.6,,,
33,1,348,21,8.9,0,7.59,0.88,400,4.6,,,
34,1,348,22,8.8,0,7.52,0.85,400,4.6,,,
35,1,348,23,8.8,0,7.365,0.87,400,4.6,,,
36,1,348,24,8.8,0,7.43,0.91,400,5.2,,,
37,1,349,1,8.8,0,7.53,0.84,400,5.2,,,
38,1,349,2,8.5,0,7.465,0.78,400,5.2,,,
39,1,349,3,7.8,0,7.16,0.84,400,5.2,,,
40,1,349,4,8.5,0,7.015,0.82,400,5.2,,,
41,1,349,5,7.9,0,7.035,0.82,400,5.2,,,
42,1,349,6,7.2,0,6.996,0.88,400,5.2,,,
43,1,349,7,6.6,0,6.928,0.86,400,5.2,,,
44,1,349,8,6.1,0,6.727,0.86,400,5.2,,,
45,1,349,9,6.6,157.1111111,6.381,0.83,400,5.2,,,
46,1,349,10,7.2,359.1111111,6.25,0.79,400,5.2,,,
47,1,349,11,7.5,370.3333333,6.452,0.79,400,5.2,,,
48,2,349,12,8.6,594.7777778,6.756,0.71,400,5.2,,,
49,2,349,13,8.8,493.7777778,7.075,0.7,400,5.2,,,
50,2,349,14,8.5,314.2222222,7.195,0.71,400,5.2,,,
51,2,349,15,8,213.2222222,7.135,0.7,400,5.2,,,
52,2,349,16,7.5,11.22222222,7.038,0.72,400,5.2,,,
53,2,349,17,6.5,0,6.736,0.78,400,5.2,,,
54,2,349,18,5.8,0,6.371,0.82,400,5.2,,,
55,2,349,19,5.2,0,6.143,0.89,400,5.2,,,
56,2,349,20,5.6,0,5.922,0.88,400,5.2,,,
