t,DOY,hour,air_temperature,PARi,soil_temperature,humidity,ambient_CO2,Wind,SRWC
0,347,12,5.2,516.2222222,5.84,0.95,400,2.9,80
1,347,13,5.6,549.8888889,6.264,0.88,400,2.9,80
2,347,14,4.8,392.7777778,5.415,0.92,400,2.9,80
3,347,15,3.6,157.1111111,6.223,0.95,400,2.9,80
4,347,16,3.5,22.44444444,5.957,0.96,400,2.9,80
5,347,17,3.6,0,5.733,0.97,400,2.9,80
6,347,18,3.7,0,5.59,0.98,400,2.9,80
7,347,19,3.9,0,5.511,0.99,400,2.9,80
8,347,20,3.9,0,5.48,0.99,400,2.9,80
9,347,21,4.4,0,5.455,0.99,400,2.9,80
10,347,22,4.7,0,5.45,0.99,400,2.9,80
11,347,23,4.4,0,5.466,0.99,400,2.9,80
12,347,24,4.3,0,5.445,0.98,400,4.6,80
13,348,1,4.5,0,5.385,0.96,400,4.6,80
14,348,2,4.5,0,5.346,0.96,400,4.6,80
15,348,3,5.1,0,5.347,0.96,400,4.6,80
16,348,4,5.5,0,5.401,0.95,400,4.6,80
17,348,5,5.8,0,5.489,0.95,400,4.6,80
18,348,6,6.2,0,5.6,0.94,400,4.6,80
19,348,7,6.6,0,5.712,0.94,400,4.6,80
20,348,8,7.1,0,5.84,0.93,400,4.6,80
21,348,9,7.2,11.22222222,6.001,0.95,400,4.6,80
22,348,10,7.7,33.66666667,6.203,0.95,400,4.6,80
23,348,11,7.6,33.66666667,6.433,0.95,400,4.6,80
24,348,12,5.2,516.2222222,5.84,0.95,400,2.9,80
25,348,13,5.6,549.8888889,6.264,0.88,400,2.9,80
26,348,14,4.8,392.7777778,5.415,0.92,400,2.9,80
27,348,15,3.6,157.1111111,6.223,0.95,400,2.9,80
28,348,16,3.5,22.44444444,5.957,0.96,400,2.9,80
29,348,17,3.6,0,5.733,0.97,400,2.9,80
30,348,18,3.7,0,5.59,0.98,400,2.9,80
31,348,19,3.9,0,5.511,0.99,400,2.9,80
32,348,20,3.9,0,5.48,0.99,400,2.9,80
33,348,21,4.4,0,5.455,0.99,400,2.9,80
34,348,22,4.7,0,5.45,0.99,400,2.9,80
35,348,23,4.4,0,5.466,0.99,400,2.9,80
36,348,24,4.3,0,5.445,0.98,400,4.6,80
37,349,1,4.5,0,5.385,0.96,400,4.6,80
38,349,2,4.5,0,5.346,0.96,400,4.6,80
39,349,3,5.1,0,5.347,0.96,400,4.6,80
40,349,4,5.5,0,5.401,0.95,400,4.6,80
41,349,5,5.8,0,5.489,0.95,400,4.6,80
42,349,6,6.2,0,5.6,0.94,400,4.6,80
43,349,7,6.6,0,5.712,0.94,400,4.6,80
44,349,8,7.1,0,5.84,0.93,400,4.6,80
45,349,9,7.2,11.22222222,6.001,0.95,400,4.6,80
46,349,10,7.7,33.66666667,6.203,0.95,400,4.6,80
47,349,11,7.6,33.66666667,6.433,0.95,400,4.6,80
48,349,12,5.2,516.2222222,5.84,0.95,400,2.9,80
49,349,13,5.6,549.8888889,6.264,0.88,400,2.9,80
50,349,14,4.8,392.7777778,5.415,0.92,400,2.9,80
51,349,15,3.6,157.1111111,6.223,0.95,400,2.9,80
52,349,16,3.5,22.44444444,5.957,0.96,400,2.9,80
53,349,17,3.6,0,5.733,0.97,400,2.9,80
54,349,18,3.7,0,5.59,0.98,400,2.9,80
55,349,19,3.9,0,5.511,0.99,400,2.9,80
56,349,20,3.9,0,5.48,0.99,400,2.9,80
57,349,21,4.4,0,5.455,0.99,400,2.9,80
58,349,22,4.7,0,5.45,0.99,400,2.9,80
59,349,23,4.4,0,5.466,0.99,400,2.9,80
60,349,24,4.3,0,5.445,0.98,400,4.6,80
61,350,1,4.5,0,5.385,0.96,400,4.6,80
62,350,2,4.5,0,5.346,0.96,400,4.6,80
63,350,3,5.1,0,5.347,0.96,400,4.6,80
64,350,4,5.5,0,5.401,0.95,400,4.6,80
65,350,5,5.8,0,5.489,0.95,400,4.6,80
66,350,6,6.2,0,5.6,0.94,400,4.6,80
67,350,7,6.6,0,5.712,0.94,400,4.6,80
68,350,8,7.1,0,5.84,0.93,400,4.6,80
69,350,9,7.2,11.22222222,6.001,0.95,400,4.6,80
70,350,10,7.7,33.66666667,6.203,0.95,400,4.6,80
71,350,11,7.6,33.66666667,6.433,0.95,400,4.6,80
72,350,12,5.2,516.2222222,5.84,0.95,400,2.9,80
73,350,13,5.6,549.8888889,6.264,0.88,400,2.9,80
74,350,14,4.8,392.7777778,5.415,0.92,400,2.9,80
75,350,15,3.6,157.1111111,6.223,0.95,400,2.9,80
76,350,16,3.5,22.44444444,5.957,0.96,400,2.9,80
77,350,17,3.6,0,5.733,0.97,400,2.9,80
78,350,18,3.7,0,5.59,0.98,400,2.9,80
79,350,19,3.9,0,5.511,0.99,400,2.9,80
80,350,20,3.9,0,5.48,0.99,400,2.9,80
81,350,21,4.4,0,5.455,0.99,400,2.9,80
82,350,22,4.7,0,5.45,0.99,400,2.9,80
83,350,23,4.4,0,5.466,0.99,400,2.9,80
84,350,24,4.3,0,5.445,0.98,400,4.6,80
85,351,1,4.5,0,5.385,0.96,400,4.6,80
86,351,2,4.5,0,5.346,0.96,400,4.6,80
87,351,3,5.1,0,5.347,0.96,400,4.6,80
88,351,4,5.5,0,5.401,0.95,400,4.6,80
89,351,5,5.8,0,5.489,0.95,400,4.6,80
90,351,6,6.2,0,5.6,0.94,400,4.6,80
91,351,7,6.6,0,5.712,0.94,400,4.6,80
92,351,8,7.1,0,5.84,0.93,400,4.6,80
93,351,9,7.2,11.22222222,6.001,0.95,400,4.6,80
94,351,10,7.7,33.66666667,6.203,0.95,400,4.6,80
95,351,11,7.6,33.66666667,6.433,0.95,400,4.6,80
96,351,12,5.2,516.2222222,5.84,0.95,400,2.9,80
97,351,13,5.6,549.8888889,6.264,0.88,400,2.9,80
98,351,14,4.8,392.7777778,5.415,0.92,400,2.9,80
99,351,15,3.6,157.1111111,6.223,0.95,400,2.9,80
100,351,16,3.5,22.44444444,5.957,0.96,400,2.9,80
101,351,17,3.6,0,5.733,0.97,400,2.9,80
102,351,18,3.7,0,5.59,0.98,400,2.9,80
103,351,19,3.9,0,5.511,0.99,400,2.9,80
104,351,20,3.9,0,5.48,0.99,400,2.9,80
105,351,21,4.4,0,5.455,0.99,400,2.9,80
106,351,22,4.7,0,5.45,0.99,400,2.9,80
107,351,23,4.4,0,5.466,0.99,400,2.9,80
108,351,24,4.3,0,5.445,0.98,400,4.6,80
109,352,1,4.5,0,5.385,0.96,400,4.6,80
110,352,2,4.5,0,5.346,0.96,400,4.6,80
111,352,3,5.1,0,5.347,0.96,400,4.6,80
112,352,4,5.5,0,5.401,0.95,400,4.6,80
113,352,5,5.8,0,5.489,0.95,400,4.6,80
114,352,6,6.2,0,5.6,0.94,400,4.6,80
115,352,7,6.6,0,5.712,0.94,400,4.6,80
116,352,8,7.1,0,5.84,0.93,400,4.6,80
117,352,9,7.2,11.22222222,6.001,0.95,400,4.6,80
118,352,10,7.7,33.66666667,6.203,0.95,400,4.6,80
119,352,11,7.6,33.66666667,6.433,0.95,400,4.6,80
120,352,12,5.2,516.2222222,5.84,0.95,400,2.9,80
121,352,13,5.6,549.8888889,6.264,0.88,400,2.9,80
122,352,14,4.8,392.7777778,5.415,0.92,400,2.9,80
123,352,15,3.6,157.1111111,6.223,0.95,400,2.9,80
124,352,16,3.5,22.44444444,5.957,0.96,400,2.9,80
125,352,17,3.6,0,5.733,0.97,400,2.9,80
126,352,18,3.7,0,5.59,0.98,400,2.9,80
127,352,19,3.9,0,5.511,0.99,400,2.9,80
128,352,20,3.9,0,5.48,0.99,400,2.9,80
