t,DOY,hour,air_temperature_init,air_temperature_v1,PARi,soil_temperature_init,soil_temperature_v1,humidity,ambient_CO2,Wind,SRWC,air_temperature,soil_temperature
0,347,22,4.7,20,0,5.45,19,0.8,400,2,85,17,17
1,347,23,4.4,15,0,5.466,14,0.8,400,2,85,16,18
2,347,24,4.3,15,0,5.445,14,0.8,400,2,85,15,19
3,348,1,4.5,15,0,5.385,14,0.8,400,2,85,15,20
4,348,2,4.5,15,0,5.346,14,0.8,400,2,85,15,20
5,348,3,5.1,15,0,5.347,14,0.8,400,2,85,15,20
6,348,4,5.5,15,0,5.401,14,0.8,400,2,85,15,20
7,348,5,5.8,15,0,5.489,14,0.8,400,2,85,15,20
8,348,6,6.2,15,0,5.6,14,0.8,400,2,85,16,19
9,348,7,6.6,20,0,5.712,19,0.8,400,2,85,17,18
10,348,8,7.1,20,11.22222222,5.84,19,0.8,400,2,85,18,17
11,348,9,7.2,20,269.3333333,6.001,19,0.8,400,2,85,19,16
12,348,10,7.7,20,448.8888889,6.203,19,0.8,400,2,85,20,15
13,348,11,7.6,20,606,6.433,19,0.8,400,2,85,20,15
14,348,12,5.2,20,740.6666667,5.84,19,0.8,400,2,85,20,15
15,348,13,5.6,20,729.4444444,6.264,19,0.8,400,2,85,20,15
16,348,14,4.8,20,606,5.415,19,0.8,400,2,85,20,15
17,348,15,3.6,20,381.5555556,6.223,19,0.8,400,2,85,20,15
18,348,16,3.5,20,101,5.957,19,0.8,400,2,85,20,15
19,348,17,3.6,20,0,5.733,19,0.8,400,2,85,20,15
20,348,18,3.7,20,0,5.59,19,0.8,400,2,85,20,15
21,348,19,3.9,20,0,5.511,19,0.8,400,2,85,20,15
22,348,20,3.9,20,0,5.48,19,0.8,400,2,85,19,15
23,348,21,4.4,20,0,5.455,19,0.8,400,2,85,18,16
24,348,22,4.7,20,0,5.45,19,0.8,400,2,85,17,17
25,348,23,4.4,15,0,5.466,14,0.8,400,2,85,16,18
26,348,24,4.3,15,0,5.445,14,0.8,400,2,85,15,19
27,349,1,4.5,15,0,5.385,14,0.8,400,2,85,15,20
28,349,2,4.5,15,0,5.346,14,0.8,400,2,85,15,20
29,349,3,5.1,15,0,5.347,14,0.8,400,2,85,15,20
30,349,4,5.5,15,0,5.401,14,0.8,400,2,85,15,20
31,349,5,5.8,15,0,5.489,14,0.8,400,2,85,15,20
32,349,6,6.2,15,0,5.6,14,0.8,400,2,85,16,19
33,349,7,6.6,20,0,5.712,19,0.8,400,2,85,17,18
34,349,8,7.1,20,11.22222222,5.84,19,0.8,400,2,85,18,17
35,349,9,7.2,20,269.3333333,6.001,19,0.8,400,2,85,19,16
36,349,10,7.7,20,448.8888889,6.203,19,0.8,400,2,85,20,15
37,349,11,7.6,20,606,6.433,19,0.8,400,2,85,20,15
38,349,12,5.2,20,740.6666667,5.84,19,0.8,400,2,85,20,15
39,349,13,5.6,20,729.4444444,6.264,19,0.8,400,2,85,20,15
40,349,14,4.8,20,606,5.415,19,0.8,400,2,85,20,15
41,349,15,3.6,20,381.5555556,6.223,19,0.8,400,2,85,20,15
42,349,16,3.5,20,101,5.957,19,0.8,400,2,85,20,15
43,349,17,3.6,20,0,5.733,19,0.8,400,2,85,20,15
44,349,18,3.7,20,0,5.59,19,0.8,400,2,85,20,15
45,349,19,3.9,20,0,5.511,19,0.8,400,2,85,20,15
46,349,20,3.9,20,0,5.48,19,0.8,400,2,85,19,15
47,349,21,4.4,20,0,5.455,19,0.8,400,2,85,18,16
48,349,22,4.7,20,0,5.45,19,0.8,400,2,85,17,17
49,349,23,4.4,15,0,5.466,14,0.8,400,2,85,16,18
50,349,24,4.3,15,0,5.445,14,0.8,400,2,85,15,19
51,350,1,4.5,15,0,5.385,14,0.8,400,2,85,15,20
52,350,2,4.5,15,0,5.346,14,0.8,400,2,85,15,20
53,350,3,5.1,15,0,5.347,14,0.8,400,2,85,15,20
54,350,4,5.5,15,0,5.401,14,0.8,400,2,85,15,20
55,350,5,5.8,15,0,5.489,14,0.8,400,2,85,15,20
56,350,6,6.2,15,0,5.6,14,0.8,400,2,85,16,19
57,350,7,6.6,20,0,5.712,19,0.8,400,2,85,17,18
58,350,8,7.1,20,11.22222222,5.84,19,0.8,400,2,85,18,17
59,350,9,7.2,20,269.3333333,6.001,19,0.8,400,2,85,19,16
60,350,10,7.7,20,448.8888889,6.203,19,0.8,400,2,85,20,15
61,350,11,7.6,20,606,6.433,19,0.8,400,2,85,20,15
62,350,12,5.2,20,740.6666667,5.84,19,0.8,400,2,85,20,15
63,350,13,5.6,20,729.4444444,6.264,19,0.8,400,2,85,20,15
64,350,14,4.8,20,606,5.415,19,0.8,400,2,85,20,15
65,350,15,3.6,20,381.5555556,6.223,19,0.8,400,2,85,20,15
66,350,16,3.5,20,101,5.957,19,0.8,400,2,85,20,15
67,350,17,3.6,20,0,5.733,19,0.8,400,2,85,20,15
68,350,18,3.7,20,0,5.59,19,0.8,400,2,85,20,15
69,350,19,3.9,20,0,5.511,19,0.8,400,2,85,20,15
70,350,20,3.9,20,0,5.48,19,0.8,400,2,85,19,15
71,350,21,4.4,20,0,5.455,19,0.8,400,2,85,18,16
72,350,22,4.7,20,0,5.45,19,0.8,400,2,85,17,17
73,350,23,4.4,15,0,5.466,14,0.8,400,2,85,16,18
74,350,24,4.3,15,0,5.445,14,0.8,400,2,85,15,19
75,351,1,4.5,15,0,5.385,14,0.8,400,2,85,15,20
76,351,2,4.5,15,0,5.346,14,0.8,400,2,85,15,20
77,351,3,5.1,15,0,5.347,14,0.8,400,2,85,15,20
78,351,4,5.5,15,0,5.401,14,0.8,400,2,85,15,20
79,351,5,5.8,15,0,5.489,14,0.8,400,2,85,15,20
80,351,6,6.2,15,0,5.6,14,0.8,400,2,85,16,19
81,351,7,6.6,20,0,5.712,19,0.8,400,2,85,17,18
82,351,8,7.1,20,11.22222222,5.84,19,0.8,400,2,85,18,17
83,351,9,7.2,20,269.3333333,6.001,19,0.8,400,2,85,19,16
84,351,10,7.7,20,448.8888889,6.203,19,0.8,400,2,85,20,15
85,351,11,7.6,20,606,6.433,19,0.8,400,2,85,20,15
86,351,12,5.2,20,740.6666667,5.84,19,0.8,400,2,85,20,15
87,351,13,5.6,20,729.4444444,6.264,19,0.8,400,2,85,20,15
88,351,14,4.8,20,606,5.415,19,0.8,400,2,85,20,15
89,351,15,3.6,20,381.5555556,6.223,19,0.8,400,2,85,20,15
90,351,16,3.5,20,101,5.957,19,0.8,400,2,85,20,15
91,351,17,3.6,20,0,5.733,19,0.8,400,2,85,20,15
92,351,18,3.7,20,0,5.59,19,0.8,400,2,85,20,15
93,351,19,3.9,20,0,5.511,19,0.8,400,2,85,20,15
94,351,20,3.9,20,0,5.48,19,0.8,400,2,85,19,15
95,351,21,4.4,20,0,5.455,19,0.8,400,2,85,18,16
96,351,22,4.7,20,0,5.45,19,0.8,400,2,85,17,17
97,351,23,4.4,15,0,5.466,14,0.8,400,2,85,16,18
98,351,24,4.3,15,0,5.445,14,0.8,400,2,85,15,19
99,352,1,4.5,15,0,5.385,14,0.8,400,2,85,15,20
100,352,2,4.5,15,0,5.346,14,0.8,400,2,85,15,20
101,352,3,5.1,15,0,5.347,14,0.8,400,2,85,15,20
102,352,4,5.5,15,0,5.401,14,0.8,400,2,85,15,20
103,352,5,5.8,15,0,5.489,14,0.8,400,2,85,15,20
104,352,6,6.2,15,0,5.6,14,0.8,400,2,85,16,19
105,352,7,6.6,20,0,5.712,19,0.8,400,2,85,17,18
106,352,8,7.1,20,11.22222222,5.84,19,0.8,400,2,85,18,17
